技能ID,备注,阶段列表,阶段列表_远程
4200311,破血狂攻2,"42003106,42003107,42003108,42003109,42003110,42003111","42003108,42003109,42003110,42003111,42003112,42003113,42003114,42003115"
4200312,杀气决：破血狂攻1,"42013100,42003100,42003101,42003102,42003103,42003104,42003105","42003100,42003101,42003102,42003103,42003104,42003105,42003106,42003107"
4200313,杀气决：破血狂攻2,"42003106,42003107,42003108,42003109,42003110,42003111","42003108,42003109,42003110,42003111,42003112,42003113,42003114,42003115"
4200320,弱点击破,"42003200,42003201,42003202,42003203,42003204,42003205","42003200,42003201,42003202,42003203,42003204,42003205,42003206,42003207"
4200321,杀气决：弱点击破,"42003200,42003201,42003202,42003203,42003204,42003205","42003200,42003201,42003202,42003203,42003204,42003205,42003206,42003207"
4200330,破碎无双,"42003300,42003301,42003302,42003303,42003304,42003305","42003300,42003301,42003302,42003303,42003304,42003305,42003306,42003307"
4200331,杀气决：破碎无双,"42003300,42003301,42003302,42003303,42003304,42003305","42003300,42003301,42003302,42003303,42003304,42003305,42003306,42003307"
4200332,盘古之力,"13001400,13001401,13001402,13001403","13001400,13001401,13001402,13001403"
4200333,女娲玄力,"13001400,13001401,13001402,13001403","13001400,13001401,13001402,13001403"
4200334,盘古意志,"13001400,13001401,13001402,13001403","13001400,13001401,13001402,13001403"
4200335,女娲神识,"13001400,13001401,13001402,13001403","13001400,13001401,13001402,13001403"
2551,宠物技能,,
2070010,烈火,"20700100,20700101,20700102","20700100,20700101,20700102"
2070020,水攻,"20700200,20700201,20700202","20700200,20700201,20700202"
2070030,落岩,"20700300,20700301,20700302","20700300,20700301,20700302"
2070040,雷击,"20700400,20700401,20700402","20700400,20700401,20700402"
2070050,地狱烈火1,"20700500,20700501,20700502,20700503","20700500,20700501,20700502,20700503"
2070051,地狱烈火2,20700504,20700504
2070052,地狱烈火3,20700505,20700505
2070053,地狱烈火3,20700505,20700505
2070060,水漫金山1,"20700600,20700601,20700602,20700603","20700600,20700601,20700602,20700603"
2070061,水漫金山2,20700604,20700604
2070062,水漫金山3,20700605,20700605
2070063,水漫金山3,20700605,20700605
2070070,泰山压顶1,"20700700,20700701,20700702,20700703","20700700,20700701,20700702,20700703"
2070071,泰山压顶2,20700704,20700704
2070072,泰山压顶3,20700705,20700705
2070073,泰山压顶3,20700705,20700705
2070080,奔雷咒1,"20700800,20700801,20700802,20700803","20700800,20700801,20700802,20700803"
2070081,奔雷咒2,20700804,20700804
2070082,奔雷咒3,20700805,20700805
2070083,奔雷咒3,20700805,20700805
2070090,壁垒击破,"20700900,20700901,20700902,20700903,20700904","20700900,20700901,20700902,20700903,20700904"
2070100,剑荡四方1,"20701000,20701001,20701002,20701003,20701004,20701005,20701006,20701007","20701000,20701001,20701002,20701003,20701004,20701005,20701006,20701007"
2070101,剑荡四方2,"20701008,20701009,20701010,20701011,20701012,20701013","20701008,20701009,20701010,20701011,20701012,20701013"
2070102,剑荡四方3,"20701008,20701009,20701010,20701011,20701012,20701013","20701008,20701009,20701010,20701011,20701012,20701013"
2070110,惊心一剑,"20701100,20701101,20701102,20701103,20701104","20701100,20701101,20701102,20701103,20701104"
2070120,力劈华山,"20701200,20701201,20701202,20701203,20701204,20701205,20701206","20701200,20701201,20701202,20701203,20701204,20701205,20701206"
2070130,死亡召唤,"20701300,20701301,20701302,20701303,20701304","20701300,20701301,20701302,20701303,20701304"
2070140,善恶有报,"20701400,20701401,20701402,20701403,20701404","20701400,20701401,20701402,20701403,20701404"
2070150,上古灵符-选择敌人,20701500,20701500
2070151,上古灵符-触发法连伤害加成,20701501,20701501
2070152,上古灵符1,"20701502,20701503,20701504","20701502,20701503,20701504"
2070160,法术防御,"20701600,20701601,20701602,20701603","20701600,20701601,20701602,20701603"
2070170,隐身主动,"20701700,20701701","20701700,20701701"
2070180,高级隐身主动,"20701800,20701801","20701800,20701801"
2060824,隐遁,"20608240,20608241","20608240,20608241"
2072000,三羊开泰1,"20702000,20702001,20702002,20702003","20702000,20702001,20702002,20702003"
2072001,三羊开泰2,20702004,20702004
2072002,三羊开泰3,20702005,20702005
2072003,三羊开泰-回蓝,"20702006,20702007",20702006
2072020,鹿影生花,"20702200,20702201,20702202,20702203","20702200,20702201,20702202,20702203"
2072021,鹿影生花-触发段数,20702206,20702206
2072022,鹿影生花-第一段,"20702207,20702208,20702209,20702210","20702207,20702208,20702209,20702210"
2072023,鹿影生花-第二段,"20702211,20702212,20702213","20702211,20702212,20702213"
2072024,鹿影生花-第三段,"20702214,20702215,20702216","20702214,20702215,20702216"
2072030,破竹1,"20702300,20702301,20702302,20702303,20702304","20702300,20702301,20702302,20702303,20702304"
2072031,破竹2,"20702305,20702306,20702307,20702308,20702309","20702305,20702306,20702307,20702308,20702309"
2072032,破竹3,"20702305,20702306,20702307,20702308,20702309","20702305,20702306,20702307,20702308,20702309"
2072033,破竹4,"20702305,20702306,20702307,20702308,20702309","20702305,20702306,20702307,20702308,20702309"
2072040,风舞1,"20702400,20702401,20702402,20702403,20702404","20702400,20702401,20702402,20702403,20702404"
2072041,风舞2,"20702405,20702406,20702407,20702408,20702409,20702410","20702405,20702406,20702407,20702408,20702409,20702410"
2072042,风舞3,"20702405,20702406,20702407,20702408,20702409,20702410","20702405,20702406,20702407,20702408,20702409,20702410"
2072050,捞月1,"20702500,20702501,20702502,20702503,20702504,20702505,20702506","20702500,20702501,20702502,20702503,20702504,20702505,20702506"
2072051,捞月2,"20702507,20702508,20702509,20702510,20702511,20702512","20702507,20702508,20702509,20702510,20702511,20702512"
2072060,八凶法阵1,"20702600,20702601,20702602,20702603","20702600,20702601,20702602,20702603"
2072061,八凶法阵2,20702604,20702604
2072062,八凶法阵3,20702605,20702605
2072070,龙鸣九霄-选择敌人,20702700,20702700
2072071,龙鸣九霄-触发暴击,20702701,20702701
2072072,龙鸣九霄1,"20702702,20702703,20702704,20702705","20702702,20702703,20702704,20702705"
2072073,龙鸣九霄2,20702706,20702706
2072074,龙鸣九霄3,20702707,20702707
2072075,龙鸣九霄-吸血,"20702708,20702709",20702006
2072076,焚焰1,"20802600,20802601,20802602,20802603","20802600,20802601,20802602,20802603"
2072077,焚焰2,20802604,20802604
2072078,焚焰3,20802605,20802605
2072079,焚焰4,20802605,20802605
2552,怪物技能-特殊,,
1254001,六道轮回1,"14000300,14000301,14000302,14000303","14000300,14000301,14000302,14000303"
1254002,灵动九天1,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
1254003,金刚护体1,"16300300,16300301,16300302,16300303","16300300,16300301,16300302,16300303"
1254004,五雷咒1,"12000100,12000101,12000102,12000103","12000100,12000101,12000102,12000103"
1254005,我佛慈悲,"16300400,16300401,16300402","16300400,16300401,16300402"
1254006,杨柳甘露复活,"16000300,16000301,16000302","16000300,16000301,16000302"
1254007,还阳术,"42000900,42000901,42000902,42000903","42000900,42000901,42000902,42000903"
1254008,慈航普度1,"42001100,42001101,42001102,42001103","42001100,42001101,42001102,42001103"
1254009,慈航普度复活,42001104,42001104
1254010,慈航普度-结算,42001105,42001105
1254011,自在心法,"16000500,16000501,16000502,16000503","16000500,16000501,16000502,16000503"
1254012,四海升平,"42000800,42000801,42000802,42000803","42000800,42000801,42000802,42000803"
2060011,横扫千军1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304,11000305,11000306,11000307"
1640056,,15000710,15000710
1640080,,15000710,15000710
1650030,杨柳甘露复活,"16000300,16000301,16000302,16000303","16000300,16000301,16000302,16000303"
1650031,杨柳甘露加血,16000310,16000310
1650040,唤花灵,"16300300,16300301,16300302","16300300,16300301,16300302"
1650041,唤花灵,"16300310,16300311","16300310,16300311"
1655010,雷霆万钧1,"18422200,18422201,18422202,18422203,18422204,18422205,18422206,18422207","18422200,18422201,18422202,18422203,18422204,18422205,18422206,18422207"
1655011,雷霆万钧2,"18422210,18422211,18422212,18422213,18422214,18422215","18422210,18422211,18422212,18422213,18422214,18422215"
1655012,雷霆万钧3,"18422220,18422221,18422222,18422223,18422224,18422225","18422220,18422221,18422222,18422223,18422224,18422225"
1655013,雷霆万钧4,"18422230,18422231,18422232,18422233,18422234,18422235","18422230,18422231,18422232,18422233,18422234,18422235"
1655014,雷霆万钧5,"18422230,18422231,18422232,18422233,18422234,18422235","18422230,18422231,18422232,18422233,18422234,18422235"
1655015,雷霆万钧6,"18422230,18422231,18422232,18422233,18422234,18422235","18422230,18422231,18422232,18422233,18422234,18422235"
1655016,雷霆万钧7,"18422230,18422231,18422232,18422233,18422234,18422235","18422230,18422231,18422232,18422233,18422234,18422235"
1655017,雷霆万钧5现身,18422240,18422240
1655020,天雷斩,"18422300,18422301,18422302,18422303,18422304,18422310","18422300,18422301,18422302,18422303,18422304,18422310"
1655021,天雷斩2,"18422300,18422301,18422302,18422303,18422304,18422310","18422300,18422301,18422302,18422303,18422304,18422310"
1655030,错乱,"18422400,18422401,18422402,18422403,18422404,18422410","18422400,18422401,18422402,18422403,18422404,18422410"
1655031,错乱2,"18422400,18422401,18422402,18422403,18422404,18422410","18422400,18422401,18422402,18422403,18422404,18422410"
1655040,百万神兵,"18422500,18422501,18422502,18422503,18422504,18422510","18422500,18422501,18422502,18422503,18422504,18422510"
1655050,五雷轰顶1,"18422600,18422601,18422602,18422603","18422600,18422601,18422602,18422603"
1655051,五雷轰顶2,"18422610,18422611,18422612,18422613","18422610,18422611,18422612,18422613"
1655060,昊神乱仙1,"18422700,18422701,18422702,18422703,18422704,18422710","18422700,18422701,18422702,18422703,18422704,18422710"
1670010,裂石1,"16700100,16700101,16700102,16700103,16700104","16700100,16700101,16700102,16700103,16700104"
1670011,裂石1,"16700100,16700101,16700102,16700103,16700104","16700100,16700101,16700102,16700103,16700104"
1670020,断岳势1,"16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207","16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207"
1670021,断岳势2,"16200210,16200211","16200210,16200211"
1670030,狂怒,"19100000,19100001,19100002","19100000,19100001,19100002"
1670040,浪涌1,"16700400,16700401,16700402,16700403,16700404","16700400,16700401,16700402,16700403,16700404"
1670041,浪涌2,"16700410,16700411,16700412,16700413,16700414","16700410,16700411,16700412,16700413,16700414"
1670042,浪涌3,"16700420,16700421,16700422,16700423,16700424","16700420,16700421,16700422,16700423,16700424"
1670050,惊涛怒1,"16700500,16700501,16700502,16700503,16700504","16700500,16700501,16700502,16700503,16700504"
1670051,惊涛怒2,"16700510,16700511,16700512,16700513,16700514","16700510,16700511,16700512,16700513,16700514"
1670052,惊涛怒3,"16700520,16700521,16700522,16700523,16700524","16700520,16700521,16700522,16700523,16700524"
1670060,翻江搅海1,"16700600,16700601,16700602,16700603,16700604","16700600,16700601,16700602,16700603,16700604"
1670061,翻江搅海2,"16700610,16700611,16700612,16700613,16700614","16700610,16700611,16700612,16700613,16700614"
1670062,翻江搅海3,"16700620,16700621,16700622,16700623,16700624","16700620,16700621,16700622,16700623,16700624"
1670070,破血狂攻0,"42003100,42003101,42003102,42003103,42003104","42003100,42003101,42003102,42003103,42003104"
1670071,破血狂攻1,"42003110,42003111,42003112,42003113,42003114","42003110,42003111,42003112,42003113,42003114"
1670072,破血狂攻0,"42003100,42003101,42003102,42003103,42003104","42003100,42003101,42003102,42003103,42003104"
1670073,破血狂攻1,"42003110,42003111,42003112,42003113,42003114","42003110,42003111,42003112,42003113,42003114"
1670074,破血狂攻0,"42003100,42003101,42003102,42003103,42003104","42003100,42003101,42003102,42003103,42003104"
1670075,破血狂攻1,"42003110,42003111,42003112,42003113,42003114","42003110,42003111,42003112,42003113,42003114"
1680010,日月乾坤1,"20701900,20701901,20701902,20701903,20701904","20701900,20701901,20701902,20701903,20701904"
1680020,炼气化神1,"16800200,16800201,16800202","16800200,16800201,16800202"
1680021,炼气化神2,"16800210,16800211","16800210,16800211"
1680030,生命之泉1,"16800300,16800301,16800302","16800300,16800301,16800302"
1680031,生命之泉2,"16800310,16800311","16800310,16800311"
1680032,生命之泉2,"16800310,16800311","16800310,16800311"
1680040,烟雨剑法1,"16800400,16800401,16800402,16800403,16800404","16800400,16800401,16800402,16800403,16800404"
1680041,烟雨剑法2,"16800410,16800411,16800412,16800413,16800414","16800410,16800411,16800412,16800413,16800414"
1680042,烟雨剑法3,"16800420,16800421,16800422,16800423,16800424","16800420,16800421,16800422,16800423,16800424"
1680050,飘渺式1,"16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207","16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207"
1680051,飘渺式2,"16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207","16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207"
1680052,飘渺式3,"16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207","16200200,16200201,16200202,16200203,16200204,16200205,16200206,16200207"
1680060,乾坤妙法1,"16800600,16800601,16800602,16800603,16800604","16800600,16800601,16800602,16800603,16800604"
1680061,乾坤妙法2,"16800610,16800611,16800612,16800613,16800614","16800610,16800611,16800612,16800613,16800614"
1680062,乾坤妙法3,"16800620,16800621,16800622,16800623,16800624","16800620,16800621,16800622,16800623,16800624"
1680070,一气化三清,"16800700,16800701,16800702,16800703","16800700,16800701,16800702,16800703"
1690010,勾魂1,"16900100,16900101,16900102,16900103","16900100,16900101,16900102,16900103"
1690011,勾魂2,"16900110,16900111,16900112","16900110,16900111,16900112"
1690012,勾魂3,"16900120,16900121,16900122","16900120,16900121,16900122"
1690020,摄魄1,"16900200,16900201,16900202,16900203","16900200,16900201,16900202,16900203"
1690021,摄魄2,"16900210,16900211,16900212","16900210,16900211,16900212"
1690022,摄魄3,"16900220,16900221,16900222","16900220,16900221,16900222"
1690030,魔音摄魂1,"16900300,16900301,16900302,16900303,16900304,16900305","16900300,16900301,16900302,16900303,16900304,16900305"
1690031,魔音摄魂2,16900310,16900310
1690040,含情脉脉,"16900400,16900401,16900402,16900403,16900404,16900405","16900400,16900401,16900402,16900403,16900404,16900405"
1690041,含情脉脉1,16900410,16900410
1690050,天罗地网,"16900500,16900501,16900502","16900500,16900501,16900502"
1690051,天罗地网,"16900510,16900511","16900510,16900511"
1690052,天罗地网,"16900520,16900521","16900520,16900521"
1690053,天罗地网,"16900530,16900531","16900530,16900531"
1690054,天罗地网,"16900540,16900541","16900540,16900541"
1690055,天罗地网,"16900550,16900551","16900550,16900551"
1690060,姐妹同心,"16900600,16900601,16900602,16900603","16900600,16900601,16900602,16900603"
1690070,幻镜术1,"16900700,16900701,16900702,16900703","16900700,16900701,16900702,16900703"
1710060,新手无敌斩1,"11000700,11000701,11000702","11000700,11000701,11000702"
1710061,新手无敌斩2,"11000710,11000711","11000710,11000711"
1710062,新手无敌斩3,"11000720,11000721","11000720,11000721"
1710063,新手无敌斩4,"11000730,11000731","11000730,11000731"
1710064,新手无敌斩5,"11000740,11000741","11000740,11000741"
1710065,新手无敌斩6,"11000750,11000751","11000750,11000751"
1710066,新手无敌斩7,"11000760,11000761","11000760,11000761"
1710067,新手无敌斩8,"11000770,11000771","11000770,11000771"
1710068,新手无敌斩9,"11000780,11000781","11000780,11000781"
1710069,新手无敌斩虚弱休息,11000790,11000790
1720060,新手守护圣盾1,"12000600,12000601,12000602,12000603","12000600,12000601,12000602,12000603"
1720061,新手守护圣盾2,"12000610,12000611","12000610,12000611"
1720062,新手守护圣盾3,"12000620,12000621","12000620,12000621"
1720063,新手守护圣盾4,"12000630,12000631","12000630,12000631"
1720064,新手守护圣盾5,"12000640,12000641","12000640,12000641"
1720065,新手守护圣盾虚弱休息,12000650,12000650
1730060,新手奇鹰击长空1,"13000700,13000701,13000702","13000700,13000701,13000702"
1730061,新手奇鹰击长空2,"13000710,13000711","13000710,13000711"
1730062,新手奇鹰击长空3,"13000720,13000721","13000720,13000721"
1730063,新手奇鹰击长空4,"13000730,13000731","13000730,13000731"
1730064,新手奇鹰击长空5,"13000740,13000741","13000740,13000741"
1730065,新手奇鹰击长空虚弱休息,13000750,13000750
1740060,新手纠缠根须,"14000700,14000701,14000702,14000703,14000704,14000705","14000700,14000701,14000702,14000703,14000704,14000705"
1740061,新手纠缠根须减防,14000710,14000710
1740062,新手纠缠根须PVE伤害,14000720,14000720
1740063,新手纠缠根须虚弱休息,14000730,14000730
1750060,新手烈焰风暴,"15000700,15000701,15000702","15000700,15000701,15000702"
1750061,新手烈焰风暴虚弱休息,15000710,15000710
1760060,新手天定之国,"16000700,16000701,16000702,16000703","16000700,16000701,16000702,16000703"
1760061,新手天定之国虚弱休息,16000710,16000710
1770070,风暴轰击,"16100700,16100701,16100702","16100700,16100701,16100702"
1770071,风暴轰击虚弱休息,16100710,16100710
1780070,杀戮盛宴1,"16200700,16200701,16200702,16200703,16200704,16200705","16200700,16200701,16200702,16200703,16200704,16200705"
1780071,杀戮盛宴2,"16200710,16200711,16200712,16200713,16200714","16200710,16200711,16200712,16200713,16200714"
1780072,杀戮盛宴3,"16200720,16200721,16200722,16200723,16200724","16200720,16200721,16200722,16200723,16200724"
1780073,杀戮盛宴4,"16200730,16200731,16200732,16200733,16200734","16200730,16200731,16200732,16200733,16200734"
1780074,杀戮盛宴5,"16200740,16200741,16200742,16200743,16200744","16200740,16200741,16200742,16200743,16200744"
1780075,杀戮盛宴6,"16200750,16200751,16200752,16200753,16200754","16200750,16200751,16200752,16200753,16200754"
1780076,杀戮盛宴7,"16200760,16200761,16200762,16200763,16200764","16200760,16200761,16200762,16200763,16200764"
1780078,杀戮盛宴虚弱休息,16200780,16200780
1790070,舍生取义1,"16300700,16300701,16300702","16300700,16300701,16300702"
1790071,舍生取义2,16300710,16300710
1790072,舍生取义3,16300720,16300720
1790073,舍生取义4,16300730,16300730
1790074,舍生取义5,16300740,16300740
1790075,舍生取义虚弱休息,16300750,16300750
1800000,冰箭,"18000000,18000001,18000003,18000004","18000000,18000001,18000003,18000004"
1800010,新手boss三连1,"11000300,11000301,11000302,11000303,11000304","11000300,11000301,11000302,11000303,11000304"
1800011,新手boss三连2,"11000310,11000311,11000312,11000313,11000314","11000310,11000311,11000312,11000313,11000314"
1800012,新手boss三连3,"11000320,11000321,11000322,11000323,11000324","11000320,11000321,11000322,11000323,11000324"
1800013,新手boss三连休息,"11000330,11000331","11000330,11000331"
1800020,剧情boss单体物理秒杀,"11000400,11000401,11000402,11000403,11000404","11000400,11000401,11000402,11000403,11000404"
1800030,剧情boss单体法系秒杀,"15000200,15000201,15000202","15000200,15000201,15000202"
1800040,剧情bossAOE法系秒杀,"18000000,18000001,18000002,18000003,18000004","18000000,18000001,18000002,18000003,18000004"
1800110,怪物三控,"16300200,16300201,16300202,16300203","16300200,16300201,16300202,16300203"
1800120,剧情单体残血（90%）,"16300100,16300101,16300102","15000200,15000201,15000202,15000203"
1800130,剧情全体残血（90%）,"18405120,18405121,18405122,18405123","20700306,20700307,20700308"
1800140,剧情单体无伤害技能,#REF!,"20700306,20700307,20700308"
1800150,剧情全体无伤害技能,"16300200,16300201,16300202,16300203","15000700,15000701,15000702"
1800160,剧情单体加满血技能,"16300700,16300701,16300702,16300703","16000200,16000201,16000202"
1800170,剧情群体加满血技能,"16300700,16300701,16300702,16300703","16000200,16000201,16000202"
1800180,剧情群体复活,#REF!,"16000300,16000301,16000302,16000303"
1800181,剧情群体复活加血,#REF!,16000310
1800190,阿迦玛甘之佑,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
1800200,阿迦玛甘之力,"16200100,16200101,16200102,16200103,16200104,16200105","16000200,16000201,16000202"
1800210,阿迦玛甘之怒,"11000310,11000311,11000312","11000310,11000311,11000312"
1800220,超电磁炮,"15000100,15000101,15000102,15000103","15000100,15000101,15000102,15000103"
1800230,落雷,"16000100,16000101,16000102","16000100,16000101,16000102"
1800240,龙卷雨击,"15000100,15000101,15000102,15000103","15000100,15000101,15000102,15000103"
1800250,吐息,"18002500,18002501,18002502,18002503","18002500,18002501,18002502,18002503"
1800300,公会副本（演示）冰箭,"15000100,15000101,15000102,15000103","15000100,15000101,15000102,15000103"
1800310,公会副本（演示）冰龙,"18002500,18002501,18002502,18002503,18002504","18002500,18002501,18002502,18002503,18002504"
1800320,龙卷雨击,"15000100,15000101,15000102,15000103","15000100,15000101,15000102,15000103"
1810010,睡眠,"18100100,18100101","18100100,18100101"
1820010,公会副本熔火之心-加攻击10%,"14000504,14000505","13000000,13000001,13000002"
1820020,公会副本熔火之心-加攻击20%,"14000504,14000505","13000000,13000001,13000002"
1820030,公会副本熔火之心-加攻击30%,"14000504,14000505","13000000,13000001,13000002"
1820040,公会副本熔火之心-加攻击40%,"14000504,14000505","13000000,13000001,13000002"
1820050,公会副本熔火之心-加攻击50%,"14000504,14000505","13000000,13000001,13000002"
1820060,公会副本熔火之心-加攻击60%,"14000504,14000505","13000000,13000001,13000002"
1820101,公会副本熔火之心-爆后对敌方所有5%,"19000010,19000011,19000012","19000010,19000011,19000012"
1820110,公会副本熔火之心-自爆100%,"19000000,19000001,19000002","19000000,19000001,19000002"
1820111,公会副本熔火之心-爆后对敌方所有10%,"19000010,19000011,19000012","19000010,19000011,19000012"
1820120,公会副本熔火之心-自爆100%,"19000000,19000001,19000002","19000000,19000001,19000002"
1820121,公会副本熔火之心-爆后对敌方所有20%,"19000010,19000011,19000012","19000010,19000011,19000012"
1820130,公会副本熔火之心-自爆100%,"19000000,19000001,19000002","19000000,19000001,19000002"
1820131,公会副本熔火之心-爆后对敌方所有50%,"19000010,19000011,19000012","19000010,19000011,19000012"
1830000,冠军试炼-双封,"16300200,16300201,16300202,16300203","16300200,16300201,16300202,16300203"
1830010,熔岩轰击,"18300100,18300101,18300102","18300100,18300101,18300102"
1830020,岩浆喷发1,"18300200,18300201,18300202","18300200,18300201,18300202"
1830021,岩浆喷发2,"18300210,18300211","18300210,18300211"
1830022,岩浆喷发3,"18300220,18300221","18300220,18300221"
1830023,岩浆喷发4,"18300230,18300231","18300230,18300231"
1830024,岩浆喷发5,"18300240,18300241","18300240,18300241"
1830025,岩浆喷发6,"18300250,18300251","18300250,18300251"
1830026,岩浆喷发7,"18300260,18300261","18300260,18300261"
1830027,岩浆喷发8,"18300270,18300271","18300270,18300271"
1830028,岩浆喷发9,"18300280,18300281","18300280,18300281"
1830029,岩浆喷发10,"18300290,18300291","18300290,18300291"
1830030,治疗之环,"16000200,16000201,16000202","16000200,16000201,16000202"
1830050,副本抓宝宝满血复活清负面状态,"18300500,18300501,18300502,18300503","18300500,18300501,18300502,18300503"
1830070,驱散无敌,"18300700,18300701,18300702,18300703","18300700,18300701,18300702,18300703"
1830071,驱散无敌药品效果,"26666665,26666666,26666667,26666668",
1830080,巨龙吐息,"16300100,16300101,16300102,16300103","16300100,16300101,16300102,16300103"
1830090,冰封王座-忠诚考研,"19100200,19100201,19100202,19100203,19100204","19100200,19100201,19100202,19100203,19100204"
1830100,唧唧歪歪1,"16300100,16300101,16300102,16300103","16300100,16300101,16300102,16300103"
1830101,唧唧歪歪2,16300110,16300110
1830102,唧唧歪歪3,16300120,16300120
1830103,唧唧歪歪4,16300130,16300130
1830104,唧唧歪歪5,16300140,16300140
1830105,唧唧歪歪6,16300150,16300150
1830110,复仇之力,"14000700,14000701,14000702,14000703,14000704,14000705","14000700,14000701,14000702,14000703,14000704,14000705"
1830111,复仇之力减防,14000710,14000710
1830120,怪物一控,"19100200,19100201,19100202,19100203,19100204","16300200,16300201,16300202,16300203"
1830130,古神灵动九天无冒字1,"16000400,16000401,16000402,16000403","16000400,16000401,16000402,16000403"
1830131,古神灵动九天无冒字2,"16000410,16000411,16000412","16000410,16000411,16000412"
1830132,古神灵动九天无冒字3,"16000420,16000421,16000422","16000420,16000421,16000422"
1830133,古神灵动九天无冒字4,"16000430,16000431,16000432","16000430,16000431,16000432"
1830134,古神灵动九天无冒字5,"16000440,16000441,16000442","16000440,16000441,16000442"
1830135,古神灵动九天无冒字6,"16000450,16000451,16000452","16000450,16000451,16000452"
1830136,古神灵动九天无冒字7,"16000460,16000461,16000462","16000460,16000461,16000462"
1840062,全队无敌,"13001400,13001401,13001402,13001403",
1890010,飞花摘叶1,"18421300,18421301,18421302,18421303,18421304","18421300,18421301,18421302,18421303,18421304"
1890011,飞花摘叶2,"18421310,18421311","18421310,18421311"
1890012,飞花摘叶3,"18421320,18421321","18421320,18421321"
1890013,飞花摘叶4,"18421330,18421331","18421330,18421331"
1890014,飞花摘叶5,"18421340,18421341","18421340,18421341"
1890015,飞花摘叶6,"18421350,18421351","18421350,18421351"
1890016,飞花摘叶7,"18421350,18421351","18421350,18421351"
1890017,飞花摘叶8,"18421350,18421351","18421350,18421351"
1890018,飞花摘叶9,"18421350,18421351","18421350,18421351"
1890020,一笑倾城1,"18421400,18421401,18421402,18421403","18421400,18421401,18421402,18421403"
1890021,一笑倾城2,"18421410,18421411","18421410,18421411"
1890022,一笑倾城3,"18421420,18421421","18421420,18421421"
1890023,一笑倾城4,"18421420,18421421","18421420,18421421"
1890030,漫天花雨,"18421500,18421501,18421502,18421503","18421500,18421501,18421502,18421503"
1890031,漫天花雨,"18421500,18421501,18421502,18421503","18421500,18421501,18421502,18421503"
1890040,唤花灵,"18421700,18421701,18421702,18421703","18421700,18421701,18421702,18421703"
1890041,唤花灵2,"18421700,18421701,18421702,18421703","18421700,18421701,18421702,18421703"
1890050,递花魂,"18421800,18421801,18421802","18421800,18421801,18421802"
1890060,镜花水月,"18421900,18421901,18421902,18421903","18421900,18421901,18421902,18421903"
1900000,冰封王座自爆80%血,"19000000,19000001,19000002","19000000,19000001,19000002"
1900001,冰封王座自爆后对敌方所有80%血,"19000010,19000011,19000012","19000010,19000011,19000012"
1910000,变身,"19100000,19100001,19100002","19100000,19100001,19100002"
1910010,鹰击1,"19100100,19100101,19100102,19100103,19100104","19100100,19100101,19100102,19100103,19100104"
1910011,鹰击2,"19100110,19100111,19100112,19100113,19100114","19100110,19100111,19100112,19100113,19100114"
1910012,鹰击3,"19100120,19100121,19100122,19100123,19100124","19100120,19100121,19100122,19100123,19100124"
1910013,鹰击4,"19100130,19100131,19100132,19100133,19100134","19100130,19100131,19100132,19100133,19100134"
1910014,鹰击5,"19100140,19100141,19100142,19100143,19100144","19100140,19100141,19100142,19100143,19100144"
1910015,鹰击6,"19100150,19100151,19100152,19100153,19100154","19100150,19100151,19100152,19100153,19100154"
1910016,鹰击虚弱休息,"19100160,19100161","19100160,19100161"
1910020,狮搏,"19100200,19100201,19100202,19100203,19100204","19100200,19100201,19100202,19100203,19100204"
1910030,魔息术,"19100300,19100301,19100302,19100303","19100300,19100301,19100302,19100303"
1910040,象形1,"19100400,19100401,19100402","19100400,19100401,19100402"
1910041,象形2,"19100410,19100411,19100412","19100410,19100411,19100412"
1910050,连环击1,"19100500,19100501,19100502,19100503,19100504","19100500,19100501,19100502,19100503,19100504"
1910051,连环击2,"19100510,19100511,19100512,19100513,19100514","19100510,19100511,19100512,19100513,19100514"
1910052,连环击3,"19100520,19100521,19100522,19100523,19100524","19100520,19100521,19100522,19100523,19100524"
1910053,连环击4,"19100530,19100531,19100532,19100533,19100534","19100530,19100531,19100532,19100533,19100534"
1910054,连环击5,"19100540,19100541,19100542,19100543,19100544","19100540,19100541,19100542,19100543,19100544"
1910055,连环击6,"19100550,19100551,19100552,19100553,19100554","19100550,19100551,19100552,19100553,19100554"
1910056,连环击虚弱休息,"19100560,19100561","19100560,19100561"
1910070,奇鹰击长空1,"19100700,19100701,19100702,19100703,19100704","19100700,19100701,19100702,19100703,19100704"
1910071,奇鹰击长空2,"19100710,19100711","19100710,19100711"
1910072,奇鹰击长空3,"19100720,19100721","19100720,19100721"
1910073,奇鹰击长空4,"19100730,19100731","19100730,19100731"
1910074,奇鹰击长空5,"19100740,19100741","19100740,19100741"
1910075,奇鹰击长空虚弱休息,19100750,19100750
