附加属性id,名称,颜色,属性id,属性名称,区间,buffid,技能id,拍卖筛选是否显示
425,敏捷+&,FF00b1ff,65,agi_value,19;37,0,0,1
426,体质+&,FF00b1ff,15,cons_value,21;36,0,0,1
427,智力+&,FF00b1ff,25,iq_value,21;37,0,0,1
428,力量+&,FF00b1ff,35,str_value,21;38,0,0,1
429,耐力+&,FF00b1ff,45,endu_value,21;39,0,0,1
430,敏捷+&,FF00b1ff,65,agi_value,21;40,0,0,1
431,体质+&,FF00b1ff,15,cons_value,23;39,0,0,1
432,智力+&,FF00b1ff,25,iq_value,23;40,0,0,1
433,力量+&,FF00b1ff,35,str_value,23;41,0,0,1
434,耐力+&,FF00b1ff,45,endu_value,23;42,0,0,1
435,敏捷+&,FF00b1ff,65,agi_value,23;43,0,0,1
436,体质+&,FF00b1ff,15,cons_value,24;43,0,0,1
437,智力+&,FF00b1ff,25,iq_value,24;44,0,0,1
438,力量+&,FF00b1ff,35,str_value,24;45,0,0,1
439,耐力+&,FF00b1ff,45,endu_value,24;46,0,0,1
440,敏捷+&,FF00b1ff,65,agi_value,24;47,0,0,1
441,体质+&,FF00b1ff,15,cons_value,26;46,0,0,1
442,智力+&,FF00b1ff,25,iq_value,26;47,0,0,1
443,力量+&,FF00b1ff,35,str_value,26;48,0,0,1
444,耐力+&,FF00b1ff,45,endu_value,26;49,0,0,1
445,敏捷+&,FF00b1ff,65,agi_value,26;50,0,0,1
446,体质+&,FF00b1ff,15,cons_value,28;49,0,0,1
447,智力+&,FF00b1ff,25,iq_value,28;50,0,0,1
448,力量+&,FF00b1ff,35,str_value,28;51,0,0,1
449,耐力+&,FF00b1ff,45,endu_value,28;52,0,0,1
450,敏捷+&,FF00b1ff,65,agi_value,28;53,0,0,1
451,体质+&,FF00b1ff,15,cons_value,3;4,0,0,1
452,智力+&,FF00b1ff,25,iq_value,3;5,0,0,1
453,力量+&,FF00b1ff,35,str_value,3;6,0,0,1
454,耐力+&,FF00b1ff,45,endu_value,3;7,0,0,1
455,敏捷+&,FF00b1ff,65,agi_value,3;8,0,0,1
456,体质+&,FF00b1ff,15,cons_value,5;9,0,0,1
457,智力+&,FF00b1ff,25,iq_value,5;10,0,0,1
458,力量+&,FF00b1ff,35,str_value,5;11,0,0,1
459,耐力+&,FF00b1ff,45,endu_value,5;12,0,0,1
460,敏捷+&,FF00b1ff,65,agi_value,5;13,0,0,1
461,体质+&,FF00b1ff,15,cons_value,8;13,0,0,1
462,智力+&,FF00b1ff,25,iq_value,8;14,0,0,1
463,力量+&,FF00b1ff,35,str_value,8;15,0,0,1
464,耐力+&,FF00b1ff,45,endu_value,8;16,0,0,1
465,敏捷+&,FF00b1ff,65,agi_value,8;17,0,0,1
466,体质+&,FF00b1ff,15,cons_value,10;18,0,0,1
467,智力+&,FF00b1ff,25,iq_value,10;19,0,0,1
468,力量+&,FF00b1ff,35,str_value,10;20,0,0,1
469,耐力+&,FF00b1ff,45,endu_value,10;21,0,0,1
470,敏捷+&,FF00b1ff,65,agi_value,10;22,0,0,1
471,体质+&,FF00b1ff,15,cons_value,13;22,0,0,1
472,智力+&,FF00b1ff,25,iq_value,13;23,0,0,1
473,力量+&,FF00b1ff,35,str_value,13;24,0,0,1
474,耐力+&,FF00b1ff,45,endu_value,13;25,0,0,1
475,敏捷+&,FF00b1ff,65,agi_value,13;26,0,0,1
476,体质+&,FF00b1ff,15,cons_value,15;26,0,0,1
477,智力+&,FF00b1ff,25,iq_value,15;27,0,0,1
478,力量+&,FF00b1ff,35,str_value,15;28,0,0,1
479,耐力+&,FF00b1ff,45,endu_value,15;29,0,0,1
480,敏捷+&,FF00b1ff,65,agi_value,15;30,0,0,1
481,体质+&,FF00b1ff,15,cons_value,18;31,0,0,1
482,智力+&,FF00b1ff,25,iq_value,18;32,0,0,1
483,力量+&,FF00b1ff,35,str_value,18;33,0,0,1
484,耐力+&,FF00b1ff,45,endu_value,18;34,0,0,1
485,敏捷+&,FF00b1ff,65,agi_value,18;35,0,0,1
486,体质+&,FF00b1ff,15,cons_value,20;35,0,0,1
487,智力+&,FF00b1ff,25,iq_value,20;36,0,0,1
488,力量+&,FF00b1ff,35,str_value,20;37,0,0,1
489,耐力+&,FF00b1ff,45,endu_value,20;38,0,0,1
490,敏捷+&,FF00b1ff,65,agi_value,20;39,0,0,1
491,体质+&,FF00b1ff,15,cons_value,23;39,0,0,1
492,智力+&,FF00b1ff,25,iq_value,23;40,0,0,1
493,力量+&,FF00b1ff,35,str_value,23;41,0,0,1
494,耐力+&,FF00b1ff,45,endu_value,23;42,0,0,1
495,敏捷+&,FF00b1ff,65,agi_value,23;43,0,0,1
496,体质+&,FF00b1ff,15,cons_value,25;44,0,0,1
497,智力+&,FF00b1ff,25,iq_value,25;45,0,0,1
498,力量+&,FF00b1ff,35,str_value,25;46,0,0,1
499,耐力+&,FF00b1ff,45,endu_value,25;47,0,0,1
500,敏捷+&,FF00b1ff,65,agi_value,25;48,0,0,1
501,体质+&,FF00b1ff,15,cons_value,28;48,0,0,1
502,智力+&,FF00b1ff,25,iq_value,28;49,0,0,1
503,力量+&,FF00b1ff,35,str_value,28;50,0,0,1
504,耐力+&,FF00b1ff,45,endu_value,28;51,0,0,1
505,敏捷+&,FF00b1ff,65,agi_value,28;52,0,0,1
506,体质+&,FF00b1ff,15,cons_value,30;53,0,0,1
507,智力+&,FF00b1ff,25,iq_value,30;54,0,0,1
508,力量+&,FF00b1ff,35,str_value,30;55,0,0,1
509,耐力+&,FF00b1ff,45,endu_value,30;56,0,0,1
510,敏捷+&,FF00b1ff,65,agi_value,30;57,0,0,1
511,体质+&,FF00b1ff,15,cons_value,33;57,0,0,1
512,智力+&,FF00b1ff,25,iq_value,33;58,0,0,1
513,力量+&,FF00b1ff,35,str_value,33;59,0,0,1
514,耐力+&,FF00b1ff,45,endu_value,33;60,0,0,1
515,敏捷+&,FF00b1ff,65,agi_value,33;61,0,0,1
516,体质+&,FF00b1ff,15,cons_value,35;61,0,0,1
517,智力+&,FF00b1ff,25,iq_value,35;62,0,0,1
518,力量+&,FF00b1ff,35,str_value,35;63,0,0,1
519,耐力+&,FF00b1ff,45,endu_value,35;64,0,0,1
520,敏捷+&,FF00b1ff,65,agi_value,35;65,0,0,1
521,体质+&,FF00b1ff,15,cons_value,38;66,0,0,1
522,智力+&,FF00b1ff,25,iq_value,38;67,0,0,1
523,力量+&,FF00b1ff,35,str_value,38;68,0,0,1
524,耐力+&,FF00b1ff,45,endu_value,38;69,0,0,1
525,敏捷+&,FF00b1ff,65,agi_value,38;70,0,0,1
526,体质+&,FF00b1ff,15,cons_value,-1;-1,0,0,1
527,智力+&,FF00b1ff,25,iq_value,-1;-2,0,0,1
528,力量+&,FF00b1ff,35,str_value,-1;-3,0,0,1
529,耐力+&,FF00b1ff,45,endu_value,-1;-4,0,0,1
530,敏捷+&,FF00b1ff,65,agi_value,-1;-5,0,0,1
531,体质+&,FF00b1ff,15,cons_value,-2;-2,0,0,1
532,智力+&,FF00b1ff,25,iq_value,-2;-2,0,0,1
533,力量+&,FF00b1ff,35,str_value,-2;-2,0,0,1
534,耐力+&,FF00b1ff,45,endu_value,-2;-2,0,0,1
535,敏捷+&,FF00b1ff,65,agi_value,-2;-2,0,0,1
536,体质+&,FF00b1ff,15,cons_value,-2;-3,0,0,1
537,智力+&,FF00b1ff,25,iq_value,-2;-3,0,0,1
538,力量+&,FF00b1ff,35,str_value,-2;-3,0,0,1
539,耐力+&,FF00b1ff,45,endu_value,-2;-3,0,0,1
540,敏捷+&,FF00b1ff,65,agi_value,-2;-3,0,0,1
541,体质+&,FF00b1ff,15,cons_value,-3;-4,0,0,1
542,智力+&,FF00b1ff,25,iq_value,-3;-5,0,0,1
543,力量+&,FF00b1ff,35,str_value,-3;-6,0,0,1
544,耐力+&,FF00b1ff,45,endu_value,-3;-7,0,0,1
545,敏捷+&,FF00b1ff,65,agi_value,-3;-8,0,0,1
546,体质+&,FF00b1ff,15,cons_value,-4;-5,0,0,1
547,智力+&,FF00b1ff,25,iq_value,-4;-5,0,0,1
548,力量+&,FF00b1ff,35,str_value,-4;-5,0,0,1
549,耐力+&,FF00b1ff,45,endu_value,-4;-5,0,0,1
550,敏捷+&,FF00b1ff,65,agi_value,-4;-5,0,0,1
551,体质+&,FF00b1ff,15,cons_value,-4;-7,0,0,1
552,智力+&,FF00b1ff,25,iq_value,-4;-7,0,0,1
553,力量+&,FF00b1ff,35,str_value,-4;-7,0,0,1
554,耐力+&,FF00b1ff,45,endu_value,-4;-7,0,0,1
555,敏捷+&,FF00b1ff,65,agi_value,-4;-7,0,0,1
556,体质+&,FF00b1ff,15,cons_value,-5;-8,0,0,1
557,智力+&,FF00b1ff,25,iq_value,-5;-8,0,0,1
558,力量+&,FF00b1ff,35,str_value,-5;-8,0,0,1
559,耐力+&,FF00b1ff,45,endu_value,-5;-8,0,0,1
560,敏捷+&,FF00b1ff,65,agi_value,-5;-8,0,0,1
561,体质+&,FF00b1ff,15,cons_value,-5;-9,0,0,1
562,智力+&,FF00b1ff,25,iq_value,-5;-9,0,0,1
563,力量+&,FF00b1ff,35,str_value,-5;-9,0,0,1
564,耐力+&,FF00b1ff,45,endu_value,-5;-9,0,0,1
565,敏捷+&,FF00b1ff,65,agi_value,-5;-9,0,0,1
566,体质+&,FF00b1ff,15,cons_value,-6;-10,0,0,1
567,智力+&,FF00b1ff,25,iq_value,-6;-11,0,0,1
568,力量+&,FF00b1ff,35,str_value,-6;-12,0,0,1
569,耐力+&,FF00b1ff,45,endu_value,-6;-13,0,0,1
570,敏捷+&,FF00b1ff,65,agi_value,-6;-14,0,0,1
571,体质+&,FF00b1ff,15,cons_value,-7;-11,0,0,1
572,智力+&,FF00b1ff,25,iq_value,-7;-11,0,0,1
573,力量+&,FF00b1ff,35,str_value,-7;-11,0,0,1
574,耐力+&,FF00b1ff,45,endu_value,-7;-11,0,0,1
575,敏捷+&,FF00b1ff,65,agi_value,-7;-11,0,0,1
576,体质+&,FF00b1ff,15,cons_value,-7;-12,0,0,1
577,智力+&,FF00b1ff,25,iq_value,-7;-12,0,0,1
578,力量+&,FF00b1ff,35,str_value,-7;-12,0,0,1
579,耐力+&,FF00b1ff,45,endu_value,-7;-12,0,0,1
580,敏捷+&,FF00b1ff,65,agi_value,-7;-12,0,0,1
581,体质+&,FF00b1ff,15,cons_value,-8;-13,0,0,1
582,智力+&,FF00b1ff,25,iq_value,-8;-14,0,0,1
583,力量+&,FF00b1ff,35,str_value,-8;-15,0,0,1
584,耐力+&,FF00b1ff,45,endu_value,-8;-16,0,0,1
585,敏捷+&,FF00b1ff,65,agi_value,-8;-17,0,0,1
586,体质+&,FF00b1ff,15,cons_value,-9;-14,0,0,1
587,智力+&,FF00b1ff,25,iq_value,-9;-14,0,0,1
588,力量+&,FF00b1ff,35,str_value,-9;-14,0,0,1
589,耐力+&,FF00b1ff,45,endu_value,-9;-14,0,0,1
590,敏捷+&,FF00b1ff,65,agi_value,-9;-14,0,0,1
591,体质+&,FF00b1ff,15,cons_value,-9;-15,0,0,1
592,智力+&,FF00b1ff,25,iq_value,-9;-15,0,0,1
593,力量+&,FF00b1ff,35,str_value,-9;-15,0,0,1
594,耐力+&,FF00b1ff,45,endu_value,-9;-15,0,0,1
595,敏捷+&,FF00b1ff,65,agi_value,-9;-15,0,0,1
596,体质+&,FF00b1ff,15,cons_value,-10;-16,0,0,1
597,智力+&,FF00b1ff,25,iq_value,-10;-17,0,0,1
598,力量+&,FF00b1ff,35,str_value,-10;-18,0,0,1
599,耐力+&,FF00b1ff,45,endu_value,-10;-19,0,0,1
600,敏捷+&,FF00b1ff,65,agi_value,-10;-20,0,0,1
601,体质+&,FF00b1ff,15,cons_value,2;3,0,0,1
602,智力+&,FF00b1ff,25,iq_value,2;4,0,0,1
603,力量+&,FF00b1ff,35,str_value,2;5,0,0,1
604,耐力+&,FF00b1ff,45,endu_value,2;6,0,0,1
605,敏捷+&,FF00b1ff,65,agi_value,2;7,0,0,1
606,体质+&,FF00b1ff,15,cons_value,3;6,0,0,1
607,智力+&,FF00b1ff,25,iq_value,3;7,0,0,1
608,力量+&,FF00b1ff,35,str_value,3;8,0,0,1
609,耐力+&,FF00b1ff,45,endu_value,3;9,0,0,1
610,敏捷+&,FF00b1ff,65,agi_value,3;10,0,0,1
611,体质+&,FF00b1ff,15,cons_value,5;9,0,0,1
612,智力+&,FF00b1ff,25,iq_value,5;10,0,0,1
613,力量+&,FF00b1ff,35,str_value,5;11,0,0,1
614,耐力+&,FF00b1ff,45,endu_value,5;12,0,0,1
615,敏捷+&,FF00b1ff,65,agi_value,5;13,0,0,1
616,体质+&,FF00b1ff,15,cons_value,6;13,0,0,1
617,智力+&,FF00b1ff,25,iq_value,6;14,0,0,1
618,力量+&,FF00b1ff,35,str_value,6;15,0,0,1
619,耐力+&,FF00b1ff,45,endu_value,6;16,0,0,1
620,敏捷+&,FF00b1ff,65,agi_value,6;17,0,0,1
621,体质+&,FF00b1ff,15,cons_value,8;16,0,0,1
622,智力+&,FF00b1ff,25,iq_value,8;17,0,0,1
623,力量+&,FF00b1ff,35,str_value,8;18,0,0,1
624,耐力+&,FF00b1ff,45,endu_value,8;19,0,0,1
625,敏捷+&,FF00b1ff,65,agi_value,8;20,0,0,1
626,体质+&,FF00b1ff,15,cons_value,9;19,0,0,1
627,智力+&,FF00b1ff,25,iq_value,9;20,0,0,1
628,力量+&,FF00b1ff,35,str_value,9;21,0,0,1
629,耐力+&,FF00b1ff,45,endu_value,9;22,0,0,1
630,敏捷+&,FF00b1ff,65,agi_value,9;23,0,0,1
631,体质+&,FF00b1ff,15,cons_value,11;22,0,0,1
632,智力+&,FF00b1ff,25,iq_value,11;23,0,0,1
633,力量+&,FF00b1ff,35,str_value,11;24,0,0,1
634,耐力+&,FF00b1ff,45,endu_value,11;25,0,0,1
635,敏捷+&,FF00b1ff,65,agi_value,11;26,0,0,1
636,体质+&,FF00b1ff,15,cons_value,13;25,0,0,1
637,智力+&,FF00b1ff,25,iq_value,13;26,0,0,1
638,力量+&,FF00b1ff,35,str_value,13;27,0,0,1
639,耐力+&,FF00b1ff,45,endu_value,13;28,0,0,1
640,敏捷+&,FF00b1ff,65,agi_value,13;29,0,0,1
641,体质+&,FF00b1ff,15,cons_value,14;28,0,0,1
642,智力+&,FF00b1ff,25,iq_value,14;29,0,0,1
643,力量+&,FF00b1ff,35,str_value,14;30,0,0,1
644,耐力+&,FF00b1ff,45,endu_value,14;31,0,0,1
645,敏捷+&,FF00b1ff,65,agi_value,14;32,0,0,1
646,体质+&,FF00b1ff,15,cons_value,16;31,0,0,1
647,智力+&,FF00b1ff,25,iq_value,16;32,0,0,1
648,力量+&,FF00b1ff,35,str_value,16;33,0,0,1
649,耐力+&,FF00b1ff,45,endu_value,16;34,0,0,1
650,敏捷+&,FF00b1ff,65,agi_value,16;35,0,0,1
651,体质+&,FF00b1ff,15,cons_value,17;34,0,0,1
652,智力+&,FF00b1ff,25,iq_value,17;35,0,0,1
653,力量+&,FF00b1ff,35,str_value,17;36,0,0,1
654,耐力+&,FF00b1ff,45,endu_value,17;37,0,0,1
655,敏捷+&,FF00b1ff,65,agi_value,17;38,0,0,1
656,体质+&,FF00b1ff,15,cons_value,19;38,0,0,1
657,智力+&,FF00b1ff,25,iq_value,19;39,0,0,1
658,力量+&,FF00b1ff,35,str_value,19;40,0,0,1
659,耐力+&,FF00b1ff,45,endu_value,19;41,0,0,1
660,敏捷+&,FF00b1ff,65,agi_value,19;42,0,0,1
661,体质+&,FF00b1ff,15,cons_value,20;41,0,0,1
662,智力+&,FF00b1ff,25,iq_value,20;42,0,0,1
663,力量+&,FF00b1ff,35,str_value,20;43,0,0,1
664,耐力+&,FF00b1ff,45,endu_value,20;44,0,0,1
665,敏捷+&,FF00b1ff,65,agi_value,20;45,0,0,1
666,体质+&,FF00b1ff,15,cons_value,22;44,0,0,1
667,智力+&,FF00b1ff,25,iq_value,22;45,0,0,1
668,力量+&,FF00b1ff,35,str_value,22;46,0,0,1
669,耐力+&,FF00b1ff,45,endu_value,22;47,0,0,1
670,敏捷+&,FF00b1ff,65,agi_value,22;48,0,0,1
671,体质+&,FF00b1ff,15,cons_value,23;47,0,0,1
672,智力+&,FF00b1ff,25,iq_value,23;48,0,0,1
673,力量+&,FF00b1ff,35,str_value,23;49,0,0,1
674,耐力+&,FF00b1ff,45,endu_value,23;50,0,0,1
675,敏捷+&,FF00b1ff,65,agi_value,23;51,0,0,1
676,体质+&,FF00b1ff,15,cons_value,2;5,0,0,1
677,智力+&,FF00b1ff,25,iq_value,2;6,0,0,1
678,力量+&,FF00b1ff,35,str_value,2;7,0,0,1
679,耐力+&,FF00b1ff,45,endu_value,2;8,0,0,1
680,敏捷+&,FF00b1ff,65,agi_value,2;9,0,0,1
681,体质+&,FF00b1ff,15,cons_value,5;9,0,0,1
682,智力+&,FF00b1ff,25,iq_value,5;10,0,0,1
683,力量+&,FF00b1ff,35,str_value,5;11,0,0,1
684,耐力+&,FF00b1ff,45,endu_value,5;12,0,0,1
685,敏捷+&,FF00b1ff,65,agi_value,5;13,0,0,1
686,体质+&,FF00b1ff,15,cons_value,7;14,0,0,1
687,智力+&,FF00b1ff,25,iq_value,7;15,0,0,1
688,力量+&,FF00b1ff,35,str_value,7;16,0,0,1
689,耐力+&,FF00b1ff,45,endu_value,7;17,0,0,1
690,敏捷+&,FF00b1ff,65,agi_value,7;18,0,0,1
691,体质+&,FF00b1ff,15,cons_value,9;19,0,0,1
692,智力+&,FF00b1ff,25,iq_value,9;20,0,0,1
693,力量+&,FF00b1ff,35,str_value,9;21,0,0,1
694,耐力+&,FF00b1ff,45,endu_value,9;22,0,0,1
695,敏捷+&,FF00b1ff,65,agi_value,9;23,0,0,1
696,体质+&,FF00b1ff,15,cons_value,12;23,0,0,1
697,智力+&,FF00b1ff,25,iq_value,12;24,0,0,1
698,力量+&,FF00b1ff,35,str_value,12;25,0,0,1
699,耐力+&,FF00b1ff,45,endu_value,12;26,0,0,1
700,敏捷+&,FF00b1ff,65,agi_value,12;27,0,0,1
701,体质+&,FF00b1ff,15,cons_value,14;28,0,0,1
702,智力+&,FF00b1ff,25,iq_value,14;29,0,0,1
703,力量+&,FF00b1ff,35,str_value,14;30,0,0,1
704,耐力+&,FF00b1ff,45,endu_value,14;31,0,0,1
705,敏捷+&,FF00b1ff,65,agi_value,14;32,0,0,1
706,体质+&,FF00b1ff,15,cons_value,16;33,0,0,1
707,智力+&,FF00b1ff,25,iq_value,16;34,0,0,1
708,力量+&,FF00b1ff,35,str_value,16;35,0,0,1
709,耐力+&,FF00b1ff,45,endu_value,16;36,0,0,1
710,敏捷+&,FF00b1ff,65,agi_value,16;37,0,0,1
711,体质+&,FF00b1ff,15,cons_value,19;38,0,0,1
712,智力+&,FF00b1ff,25,iq_value,19;39,0,0,1
713,力量+&,FF00b1ff,35,str_value,19;40,0,0,1
714,耐力+&,FF00b1ff,45,endu_value,19;41,0,0,1
715,敏捷+&,FF00b1ff,65,agi_value,19;42,0,0,1
716,体质+&,FF00b1ff,15,cons_value,21;42,0,0,1
717,智力+&,FF00b1ff,25,iq_value,21;43,0,0,1
718,力量+&,FF00b1ff,35,str_value,21;44,0,0,1
719,耐力+&,FF00b1ff,45,endu_value,21;45,0,0,1
720,敏捷+&,FF00b1ff,65,agi_value,21;46,0,0,1
721,体质+&,FF00b1ff,15,cons_value,23;47,0,0,1
722,智力+&,FF00b1ff,25,iq_value,23;48,0,0,1
723,力量+&,FF00b1ff,35,str_value,23;49,0,0,1
724,耐力+&,FF00b1ff,45,endu_value,23;50,0,0,1
725,敏捷+&,FF00b1ff,65,agi_value,23;51,0,0,1
726,体质+&,FF00b1ff,15,cons_value,26;52,0,0,1
727,智力+&,FF00b1ff,25,iq_value,26;53,0,0,1
728,力量+&,FF00b1ff,35,str_value,26;54,0,0,1
729,耐力+&,FF00b1ff,45,endu_value,26;55,0,0,1
730,敏捷+&,FF00b1ff,65,agi_value,26;56,0,0,1
731,体质+&,FF00b1ff,15,cons_value,28;56,0,0,1
732,智力+&,FF00b1ff,25,iq_value,28;57,0,0,1
733,力量+&,FF00b1ff,35,str_value,28;58,0,0,1
734,耐力+&,FF00b1ff,45,endu_value,28;59,0,0,1
735,敏捷+&,FF00b1ff,65,agi_value,28;60,0,0,1
736,体质+&,FF00b1ff,15,cons_value,30;61,0,0,1
737,智力+&,FF00b1ff,25,iq_value,30;62,0,0,1
738,力量+&,FF00b1ff,35,str_value,30;63,0,0,1
739,耐力+&,FF00b1ff,45,endu_value,30;64,0,0,1
740,敏捷+&,FF00b1ff,65,agi_value,30;65,0,0,1
741,体质+&,FF00b1ff,15,cons_value,33;66,0,0,1
742,智力+&,FF00b1ff,25,iq_value,33;67,0,0,1
743,力量+&,FF00b1ff,35,str_value,33;68,0,0,1
744,耐力+&,FF00b1ff,45,endu_value,33;69,0,0,1
745,敏捷+&,FF00b1ff,65,agi_value,33;70,0,0,1
746,体质+&,FF00b1ff,15,cons_value,35;70,0,0,1
747,智力+&,FF00b1ff,25,iq_value,35;71,0,0,1
748,力量+&,FF00b1ff,35,str_value,35;72,0,0,1
749,耐力+&,FF00b1ff,45,endu_value,35;73,0,0,1
750,敏捷+&,FF00b1ff,65,agi_value,35;74,0,0,1
751,体质+&,FF00b1ff,15,cons_value,3;6,0,0,1
752,智力+&,FF00b1ff,25,iq_value,3;7,0,0,1
753,力量+&,FF00b1ff,35,str_value,3;8,0,0,1
754,耐力+&,FF00b1ff,45,endu_value,3;9,0,0,1
755,敏捷+&,FF00b1ff,65,agi_value,3;10,0,0,1
756,体质+&,FF00b1ff,15,cons_value,6;13,0,0,1
757,智力+&,FF00b1ff,25,iq_value,6;14,0,0,1
758,力量+&,FF00b1ff,35,str_value,6;15,0,0,1
759,耐力+&,FF00b1ff,45,endu_value,6;16,0,0,1
760,敏捷+&,FF00b1ff,65,agi_value,6;17,0,0,1
761,体质+&,FF00b1ff,15,cons_value,9;19,0,0,1
762,智力+&,FF00b1ff,25,iq_value,9;20,0,0,1
763,力量+&,FF00b1ff,35,str_value,9;21,0,0,1
764,耐力+&,FF00b1ff,45,endu_value,9;22,0,0,1
765,敏捷+&,FF00b1ff,65,agi_value,9;23,0,0,1
766,体质+&,FF00b1ff,15,cons_value,13;25,0,0,1
767,智力+&,FF00b1ff,25,iq_value,13;26,0,0,1
768,力量+&,FF00b1ff,35,str_value,13;27,0,0,1
769,耐力+&,FF00b1ff,45,endu_value,13;28,0,0,1
770,敏捷+&,FF00b1ff,65,agi_value,13;29,0,0,1
771,体质+&,FF00b1ff,15,cons_value,16;31,0,0,1
772,智力+&,FF00b1ff,25,iq_value,16;32,0,0,1
773,力量+&,FF00b1ff,35,str_value,16;33,0,0,1
774,耐力+&,FF00b1ff,45,endu_value,16;34,0,0,1
775,敏捷+&,FF00b1ff,65,agi_value,16;35,0,0,1
776,体质+&,FF00b1ff,15,cons_value,19;38,0,0,1
777,智力+&,FF00b1ff,25,iq_value,19;39,0,0,1
778,力量+&,FF00b1ff,35,str_value,19;40,0,0,1
779,耐力+&,FF00b1ff,45,endu_value,19;41,0,0,1
780,敏捷+&,FF00b1ff,65,agi_value,19;42,0,0,1
781,体质+&,FF00b1ff,15,cons_value,22;44,0,0,1
782,智力+&,FF00b1ff,25,iq_value,22;45,0,0,1
783,力量+&,FF00b1ff,35,str_value,22;46,0,0,1
784,耐力+&,FF00b1ff,45,endu_value,22;47,0,0,1
785,敏捷+&,FF00b1ff,65,agi_value,22;48,0,0,1
786,体质+&,FF00b1ff,15,cons_value,25;50,0,0,1
787,智力+&,FF00b1ff,25,iq_value,25;51,0,0,1
788,力量+&,FF00b1ff,35,str_value,25;52,0,0,1
789,耐力+&,FF00b1ff,45,endu_value,25;53,0,0,1
790,敏捷+&,FF00b1ff,65,agi_value,25;54,0,0,1
791,体质+&,FF00b1ff,15,cons_value,28;56,0,0,1
792,智力+&,FF00b1ff,25,iq_value,28;57,0,0,1
793,力量+&,FF00b1ff,35,str_value,28;58,0,0,1
794,耐力+&,FF00b1ff,45,endu_value,28;59,0,0,1
795,敏捷+&,FF00b1ff,65,agi_value,28;60,0,0,1
796,体质+&,FF00b1ff,15,cons_value,31;63,0,0,1
797,智力+&,FF00b1ff,25,iq_value,31;64,0,0,1
798,力量+&,FF00b1ff,35,str_value,31;65,0,0,1
799,耐力+&,FF00b1ff,45,endu_value,31;66,0,0,1
800,敏捷+&,FF00b1ff,65,agi_value,31;67,0,0,1
801,体质+&,FF00b1ff,15,cons_value,34;69,0,0,1
802,智力+&,FF00b1ff,25,iq_value,34;70,0,0,1
803,力量+&,FF00b1ff,35,str_value,34;71,0,0,1
804,耐力+&,FF00b1ff,45,endu_value,34;72,0,0,1
805,敏捷+&,FF00b1ff,65,agi_value,34;73,0,0,1
806,体质+&,FF00b1ff,15,cons_value,38;75,0,0,1
807,智力+&,FF00b1ff,25,iq_value,38;76,0,0,1
808,力量+&,FF00b1ff,35,str_value,38;77,0,0,1
809,耐力+&,FF00b1ff,45,endu_value,38;78,0,0,1
810,敏捷+&,FF00b1ff,65,agi_value,38;79,0,0,1
811,体质+&,FF00b1ff,15,cons_value,41;81,0,0,1
812,智力+&,FF00b1ff,25,iq_value,41;82,0,0,1
813,力量+&,FF00b1ff,35,str_value,41;83,0,0,1
814,耐力+&,FF00b1ff,45,endu_value,41;84,0,0,1
815,敏捷+&,FF00b1ff,65,agi_value,41;85,0,0,1
816,体质+&,FF00b1ff,15,cons_value,44;88,0,0,1
817,智力+&,FF00b1ff,25,iq_value,44;89,0,0,1
818,力量+&,FF00b1ff,35,str_value,44;90,0,0,1
819,耐力+&,FF00b1ff,45,endu_value,44;91,0,0,1
820,敏捷+&,FF00b1ff,65,agi_value,44;92,0,0,1
821,体质+&,FF00b1ff,15,cons_value,47;94,0,0,1
822,智力+&,FF00b1ff,25,iq_value,47;95,0,0,1
823,力量+&,FF00b1ff,35,str_value,47;96,0,0,1
824,耐力+&,FF00b1ff,45,endu_value,47;97,0,0,1
825,敏捷+&,FF00b1ff,65,agi_value,47;98,0,0,1
826,体质+&,FF00b1ff,15,cons_value,-1;-2,0,0,1
827,智力+&,FF00b1ff,25,iq_value,-1;-3,0,0,1
828,力量+&,FF00b1ff,35,str_value,-1;-4,0,0,1
829,耐力+&,FF00b1ff,45,endu_value,-1;-5,0,0,1
830,敏捷+&,FF00b1ff,65,agi_value,-1;-6,0,0,1
831,体质+&,FF00b1ff,15,cons_value,-2;-3,0,0,1
832,智力+&,FF00b1ff,25,iq_value,-2;-4,0,0,1
833,力量+&,FF00b1ff,35,str_value,-2;-5,0,0,1
834,耐力+&,FF00b1ff,45,endu_value,-2;-6,0,0,1
835,敏捷+&,FF00b1ff,65,agi_value,-2;-7,0,0,1
836,体质+&,FF00b1ff,15,cons_value,-3;-5,0,0,1
837,智力+&,FF00b1ff,25,iq_value,-3;-6,0,0,1
838,力量+&,FF00b1ff,35,str_value,-3;-7,0,0,1
839,耐力+&,FF00b1ff,45,endu_value,-3;-8,0,0,1
840,敏捷+&,FF00b1ff,65,agi_value,-3;-9,0,0,1
841,体质+&,FF00b1ff,15,cons_value,-4;-6,0,0,1
842,智力+&,FF00b1ff,25,iq_value,-4;-6,0,0,1
843,力量+&,FF00b1ff,35,str_value,-4;-6,0,0,1
844,耐力+&,FF00b1ff,45,endu_value,-4;-6,0,0,1
845,敏捷+&,FF00b1ff,65,agi_value,-4;-6,0,0,1
846,体质+&,FF00b1ff,15,cons_value,-4;-8,0,0,1
847,智力+&,FF00b1ff,25,iq_value,-4;-8,0,0,1
848,力量+&,FF00b1ff,35,str_value,-4;-8,0,0,1
