技能id,技能名称,图标编号,主动被动,短描述,技能描述,目标类型,魔法入口,评分,品质,低级名称,高级名称,超级名称,特殊名称,特殊名称1,技能消耗,消耗数量,消耗属性编号,摆摊是否显示
207217,冰火无常,30306,2,让宝宝变强大的高级宠物技能书,"<T t=""神秘天使的单体法术，攻击时有较大概率造成2倍伤害，有较小概率给对方回复一定气血，打书或者合宠与焚炎有冲突。"" c=""fffff2df""/>",480,0,200,2,,冰火无常,,,,消耗魔法：80,80,100,0
207218,天使降临,30303,1,让宝宝变强大的高级宠物技能书,"<T t=""灵仙子专属技能，当收到伤害死亡，46%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,天使降临,,,,无消耗,,-1,0
207219,霸天护体,205,1,让宝宝变强大的高级宠物技能书,"<T t=""彩虹之佑（霸天熊猫专属技能，当收到伤害死亡，46%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,霸天护体,,,,无消耗,,-1,0
207220,镜花水月,208,1,让宝宝变强大的高级宠物技能书,"<T t=""彩虹之佑（狐一刀专属技能，当收到伤害死亡，46%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,镜花水月,,,,无消耗,,-1,0
207221,超级善恶,207,2,让宝宝变强大的高级宠物技能书,"<T t=""狐一刀的专属技能，攻击时90%概率给予对手造成双倍的伤害10%恢复一定气血。与普通善恶冲突"" c=""fffff2df""/>",480,0,240,2,,超级善恶,,,,消耗魔法：50,50,100,0
207222,超级壁垒,194,2,让宝宝变强大的高级宠物技能书,"<T t=""霸天熊猫的专属技能附加等级*6的物理伤害结果，不可被防御和保护。与壁垒技能冲突"" c=""fffff2df""/>",480,0,240,2,,超级壁垒,,,,消耗魔法：50,50,100,0
207223,双生意志,30304,1,让宝宝变强大的高级宠物技能书,"<T t=""灵仙子专属技能，法术攻击时暴击概率增加45%。不能与高级法术暴击或者法术暴击之类的效果叠加"" c=""fffff2df""/>",1,0,200,2,,双生意志,,,,无消耗,,-1,0
207224,熊猫战意,202,1,让宝宝变强大的高级宠物技能书,"<T t=""霸天熊猫专属技能，大幅度提升物理攻击45%暴击率，与物理暴击类的技能效果不能叠加。打书冲突"" c=""fffff2df""/>",1,0,200,2,,熊猫战意,,,,无消耗,,-1,0
207225,狐狐生威,206,1,让宝宝变强大的高级宠物技能书,"<T t=""狐一刀专属技能，大幅度提升物理攻击45%暴击率，与物理暴击类的技能不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,狐狐生威,,,,无消耗,,-1,0
207226,死亡之瞳,30305,1,让宝宝变强大的高级宠物技能书,"<T t=""灵仙子的专属技能，对敌人的法术伤害结果提高40%。与提高法术伤害结果的技能效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,死亡之瞳,,,,无消耗,,-1,0
207227,狂暴熊猫,204,1,让宝宝变强大的高级宠物技能书,"<T t=""霸天熊猫专属技能，物理攻击不会受到反击和反震，并提高20%的物理伤害结果。与偷袭类的技能效果不能叠加，不能跟高级强力或者低级强力打书有冲突"" c=""fffff2df""/>",1,0,200,2,,狂暴熊猫,,,,无消耗,,-1,0
207228,狐之风灵,203,1,让宝宝变强大的高级宠物技能书,"<T t=""狐一刀专属技能，自身速度增加30%。与敏捷类的技能效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,狐之风灵,,,,无消耗,,-1,0
207229,虎啸生风,197,1,让宝宝变强大的高级宠物技能书,"<T t=""虎力大仙专属技能，大幅度提高物理攻击40%的暴击率，与物理暴击类的技能效果不能叠加。打书冲突。"" c=""fffff2df""/>",1,0,200,2,,虎啸生风,,,,无消耗,,-1,0
207230,虎啸山林,193,1,让宝宝变强大的高级宠物技能书,"<T t=""小量提升自身物理暴击率，该技能与高级必杀，必杀不冲突。"" c=""fffff2df""/>",1,0,200,2,,虎啸山林,,,,无消耗,,-1,0
207231,虎背熊腰,199,1,让宝宝变强大的高级宠物技能书,"<T t=""虎力大仙专属技能，当收到伤害死亡，45%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,虎背熊腰,,,,无消耗,,-1,0
207232,龙腾虎跃,195,1,让宝宝变强大的高级宠物技能书,"<T t=""虎力大仙专属技能，普通物理攻击时有55%概率对目标周围的两个敌方单位造成溅射伤害，溅射伤害为主体伤害的50%。"" c=""fffff2df""/>",1,0,200,2,,龙腾虎跃,,,,无消耗,,-1,0
207233,汤圆怒吼,201,1,让宝宝变强大的高级宠物技能书,"<T t=""汤圆的专属技能，法术攻击时暴击概率增加40%。不能与高级法术暴击或者法术暴击类效果叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,汤圆怒吼,,,,无消耗,,-1,0
207234,火上浇油,196,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时，有45％的概率追加一次攻击，伤害时第一次的70％，与高级法术连击或者法术连击类效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,火上浇油,,,,无消耗,,-1,0
207235,拳拳到肉,200,1,让宝宝变强大的高级宠物技能书,"<T t=""汤圆的专属技能，对敌人的法术伤害结果提升32%，与高级魔之心，魔之心类技能效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,拳拳到肉,,,,无消耗,,-1,0
207236,枯木逢春,198,1,让宝宝变强大的高级宠物技能书,"<T t=""当收到伤害死亡，45%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,枯木逢春,,,,无消耗,,-1,0
207237,乘胜追击,182,1,让宝宝变强大的高级宠物技能书,"<T t=""恶魔泡泡专属技能，物理攻击并击败对方，则对敌方气血最低的单位造成追击，造成100%的物理伤害结果"" c=""fffff2df""/>",1,0,200,2,,乘胜追击,,,,无消耗,,-1,0
207238,给你俩叉,181,1,让宝宝变强大的高级宠物技能书,"<T t=""恶魔泡泡的专属技能，普通物理攻击时，有60%概率连续攻击目标一次，但伤害结果降低百分之10，效果不能与连击跟高级连击类技能叠加。打书冲突"" c=""fffff2df""/>",1,0,200,2,,给你俩叉,,,,无消耗,,-1,0
207239,当头一叉,179,1,让宝宝变强大的高级宠物技能书,"<T t=""恶魔泡泡专属技能，大幅度提高物理攻击30%的暴击率，效果不能与必杀或者高级必杀物理暴击类技能叠加。打书冲突"" c=""fffff2df""/>",1,0,200,2,,当头一叉,,,,无消耗,,-1,0
207240,恶魔重生,180,1,让宝宝变强大的高级宠物技能书,"<T t=""恶魔泡泡专属技能，当收到伤害死亡，40%几率复活与神佑复生或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,恶魔重生,,,,无消耗,,-1,0
207241,当头一棒,30310,2,让宝宝变强大的高级宠物技能书,"<T t=""大圣的专属，攻击时对三个目标造成2倍伤害"" c=""fffff2df""/>",480,0,200,2,,当头一棒,,,,消耗魔法：80,80,100,0
207242,真假大圣,30311,1,让宝宝变强大的高级宠物技能书,"<T t=""大圣专属技能，当收到伤害死亡，50%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,真假大圣,,,,无消耗,,-1,0
207243,魔由心生,30312,1,让宝宝变强大的高级宠物技能书,"<T t=""大圣专属技能，法术攻击时暴击概率增加50%。不能与高级法术暴击或者法术暴击之类的效果叠加"" c=""fffff2df""/>",1,0,200,2,,魔由心生,,,,无消耗,,-1,0
207244,战神姿态,30308,1,让宝宝变强大的高级宠物技能书,"<T t=""大圣的专属技能，对敌人的法术伤害结果提高50%。与提高法术伤害结果的技能效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,战神姿态,,,,无消耗,,-1,0
207245, 观照万象,30316,2,让宝宝变强大的高级宠物技能书,"<T t=""四大法术，毁天灭地。"" c=""fffff2df""/>",480,0,200,2,, 观照万象,,,,消耗魔法：50,50,100,0
207246,佛行震地,30317,1,让宝宝变强大的高级宠物技能书,"<T t=""当收到伤害死亡，50%几率复活与其他神佑或鬼魂术之类效果同时存在时，这个技能失效，（合宠时与神佑类技能产生冲突）。"" c=""fffff2df""/>",1,0,200,2,,佛行震地,,,,无消耗,,-1,0
207247,坐地听八百,30318,1,让宝宝变强大的高级宠物技能书,"<T t=""法术攻击时暴击概率增加50%。不能与高级法术暴击或者法术暴击之类的效果叠加"" c=""fffff2df""/>",1,0,200,2,,坐地听八百,,,,无消耗,,-1,0
207248,卧地听三千,30319,1,让宝宝变强大的高级宠物技能书,"<T t=""对敌人的法术伤害结果提高50%。与提高法术伤害结果的技能效果不能叠加，打书冲突"" c=""fffff2df""/>",1,0,200,2,,卧地听三千,,,,无消耗,,-1,0
207249,蚩尤分身,386,2,让宝宝超神的灵级宠物书,"<T t=""蚩尤分身所创，物理同时攻击多人。"" c=""fffff2df""/>",480,0,400,2,,蚩尤分身,,,,消耗魔法：100,100,100,0
207250,茁壮成长,172,1,让宝宝变强大的宠物技能书,"<T t=""召唤兽提升100%最大生命值"" c=""fffff2df""/>",1,0,80,2,,茁壮成长,,,,无消耗,,-1,0
207251,净台妙谛,163,1,让宝宝变强大的宠物技能书,"<T t=""提升自身气血上限30％，该技能与强壮高级强壮不冲突"" c=""fffff2df""/>",1,0,80,2,,净台妙谛,,,,无消耗,,-1,0
207252,诸天正法（物）,286,1,让宝宝变强大的宠物技能书,"<T t=""诸法实象，力破万障，增强自身攻击力*0.3"" c=""fffff2df""/>",1,0,80,2,,诸天正法,,,,无消耗,,-1,0
207253,五行八卦掌,166,2,让宝宝变强大的宠物技能书,"<T t=""单体物理攻击技能，发动时对敌方单位造成大量伤害"" c=""fffff2df""/>",480,0,220,2,,五行八卦掌,,,,消耗魔法：50,50,100,0
207254,诸天正法（法）,279,1,让宝宝变强大的宠物技能书,"<T t=""诸法实象，法破万障，增强自身法术伤害*0.4"" c=""fffff2df""/>",1,0,80,2,,诸地正法,,,,无消耗,,-1,0
207255,虎虎生威,408,1,让宝宝变强大的高级宠物技能书,"<T t=""普通物理攻击时，有30%概率追加1次攻击。"" c=""fffff2df""/>",1,0,220,2,,虎虎生威,,,,无消耗,,-1,0
208131,特性•瞬击,394,1,让宝宝变强大的高级宠物技能书,"<T t=""战斗中召唤出场时对敌方气血最低的目标进行攻击，触发概率为100%，但伤害结果仅为正常伤害的70%‌\n"" c=""fffff2df""/>",480,0,200,2,,,特性•瞬击,,,,,-1,0
208132,特性•瞬法,396,1,让宝宝变强大的高级宠物技能书,"<T t=""入场时对敌方目标进行释放一次四大元素小法或者大法技能，只会触发一次自身拥有的主动法术技能"" c=""fffff2df""/>",1,0,200,2,,,特性•瞬法,,,,,-1,0
208133,高级遗志,373,1,让宝宝变强大的高级宠物技能书,"<T t=""当宠物被替换出场时，遗志技能会增加替换宠物15%的物理和法术伤害，持续5回合‌\n"" c=""fffff2df""/>",1,0,200,2,,,高级遗志,,,,,-1,0
207259,蛮力,407,1,让宝宝变强大的高级宠物技能书,"<T t=""提升物理攻击对目标的伤害，自身伤害越高提升越多。"" c=""fffff2df""/>",1,0,200,2,,蛮力,,,,无消耗,,-1,0
207260,隐遁,409,1,让宝宝变强大的高级宠物技能书,"<T t=""进场时，自动进入隐身状态，隐身状态下自身物理攻击不会降低，使用技能取消隐身状态。"" c=""fffff2df""/>",1,0,200,2,,隐遁,,,,无消耗,,-1,0
207261,水无常形,382,2,让宝宝变强大的高级宠物技能书,"<T t=""神秘的单体法术，攻击时有较大概率造成1.75倍伤害，有较小概率给对方回复一定气血。"" c=""fffff2df""/>",480,0,200,2,,水无常形,,,,消耗魔法：80,80,100,0
207262,高级协力,398,1,让宝宝变强大的高级宠物技能书,"<T t=""发动物理攻击或法术攻击时，对目标造成伤害结果增加9％。"" c=""fffff2df""/>",1,0,200,2,,高级协力,,,,无消耗,,-1,0
,下面是新被动技能,,,,,,,,,,,,,,,,,
211000,无赦魔决,2310,1,让宝宝变强大的圣级宠物技能书,"<T t=""法术攻击造成伤害时，可吸取敌人所受伤害百分之20的气血。"" c=""fffff2df""/>",1,0,200,2,,无赦魔决,,,,无消耗,,-1,
211001,窃魂夺魄,3143,2,让宝宝变强大的圣级宠物技能书,"<T t=""法术攻击敌人若自身比敌人法术伤害高则附带一部分伤害，并且吸取敌方所受伤害的百分之20气血恢复自身！若敌人有神佑效果使其无效化！"" c=""fffff2df""/>",480,0,300,2,,窃魂夺魄,,,,消耗魔法：220,220,100,
211002,审判神佑,2306,1,让宝宝变强大的圣级宠物技能书,"<T t=""对神佑宠物攻击致死对方无法神佑！。"" c=""fffff2df""/>",1,0,400,2,,审判神佑,,,,无消耗,,-1,
211003,超级物理爆伤,3139,1,让宝宝变强大的圣级宠物技能书,"<T t=""提升百分之20的物理爆伤！"" c=""fffff2df""/>",1,0,400,2,,超级物理爆伤,,,,无消耗,,-1,
211004,超级法术爆伤,3140,1,让宝宝变强大的圣级宠物技能书,"<T t=""提升百分之20的法术爆伤！"" c=""fffff2df""/>",1,0,400,2,,超级法术爆伤,,,,无消耗,,-1,
211005,出奇制胜,3132,1,让宝宝变强大的圣级宠物技能书,"<T t=""战斗中召唤宠物出战两回合内法术伤害结果增加30%"" c=""fffff3df""/>",4127,0,400,2,,出奇制胜,,,,无消耗,,-1,
211006,须弥真言,2313,1,让宝宝变强大的圣级宠物技能书,"<T t=""战斗中大幅度法攻提升30%""></T>",1,0,400,2,,须弥真言,,,,无消耗,,-1,
211007,物理须弥,2318,1,让宝宝变强大的圣级宠物技能书,"<T t=""提高40%物理伤害！。"" c=""fffff2df""/>",1,0,400,2,,物理须弥,,,,无消耗,,-1,
211008,浮云神马,3096,1,让宝宝变强大的圣级宠物技能书,"<T t=""在场时，提高自己及主人10%的速度，最多持续5回合。""></T>",1,0,400,2,,浮云神马,,,,无消耗,,-1,
211009,赐福众生,2189,1,让宝宝变强大的圣级宠物技能书,"<T t=""生又何哀，死又何苦，战斗中提升全队法术防御结果"" c=""fffff2df""/>",4127,0,400,2,,赐福众生,,,,无消耗,,-1,
211010,怒焰爆发,2185,1,让宝宝变强大的圣级宠物技能书,"<T t=""愤怒，爆发的火焰，战斗中提升全队法术波动结果"" c=""fffff2df""/>",4127,0,400,2,,怒焰爆发,,,,无消耗,,-1,
211011,战无止境,3149,1,让宝宝变强大的圣级宠物技能书,"<T t=""战斗没有止境，战斗中提升全队物理伤害结果"" c=""fffff2df""/>",4127,0,400,2,,战无止境,,,,无消耗,,-1,
211012,蚩尤之力,2272,1,让宝宝变强大的圣级宠物技能书,"<T t=""逆境中成长，战斗中提升全队物理波动结果"" c=""fffff2df""/>",4127,0,400,2,,蚩尤之力,,,,无消耗,,-1,
211013,筋斗云术,2268,1,让宝宝变强大的圣级宠物技能书,"<T t=""一个筋斗十万八千里，战斗中提升全队速度"" c=""fffff2df""/>",4127,0,400,2,,筋斗云术,,,,无消耗,,-1,
211014,佛法无边,3148,1,让宝宝变强大的圣级宠物技能书,"<T t=""放下屠刀，立地成佛，战斗中提升全队物理防御结果"" c=""fffff2df""/>",4127,0,400,2,,佛法无边,,,,无消耗,,-1,
211015,怒海狂涛,3142,1,让宝宝变强大的圣级宠物技能书,"<T t=""怒海之中，魔无所遁形。战斗中给全队法术伤害结果"" c=""fffff2df""/>",4127,0,400,2,,怒海狂涛,,,,无消耗,,-1,
211016,死亡之息,3129,1,让宝宝变强大的圣级宠物技能书,"<T t=""穿梭在死亡与现实之间。战斗中给全队附加5%概率复活，复活10%生命"" c=""fffff2df""/>",4127,0,400,2,,死亡之息,,,,无消耗,,-1,
211017,镜中月,2192,1,让宝宝变强大的圣级宠物技能书,"<T t=""月宫专属被动，战斗中给全队附加驱魔被动"" c=""fffff2df""/>",4127,0,400,2,,镜中月,,,,无消耗,,-1,
211018,力量强化1,2279,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点力量"" c=""fffff3df""/>",4127,0,400,2,,力量强化1,,,,无消耗,,-1,
211019,力量强化2,2279,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点力量"" c=""fffff3df""/>",4127,0,400,2,,力量强化2,,,,无消耗,,-1,
211020,力量强化3,2279,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点力量"" c=""fffff3df""/>",4127,0,400,2,,力量强化3,,,,无消耗,,-1,
211021,力量强化4,2279,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点力量"" c=""fffff3df""/>",4127,0,400,2,,力量强化4,,,,无消耗,,-1,
211022,防御强化1,3154,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点耐力"" c=""fffff3df""/>",4127,0,400,2,,防御强化1,,,,无消耗,,-1,
211023,防御强化2,3154,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点耐力"" c=""fffff3df""/>",4127,0,400,2,,防御强化2,,,,无消耗,,-1,
211024,防御强化3,3154,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点耐力"" c=""fffff3df""/>",4127,0,400,2,,防御强化3,,,,无消耗,,-1,
211025,防御强化4,3154,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点耐力"" c=""fffff3df""/>",4127,0,400,2,,防御强化4,,,,无消耗,,-1,
211026,智力强化1,2305,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点智力"" c=""fffff3df""/>",4127,0,400,2,,智力强化1,,,,无消耗,,-1,
211027,智力强化2,2305,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点智力"" c=""fffff3df""/>",4127,0,400,2,,智力强化2,,,,无消耗,,-1,
211028,智力强化3,2305,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点智力"" c=""fffff3df""/>",4127,0,400,2,,智力强化3,,,,无消耗,,-1,
211029,智力强化4,2305,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点智力"" c=""fffff3df""/>",4127,0,400,2,,智力强化4,,,,无消耗,,-1,
211030,体力强化1,2304,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点体力"" c=""fffff3df""/>",4127,0,400,2,,体力强化1,,,,无消耗,,-1,
211031,体力强化2,2304,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点体力"" c=""fffff3df""/>",4127,0,400,2,,体力强化2,,,,无消耗,,-1,
211032,体力强化3,2304,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点体力"" c=""fffff3df""/>",4127,0,400,2,,体力强化3,,,,无消耗,,-1,
211033,体力强化4,2304,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点体力"" c=""fffff3df""/>",4127,0,400,2,,体力强化4,,,,无消耗,,-1,
211034,敏捷强化1,3099,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点敏捷"" c=""fffff3df""/>",4127,0,400,2,,敏捷强化1,,,,无消耗,,-1,
211035,敏捷强化2,3099,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点敏捷"" c=""fffff3df""/>",4127,0,400,2,,敏捷强化2,,,,无消耗,,-1,
211036,敏捷强化3,3099,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点敏捷"" c=""fffff3df""/>",4127,0,400,2,,敏捷强化3,,,,无消耗,,-1,
211037,敏捷强化4,3099,1,让宝宝变强大的圣级宠物技能书,"<T t=""增加200点敏捷"" c=""fffff3df""/>",4127,0,400,2,,敏捷强化4,,,,无消耗,,-1,
,下面是新法术主动技能,,,,,,,,,,下面是新法术主动技能,,,,,,,
212000,天璇神剑,2214,2,让宝宝变强大的圣级宠物技能书,"<T t=""唤来天璇神剑，对3个目标造成大量伤害！若目标带有亡魂效果，则天璇神剑自带驱鬼效果，对亡灵生物造成百分之50伤害！。"" c=""fffff2df""/>",480,0,400,2,,天璇神剑,,,,消耗魔法：150,150,100,
212001,流沙轻音,2222,2,让宝宝变强大的圣级宠物技能书,"<T t=""冰元素多体法术，召唤寒冰对五个敌人进行爆裂输出，一定几率冰冻目标！。"" c=""fffff2df""/>",480,0,400,2,,流沙轻音,,,,消耗魔法：150,150,100,
212002,五彩神风,2257,2,让宝宝变强大的圣级宠物技能书,"<T t=""上古青鸾，遗留之秘术！召唤五彩神风对三个目标造成法术伤害！并且有概率降低敌方百分之5的速度！。"" c=""fffff2df""/>",480,0,400,2,,五彩神风,,,,消耗魔法：150,150,100,
212003,五方劫雷,2337,2,让宝宝变强大的圣级宠物技能书,"<T t=""对单个敌人进行百分之百法术连击！击杀敌人后可获得提升自身法术暴击率的持续状态！。"" c=""fffff2df""/>",480,0,400,2,,五方劫雷,,,,消耗魔法：150,150,100,
212004,星芒剑阵,2254,2,让宝宝变强大的圣级宠物技能书,"<T t=""召唤星芒剑阵，对多个敌人进行致命打击！同时有5%概率降低对方5%的物理和法术防御力，持续3回合。。"" c=""fffff2df""/>",480,0,400,2,,星芒剑阵,,,,消耗魔法：150,150,100,
212005,神雷·惊天暴,2249,2,让宝宝变强大的圣级宠物技能书,"<T t=""召唤天雷对目标进行致命打击！若击杀目标！可追击下一个目标，直至目标存活！至多追击五次！。"" c=""fffff2df""/>",480,0,400,2,,神雷·惊天暴,,,,消耗魔法：150,150,100,
212006,星陨天河,2238,2,让宝宝变强大的圣级宠物技能书,"<T t=""可以对目标进行最高六次毁灭打击！前三次固定目标打击，后三次按照自身法连概率高低进行法术连击。伤害值提升累加"" c=""fffff2df""/>",480,0,400,2,,星陨天河,,,,消耗魔法：150,150,100,
212007,九阴真经,2240,2,让宝宝变强大的圣级宠物技能书,"<T t=""独有的音波伤害敌人对敌人全体造成大量伤害并伴随沉默敌人。。"" c=""fffff2df""/>",480,0,400,2,,九阴真经,,,,消耗魔法：150,150,100,
212008,扶摇万里,2333,2,让宝宝变强大的圣级宠物技能书,"<T t=""对敌方6个单位造成水系伤害。"" c=""fffff2df""/>",480,0,400,2,,扶摇万里,,,,消耗魔法：150,150,100,
212009,恶魔旋风,2329,2,让宝宝变强大的圣级宠物技能书,"<T t=""造成敌方全体法术伤害。并减少魔法。"" c=""fffff2df""/>",480,0,400,2,,恶魔旋风,,,,消耗魔法：200,200,100,
212010,天劫,3097,2,让宝宝变强大的圣级宠物技能书,"<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额物理伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且力量大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t="""" c=""ffff0033""/>",480,0,500,2,,天劫,,,,消耗魔法：480,480,100,
212011,天劫（法）,3131,2,让宝宝变强大的圣级宠物技能书,"<T t=""天劫降世 , 幻影成空。"" c=""fffff2df""/><T t=""对单个敌人造成四次高额法术伤害，并且伤害跟随攻击次数提升，当自身等级达到100时，可激活第五次伤害，第五次伤害无视敌方百分之50防御进行打击，并且智力大于800点，则有百分之5几率直接秒杀敌人。若敌人有神佑效果使其无效化"" c=""ffff46f0""/><T t=""<<>>"" c=""ffff0033""/>",480,0,500,2,,天劫（法）,,,,消耗魔法：480,480,100,
212012,四象归一,2300,2,让宝宝变强大的圣级宠物技能书,"<T t=""天界至高神诀，为针对蚩尤所创，有概率进行连击，最高5次，第五次为多人伤害，降低同伤害的蓝"" c=""fffff2df""/>",480,0,400,2,,四象归一,,,,消耗魔法：100,100,100,
212013,爱谁谁,2301,2,让宝宝变强大的圣级宠物技能书,"<T t=""法术秒10，有几率封印对手，激活高级魔之心并且气血增加%20"" c=""fffff2df""/>",480,0,400,2,,爱谁谁,,,,消耗魔法：100,100,100,
212014,毁灭之光,2239,2,让宝宝变强大的圣级宠物技能书,"<T t=""攻击9个目标，并且增加%20的法术攻击（几率附加眩晕状态，持续2回合）秒怪数量随等级增加。"" c=""fffff2df""/>",480,0,400,2,,毁灭之光,,,,消耗魔法：100,100,100,
212015,魔神降临,3135,2,让宝宝变强大的圣级宠物技能书,"<T t=""来自魔域的一种法术技能，效果强大，秒怪数量随等级增加。"" c=""fffff2df""/>",480,0,400,2,,魔神降临,,,,消耗魔法：100,100,100,
,下面是新物理主动技能,,,,,,,,,,下面是新物理主动技能,,,,,,,
213000,烛龙裂,2202,2,让宝宝变强大的圣级宠物技能书,"<T t=""物理攻击4个目标，概率对目标附加随机状态"" c=""fffff3df""/>",480,0,400,2,,烛龙裂,,,,消耗魔法：80,80,100,
213001,万剑诀,2253,2,让宝宝变强大的圣级宠物技能书,"<T t=""万剑齐出，对三个目标造成百分之110的物理伤害！。"" c=""fffff2df""/>",480,0,400,2,,万剑诀,,,,消耗魔法：150,150,100,
213002,晨曦剑露,2296,2,让宝宝变强大的圣级宠物技能书,"<T t=""晨出之光，犹如剑露，对敌方三个目标造成大量伤害，一定几率使目标流血，每回合造成百分之10的流血伤害！。"" c=""fffff2df""/>",480,0,400,2,,晨曦剑露,,,,消耗魔法：150,150,100,
213003,青莲剑舞,2276,2,让宝宝变强大的圣级宠物技能书,"<T t=""对单个敌人进行百分之百物理连击！击杀敌人后可获得提升自身物理暴击率的持续状态！。"" c=""fffff2df""/>",480,0,400,2,,青莲剑舞,,,,消耗魔法：150,150,100,
213004,破魔碎击,2231,2,让宝宝变强大的圣级宠物技能书,"<T t=""对单个敌人进行狂暴一击！并且附带破魔效果！击杀敌人后提升自身大量物理伤害和物理破防效果！。"" c=""fffff2df""/>",480,0,400,2,,破魔碎击,,,,消耗魔法：150,150,100,
213005,万剑齐发,2270,2,让宝宝变强大的圣级宠物技能书,"<T t=""上古后羿留下之秘术，弯弓对三个目标造成大量物理伤害！同时有5%概率驱除对方的一项增益状态。。"" c=""fffff2df""/>",480,0,400,2,,万剑齐发,,,,消耗魔法：150,150,100,
213006,嗜血追击,2221,2,让宝宝变强大的圣级宠物技能书,"<T t=""提升自身百分之10的攻击力对敌人发动秘术！若目标死亡可追击下一个目标，直至目标存活！至多追击五次！。"" c=""fffff2df""/>",480,0,400,2,,嗜血追击,,,,消耗魔法：150,150,100,
213007,穿云破雾,3123,2,让宝宝变强大的圣级宠物技能书,"<T t=""第一次提升百分之20物爆物伤对敌人发起猛烈一击！第二次攻击融入无上心法对打击的目标必定暴击！。"" c=""fffff2df""/>",480,0,400,2,,穿云破雾,,,,消耗魔法：150,150,100,
213008,虚空魔神击,2215,2,让宝宝变强大的圣级宠物技能书,"<T t=""虚空魔神击提升自身百分之百的物理伤害并且提升百分之20物理暴击绕至敌人身后对敌人进行虚空偷袭被击中的敌人造成巨额伤害。"" c=""fffff2df""/>",480,0,400,2,,虚空魔神击,,,,消耗魔法：150,150,100,
213009,圣王惊天爪,3147,2,让宝宝变强大的圣级宠物技能书,"<T t=""百无禁忌可抓碎裂一切可见之物，对单个目标造成大量伤害，并且虎爪带来的烈风可刮伤随机2个目标！。"" c=""fffff2df""/>",480,0,400,2,,圣王惊天爪,,,,消耗魔法：150,150,100,
213010,亢龙有悔,3141,2,让宝宝变强大的圣级宠物技能书,"<T t=""移动到战争中央释放强大的物理伤害，伴随恐惧。"" c=""fffff2df""/>",480,0,400,2,,亢龙有悔,,,,消耗魔法：150,150,100,
213011,斩魂,2179,2,让宝宝变强大的圣级宠物技能书,"<T t=""物理攻击对多个敌人造成伤害。并且概率附加破防状态。"" c=""fffff2df""/>",480,0,400,2,,斩魂,,,,消耗魔法：200,200,100,
