"装备属性编号","属性1ID","属性1名称","属性2ID","属性2名称","属性3ID","属性3名称","属性1波动段1min","属性1波动段1max","属性1波动段2min","属性1波动段2max","属性1波动段3min","属性1波动段3max","属性1波动段4min","属性1波动段4max","属性1波动段5min","属性1波动段5max","属性1波动段1权重","属性1波动段2权重","属性1波动段3权重","属性1波动段4权重","属性1波动段5权重","属性2波动段1min","属性2波动段1max","属性2波动段2min","属性2波动段2max","属性2波动段3min","属性2波动段3max","属性2波动段4min","属性2波动段4max","属性2波动段5min","属性2波动段5max","属性2波动段1权重","属性2波动段2权重","属性2波动段3权重","属性2波动段4权重","属性2波动段5权重","属性3波动段1min","属性3波动段1max","属性3波动段2min","属性3波动段2max","属性3波动段3min","属性3波动段3max","属性3波动段4min","属性3波动段4max","属性3波动段5min","属性3波动段5max","属性3波动段1权重","属性3波动段2权重","属性3波动段3权重","属性3波动段4权重","属性3波动段5权重"
"6090626","160","magicdef_value","200","speed_value","","","85","110","85","110","85","123","123","123","123","123","6000","3000","1000","0","0","66","118","66","118","66","132","132","132","132","132","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100101","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100102","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100103","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100104","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100105","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100106","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100107","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100108","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100109","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100110","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100111","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100112","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100113","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100114","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100115","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100116","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100117","130","phyattack_value","150","magicattack_value","170","medical_value","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","149","187","149","187","149","205","205","205","205","205","6000","3000","1000","0","0","180","300","180","300","180","330","330","330","330","330","6000","3000","1000","0","0"
"6100220","60","maxhp_value","140","defend_value","","","532","666","532","666","532","732","732","732","732","732","6000","3000","1000","0","0","165","208","165","208","165","228","228","228","228","228","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100221","60","maxhp_value","140","defend_value","","","532","666","532","666","532","732","732","732","732","732","6000","3000","1000","0","0","165","208","165","208","165","228","228","228","228","228","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100322","90","maxmp_value","140","defend_value","","","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","99","125","99","125","99","137","137","137","137","137","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100323","90","maxmp_value","140","defend_value","","","666","833","666","833","666","916","916","916","916","916","6000","3000","1000","0","0","99","125","99","125","99","137","137","137","137","137","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100424","150","magicattack_value","160","magicdef_value","","","182","229","182","229","182","251","251","251","251","251","6000","3000","1000","0","0","99","125","99","125","99","137","137","137","137","137","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100525","60","maxhp_value","140","defend_value","","","800","1000","800","1000","800","1100","1100","1100","1100","1100","6000","3000","1000","0","0","66","83","66","83","66","91","91","91","91","91","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6100626","160","magicdef_value","200","speed_value","","","99","125","99","125","99","137","137","137","137","137","6000","3000","1000","0","0","79","133","79","133","79","146","146","146","146","146","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110101","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110102","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110103","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110104","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110105","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110106","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110107","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110108","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110109","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110110","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110111","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110112","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110113","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110114","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110115","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110116","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110117","130","phyattack_value","150","magicattack_value","170","medical_value","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","153","199","153","199","153","220","220","220","220","220","6000","3000","1000","0","0","177","320","177","320","177","356","356","356","356","356","6000","3000","1000","0","0"
"6110220","60","maxhp_value","140","defend_value","","","638","799","638","799","638","878","878","878","878","878","6000","3000","1000","0","0","171","220","171","220","171","246","246","246","246","246","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110221","60","maxhp_value","140","defend_value","","","638","799","638","799","638","878","878","878","878","878","6000","3000","1000","0","0","171","220","171","220","171","246","246","246","246","246","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110322","90","maxmp_value","140","defend_value","","","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","102","132","102","132","102","147","147","147","147","147","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110323","90","maxmp_value","140","defend_value","","","799","999","799","999","799","1099","1099","1099","1099","1099","6000","3000","1000","0","0","102","132","102","132","102","147","147","147","147","147","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110424","150","magicattack_value","160","magicdef_value","","","218","274","218","274","218","301","301","301","301","301","6000","3000","1000","0","0","102","132","102","132","102","147","147","147","147","147","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110525","60","maxhp_value","140","defend_value","","","960","1200","960","1200","960","1320","1320","1320","1320","1320","6000","3000","1000","0","0","68","87","68","87","68","98","98","98","98","98","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6110626","160","magicdef_value","200","speed_value","","","118","150","118","150","118","164","164","164","164","164","6000","3000","1000","0","0","79","141","79","141","79","158","158","158","158","158","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120101","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120102","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120103","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120104","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120105","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120106","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120107","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120108","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120109","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120110","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120111","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120112","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120113","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120114","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120115","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120116","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120117","130","phyattack_value","150","magicattack_value","170","medical_value","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","183","238","183","238","183","264","264","264","264","264","6000","3000","1000","0","0","212","384","212","384","212","427","427","427","427","427","6000","3000","1000","0","0"
"6120220","60","maxhp_value","140","defend_value","","","765","958","765","958","765","1053","1053","1053","1053","1053","6000","3000","1000","0","0","205","264","205","264","205","295","295","295","295","295","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120221","60","maxhp_value","140","defend_value","","","765","958","765","958","765","1053","1053","1053","1053","1053","6000","3000","1000","0","0","205","264","205","264","205","295","295","295","295","295","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120322","90","maxmp_value","140","defend_value","","","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","122","158","122","158","122","176","176","176","176","176","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120323","90","maxmp_value","140","defend_value","","","958","1198","958","1198","958","1318","1318","1318","1318","1318","6000","3000","1000","0","0","122","158","122","158","122","176","176","176","176","176","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120424","150","magicattack_value","160","magicdef_value","","","261","328","261","328","261","361","361","361","361","361","6000","3000","1000","0","0","122","158","122","158","122","176","176","176","176","176","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120525","60","maxhp_value","140","defend_value","","","1152","1440","1152","1440","1152","1584","1584","1584","1584","1584","6000","3000","1000","0","0","81","104","81","104","81","117","117","117","117","117","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6120626","160","magicdef_value","200","speed_value","","","141","180","141","180","141","196","196","196","196","196","6000","3000","1000","0","0","94","169","94","169","94","189","189","189","189","189","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130101","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130102","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130103","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130104","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130105","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130106","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130107","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130108","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130109","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130110","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130111","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130112","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130113","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130114","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130115","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130116","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130117","130","phyattack_value","150","magicattack_value","170","medical_value","1024","1279","1024","1379","1024","1593","1594","1594","1594","1594","6000","3000","1000","0","0","203","308","203","308","203","308","308","308","308","308","6000","3000","1000","0","0","247","498","247","498","247","498","498","498","498","498","6000","3000","1000","0","0"
"6130220","60","maxhp_value","140","defend_value","","","865","1028","965","1128","965","1228","1228","1228","1228","1228","6000","3000","1000","0","0","225","344","225","344","225","344","344","344","344","344","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130221","60","maxhp_value","140","defend_value","","","865","939","865","939","865","1228","1228","1228","1228","1228","6000","3000","1000","0","0","225","344","225","344","225","344","344","344","344","344","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130322","90","maxmp_value","140","defend_value","","","1058","1179","1058","1379","1058","1593","1594","1594","1594","1594","6000","3000","1000","0","0","142","205","142","205","142","205","205","205","205","205","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130323","90","maxmp_value","140","defend_value","","","1058","1179","1058","1379","1058","1593","1594","1594","1594","1594","6000","3000","1000","0","0","142","205","142","205","142","205","205","205","205","205","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130424","150","magicattack_value","160","magicdef_value","","","286","330","311","380","311","421","421","421","421","421","6000","3000","1000","0","0","142","205","142","205","142","205","205","205","205","205","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130525","60","maxhp_value","140","defend_value","","","1252","1414","1252","1614","1252","1848","1848","1848","1848","1848","6000","3000","1000","0","0","101","136","101","136","101","136","136","136","136","136","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6130626","160","magicdef_value","200","speed_value","","","161","183","161","183","161","228","228","228","228","228","6000","3000","1000","0","0","114","224","114","224","114","224","224","224","224","224","6000","3000","1000","0","0","","","","","","","","","","","0","0","0","0","0"
"6140101","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140102","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140103","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140104","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140105","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140106","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
"6140107","130","phyattack_value","150","magicattack_value","170","medical_value","1180","1392","1280","1592","1380","1876","1876","1876","1876","1876","6000","3000","1000","0","0","223","352","223","352","223","352","352","352","352","352","6000","3000","1000","0","0","282","569","282","569","282","569","569","569","569","569","6000","3000","1000","0","0"
