"id","光环等级","升级经验","光环id","描述1","描述2","描述3","描述4","描述5","描述6","描述7","描述8","描述9","描述10","被克描述1","被克描述2","被克描述3","被克描述4","被克描述5","被克描述6","被克描述7","被克描述8","被克描述9","被克描述10","效果1","效果2","效果3","效果4","效果5","效果6","效果7","效果8","效果9","效果10","被克效果1","被克效果2","被克效果3","被克效果4","被克效果5","被克效果6","被克效果7","被克效果8","被克效果9","被克效果10"
"22","3","30000","4","<T t=""伤害+19%""></T>","<T t=""防御+7%""></T>","<T t=""防御+7%""></T>","<T t=""伤害+7%""></T>","<T t=""伤害+7%""></T>","","","","","","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","physicrevise_value=0.19;magicrevise_value=0.19","onphysicrevise_value=0.07;onmagicrevise_value=0.07","onphysicrevise_value=0.07;onmagicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","","","","","","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045"
"23","4","40000","4","<T t=""伤害+21.5%""></T>","<T t=""防御+8%""></T>","<T t=""防御+8%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","","","","","","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","physicrevise_value=0.215;magicrevise_value=0.215","onphysicrevise_value=0.08;onmagicrevise_value=0.08","onphysicrevise_value=0.08;onmagicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","","","","","","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06"
"24","5","50000","4","<T t=""伤害+24%""></T>","<T t=""防御+9%""></T>","<T t=""防御+9%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","physicrevise_value=0.24;magicrevise_value=0.24","onphysicrevise_value=0.09;onmagicrevise_value=0.09","onphysicrevise_value=0.09;onmagicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
"25","6","50000","4","<T t=""伤害+24%""></T>","<T t=""防御+9%""></T>","<T t=""防御+9%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","physicrevise_value=0.24;magicrevise_value=0.24","onphysicrevise_value=0.09;onmagicrevise_value=0.09","onphysicrevise_value=0.09;onmagicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
"26","1","0","5","<T t=""法防+11%""></T>","<T t=""速度+8%""></T>","<T t=""法伤+17%""></T><T t=""速度-17%""></T>","<T t=""物伤+11%""></T>","<T t=""物防+11%""></T>","","","","","","<T t=""速度+3%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+3%(被克制)""></T><B></B><T t=""防御-2%""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","onmagicrevise_value=0.11","speed_percent=0.08","magicrevise_value=0.17;speed_percent=-0.17","physicrevise_value=0.11","onphysicrevise_value=0.11","","","","","","speed_percent=0.03;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.03;defend_percent=-0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01"
"27","2","20000","5","<T t=""法防+13%""></T>","<T t=""速度+9.5%""></T>","<T t=""法伤+20%""></T><T t=""速度-20%""></T>","<T t=""物伤+13%""></T>","<T t=""物防+13%""></T>","","","","","","<T t=""速度+6%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+6%(被克制)""></T><B></B><T t=""防御-4%""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","onmagicrevise_value=0.13","speed_percent=0.095","magicrevise_value=0.20;speed_percent=-0.20","physicrevise_value=0.13","onphysicrevise_value=0.13","","","","","","speed_percent=0.06;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.06;defend_percent=-0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02"
"28","3","30000","5","<T t=""法防+15%""></T>","<T t=""速度+11%""></T>","<T t=""法伤+23%""></T><T t=""速度-23%""></T>","<T t=""物伤+15%""></T>","<T t=""物防+15%""></T>","","","","","","<T t=""速度+9%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+9%(被克制)""></T><B></B><T t=""防御-6%""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","onmagicrevise_value=0.15","speed_percent=0.11","magicrevise_value=0.23;speed_percent=-0.23","physicrevise_value=0.15","onphysicrevise_value=0.15","","","","","","speed_percent=0.09;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.09;defend_percent=-0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03"
"29","4","40000","5","<T t=""法防+17%""></T>","<T t=""速度+12.5%""></T>","<T t=""法伤+26%""></T><T t=""速度-26%""></T>","<T t=""物伤+17%""></T>","<T t=""物防+17%""></T>","","","","","","<T t=""速度+12%(被克制)""></T><B></B><T t=""防御-8%""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+12%(被克制)""></T><B></B><T t=""防御-8%""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","onmagicrevise_value=0.17","speed_percent=0.125","magicrevise_value=0.26;speed_percent=-0.26","physicrevise_value=0.17","onphysicrevise_value=0.17","","","","","","speed_percent=0.12;defend_percent=-0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.12;defend_percent=-0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04"
"30","5","50000","5","<T t=""法防+19%""></T>","<T t=""速度+14%""></T>","<T t=""法伤+29%""></T><T t=""速度-29%""></T>","<T t=""物伤+19%""></T>","<T t=""物防+19%""></T>","","","","","","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","onmagicrevise_value=0.19","speed_percent=0.14","magicrevise_value=0.29;speed_percent=-0.29","physicrevise_value=0.19","onphysicrevise_value=0.19","","","","","","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05"
"31","6","50000","5","<T t=""法防+19%""></T>","<T t=""速度+14%""></T>","<T t=""法伤+29%""></T><T t=""速度-29%""></T>","<T t=""物伤+19%""></T>","<T t=""物防+19%""></T>","","","","","","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+15%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","onmagicrevise_value=0.19","speed_percent=0.14","magicrevise_value=0.29;speed_percent=-0.29","physicrevise_value=0.19","onphysicrevise_value=0.19","","","","","","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.15;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05"
"32","1","0","6","<T t=""法防+11%""></T>","<T t=""法防+11%""></T>","<T t=""法防+11%""></T>","<T t=""伤害+5%""></T>","<T t=""伤害+5%""></T>","","","","","","<T t=""防御+3%(被克制)""></T><B></B><T t=""速度-2%""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""防御+3%(被克制)""></T><B></B><T t=""速度-2%""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","onmagicrevise_value=0.11","onmagicrevise_value=0.11","onmagicrevise_value=0.11","physicrevise_value=0.05;magicrevise_value=0.05","physicrevise_value=0.05;magicrevise_value=0.05","","","","","","defend_percent=0.03;magicdef_percent=0.03;speed_percent=-0.02","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015","defend_percent=0.03;magicdef_percent=0.03;speed_percent=-0.02","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015"
"33","2","20000","6","<T t=""法防+13%""></T>","<T t=""法防+13%""></T>","<T t=""法防+13%""></T>","<T t=""伤害+6%""></T>","<T t=""伤害+6%""></T>","","","","","","<T t=""防御+6%(被克制)""></T><B></B><T t=""速度-4%""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""防御+6%(被克制)""></T><B></B><T t=""速度-4%""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","onmagicrevise_value=0.13","onmagicrevise_value=0.13","onmagicrevise_value=0.13","physicrevise_value=0.06;magicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","","","","","","defend_percent=0.06;magicdef_percent=0.06;speed_percent=-0.04","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03","defend_percent=0.06;magicdef_percent=0.06;speed_percent=-0.04","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03"
"34","3","30000","6","<T t=""法防+15%""></T>","<T t=""法防+15%""></T>","<T t=""法防+15%""></T>","<T t=""伤害+7%""></T>","<T t=""伤害+7%""></T>","","","","","","<T t=""防御+9%(被克制)""></T><B></B><T t=""速度-6%""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""防御+9%(被克制)""></T><B></B><T t=""速度-6%""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","onmagicrevise_value=0.15","onmagicrevise_value=0.15","onmagicrevise_value=0.15","physicrevise_value=0.07;magicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","","","","","","defend_percent=0.09;magicdef_percent=0.09;speed_percent=-0.06","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045","defend_percent=0.09;magicdef_percent=0.09;speed_percent=-0.06","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045"
"35","4","40000","6","<T t=""法防+17%""></T>","<T t=""法防+17%""></T>","<T t=""法防+17%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","","","","","","<T t=""防御+12%(被克制)""></T><B></B><T t=""速度-8%""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""防御+12%(被克制)""></T><B></B><T t=""速度-8%""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","onmagicrevise_value=0.17","onmagicrevise_value=0.17","onmagicrevise_value=0.17","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","","","","","","defend_percent=0.12;magicdef_percent=0.12;speed_percent=-0.08","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06","defend_percent=0.12;magicdef_percent=0.12;speed_percent=-0.08","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06"
"36","5","50000","6","<T t=""法防+19%""></T>","<T t=""法防+19%""></T>","<T t=""法防+19%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","onmagicrevise_value=0.19","onmagicrevise_value=0.19","onmagicrevise_value=0.19","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
"37","6","50000","6","<T t=""法防+19%""></T>","<T t=""法防+19%""></T>","<T t=""法防+19%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""防御+15%(被克制)""></T><B></B><T t=""速度-10%""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","onmagicrevise_value=0.19","onmagicrevise_value=0.19","onmagicrevise_value=0.19","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","defend_percent=0.15;magicdef_percent=0.15;speed_percent=-0.1","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
"38","1","0","7","<T t=""抗封+12%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","<T t=""速度+5%""></T>","<T t=""速度+5%""></T>","","","","","","<T t=""防御+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","resistseal_value=0.12","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","speed_percent=0.05","speed_percent=0.05","","","","","","defend_percent=0.02;magicdef_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.02;magicdef_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015","defend_percent=0.015;magicdef_percent=0.015"
"39","2","20000","7","<T t=""抗封+14%""></T>","<T t=""伤害+9.5%""></T>","<T t=""伤害+9.5%""></T>","<T t=""速度+6%""></T>","<T t=""速度+6%""></T>","","","","","","<T t=""防御+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","resistseal_value=0.14","physicrevise_value=0.095;magicrevise_value=0.095","physicrevise_value=0.095;magicrevise_value=0.095","speed_percent=0.06","speed_percent=0.06","","","","","","defend_percent=0.04;magicdef_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.04;magicdef_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03","defend_percent=0.03;magicdef_percent=0.03"
"40","3","30000","7","<T t=""抗封+16%""></T>","<T t=""伤害+11%""></T>","<T t=""伤害+11%""></T>","<T t=""速度+7%""></T>","<T t=""速度+7%""></T>","","","","","","<T t=""防御+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","resistseal_value=0.16","physicrevise_value=0.11;magicrevise_value=0.11","physicrevise_value=0.11;magicrevise_value=0.11","speed_percent=0.07","speed_percent=0.07","","","","","","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045","defend_percent=0.045;magicdef_percent=0.045"
"41","4","40000","7","<T t=""抗封+18%""></T>","<T t=""伤害+12.5%""></T>","<T t=""伤害+12.5%""></T>","<T t=""速度+8%""></T>","<T t=""速度+8%""></T>","","","","","","<T t=""防御+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","resistseal_value=0.18","physicrevise_value=0.125;magicrevise_value=0.125","physicrevise_value=0.125;magicrevise_value=0.125","speed_percent=0.08","speed_percent=0.08","","","","","","defend_percent=0.08;magicdef_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.08;magicdef_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06","defend_percent=0.06;magicdef_percent=0.06"
"42","5","50000","7","<T t=""抗封+20%""></T>","<T t=""伤害+14%""></T>","<T t=""伤害+14%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","","","","","","<T t=""防御+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","resistseal_value=0.20","physicrevise_value=0.14;magicrevise_value=0.14","physicrevise_value=0.14;magicrevise_value=0.14","speed_percent=0.09","speed_percent=0.09","","","","","","defend_percent=0.1;magicdef_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.1;magicdef_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075"
