"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"140014","索魂","索魂","坚若磐石：增加人物法术防御","2421","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","索魂","索魂","索魂","索魂","索魂","索魂","索魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140015","黄泉","黄泉","风驰霆击：增加人物物理暴击","2422","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","黄泉","黄泉","黄泉","黄泉","黄泉","黄泉","黄泉","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140016","幽光","幽光","救死扶伤：增加人物治疗强度","2423","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","幽光","幽光","幽光","幽光","幽光","幽光","幽光","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140017","魂飞","魂飞","道高魔重：增加人物法术抗暴","2424","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","魂飞","魂飞","魂飞","魂飞","魂飞","魂飞","魂飞","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140019","回旋","回旋","气血方刚：增加人物气血","2425","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","回旋","回旋","回旋","回旋","回旋","回旋","回旋","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140020","聚魂","聚魂","铜墙铁壁：增加人物物理防御","2426","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","聚魂","聚魂","聚魂","聚魂","聚魂","聚魂","聚魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140021","伤魂","伤魂","道高魔重：增加人物法术抗暴","2427","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","伤魂","伤魂","伤魂","伤魂","伤魂","伤魂","伤魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140022","幽冥","幽冥","风驱电击：增加人物法术暴击","2428","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","幽冥","幽冥","幽冥","幽冥","幽冥","幽冥","幽冥","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140023","泉爆","泉爆","道高魔重：增加人物法术抗暴","2429","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","泉爆","泉爆","泉爆","泉爆","泉爆","泉爆","泉爆","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140024","汲魂","汲魂","杯弓蛇影：增加人物物理抗暴","2430","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","汲魂","汲魂","汲魂","汲魂","汲魂","汲魂","汲魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140025","魍魉追魂","魍魉追魂","换斗移星：增加人物法术伤害","2431","-1","0","0","100点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","1","2","3","4","5","6","7"
"140026","夜行","夜行","千里神行：增加人物速度","2432","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","夜行","夜行","夜行","夜行","夜行","夜行","夜行","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140027","拘魄","拘魄","气血方刚：增加人物气血","2433","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","拘魄","拘魄","拘魄","拘魄","拘魄","拘魄","拘魄","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140028","瘴幕","瘴幕","铜墙铁壁：增加人物物理防御","2434","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140029","冥视","冥视","救死扶伤：增加人物治疗强度","2435","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","冥视","冥视","冥视","冥视","冥视","冥视","冥视","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140030","鬼火","鬼火","杯弓蛇影：增加人物物理抗暴","2436","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","鬼火","鬼火","鬼火","鬼火","鬼火","鬼火","鬼火","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140031","扼命","扼命","气血方刚：增加人物气血","2437","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","扼命","扼命","扼命","扼命","扼命","扼命","扼命","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140032","勾魂阎罗","勾魂阎罗","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150000","九龙诀","九龙诀","九龙出水鬼神惊，扶摇直上云霄里。","49","-1","0","0","无消耗","-1","0","0","","1","1","","九龙出水鬼神惊，扶摇直上云霄里。大幅度增加法术连接几率！","龙宫基础技能。","1","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","永久增加角色的法术伤害、气血","1","200","200","200","200","200","200"
"150001","龙卷雨击","龙卷雨击","云从龙，风从雨，龙举四海之力，毁天灭地。","50","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","云从龙，风从雨，龙举四海之力，毁天灭地。","法术攻击6个目标","2","法术攻击多个目标。","法术攻击多个目标。","法术攻击多个目标。","法术攻击多个目标。","法术攻击多个目标。","法术攻击多个目标。","法术攻击多个目标。","增加使用时的伤害，60级可攻击5个目标。","增加使用时的伤害，90级可攻击6个目标。","增加使用时的伤害，90级可攻击6个目标。","增加使用时的伤害，90级可攻击7个目标。","增加使用时的伤害，90级可攻击7个目标。","增加使用时的伤害，90级可攻击7个目标。","增加使用时的伤害，90级可攻击7个目标。","增加使用时的伤害，90级可攻击7个目标。","1","60","70","90","200","200","200"
"150002","龙腾","龙腾","龙腾四海，浩大声势让世人惊叹。","51","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","龙腾四海，浩大声势让世人惊叹。","法术攻击单个目标。","3","法术攻击单个目标。","法术攻击单个目标。","法术攻击单个目标。","法术攻击单个目标。","法术攻击单个目标。","法术攻击单个目标。","法术攻击单个目标。","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","增加使用时的伤害","1","200","200","200","200","200","200"
"150003","逆鳞","逆鳞","龙喉下有逆鳞，触之必怒，怒则天地变色。","52","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","1","1","","龙喉下有逆鳞，触之必怒，怒则天地变色。","提升自己的法术连击概率和法连伤害，持续5回合。","4","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","提升自己的法术连击概率和法连伤害，持续5回合。","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","永久增加角色的速度","1","60","200","200","200","200","200"
"150004","龙吟","龙吟","神龙长吟，鬼神心惊。龙族绝技，声势骇人。","53","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","神龙长吟，鬼神心惊。龙族绝技，声势骇人。","法术攻击敌方全体，消耗目标魔法。","5","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","法术攻击敌方全体，消耗目标魔法。","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","增加使用时的伤害和消耗对方魔法。永久增加角色的封印抵抗","1","200","200","200","200","200","200"
"150005","清心","清心","召唤风雨的神奇力量，清除一切无名毒咒。","54","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","召唤风雨的神奇力量，清除一切无名毒咒。","净化友方单位的异常状态.","6","净化友方单位的异常状态.","净化友方单位的异常状态.","净化友方单位的异常状态.","净化友方单位的异常状态.","净化友方单位的异常状态.","净化友方单位的异常状态.","净化友方单位的异常状态.","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","增加气血回复效果。永久增加角色的法术防御","1","200","200","200","200","200","200"
"150006","龙附","龙附","龙，四灵之首，有着神奇而骇人的力量。","55","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","龙，四灵之首，有着神奇而骇人的力量。","制造一张临时符，给武器增加物理伤害。 ","7","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","制造一张临时符，给武器增加物理伤害。 ","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","增加临时符附加物理伤害的效果","1","200","200","200","200","200","200"
"150007","魔浪滔天","魔浪滔天","龙宫门派绝技，召唤上古魔龙化身，掀起滔天魔浪，气海空虚之人无法抵抗这声势浩大的一击。","56","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","龙宫门派绝技，召唤上古魔龙化身，掀起滔天魔浪，气海空虚之人无法抵抗这声势浩大的一击。","对敌方全体单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。","8","对敌方全体单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为龙卷雨击伤害的200%。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为龙卷雨击伤害的200%。","对敌方7个单位造成极端法术伤害，目标剩余的魔法值越少，伤害越高，最高为龙卷雨击伤害的260%。","对敌方全体单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。","对敌方全体单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。","对敌方全体单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","1","2","3","4","5","6","7"
"150012","波涛","波涛","铜墙铁壁：增加人物物理防御","2438","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","波涛","波涛","波涛","波涛","波涛","波涛","波涛","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150013","叱咤","叱咤","千里神行：增加人物速度","2439","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","叱咤","叱咤","叱咤","叱咤","叱咤","叱咤","叱咤","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150014","逐浪","逐浪","坚若磐石：增加人物法术防御","2440","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","逐浪","逐浪","逐浪","逐浪","逐浪","逐浪","逐浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150015","龙慑","龙慑","风驰霆击：增加人物物理暴击","2441","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","龙慑","龙慑","龙慑","龙慑","龙慑","龙慑","龙慑","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150016","骇浪","骇浪","救死扶伤：增加人物治疗强度","2442","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","骇浪","骇浪","骇浪","骇浪","骇浪","骇浪","骇浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150017","汹涌","汹涌","道高魔重：增加人物法术抗暴","2443","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","汹涌","汹涌","汹涌","汹涌","汹涌","汹涌","汹涌","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150019","破浪","破浪","气血方刚：增加人物气血","2444","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","破浪","破浪","破浪","破浪","破浪","破浪","破浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150020","踏涛","踏涛","铜墙铁壁：增加人物物理防御","2445","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","踏涛","踏涛","踏涛","踏涛","踏涛","踏涛","踏涛","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150021","龙珠","龙珠","道高魔重：增加人物法术抗暴","2446","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","龙珠","龙珠","龙珠","龙珠","龙珠","龙珠","龙珠","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150022","傲翔","傲翔","风驱电击：增加人物法术暴击","2447","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","傲翔","傲翔","傲翔","傲翔","傲翔","傲翔","傲翔","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150023","月光","月光","道高魔重：增加人物法术抗暴","2448","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","月光","月光","月光","月光","月光","月光","月光","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150024","龙魄","龙魄","杯弓蛇影：增加人物物理抗暴","2449","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","龙魄","龙魄","龙魄","龙魄","龙魄","龙魄","龙魄","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150025","亢龙归海","亢龙归海","换斗移星：增加人物法术伤害","2450","-1","0","0","200点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","1","2","3","4","5","6","7"
"150026","狂浪","狂浪","千里神行：增加人物速度","2451","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","狂浪","狂浪","狂浪","狂浪","狂浪","狂浪","狂浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150027","龙哮","龙哮","气血方刚：增加人物气血","2452","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","龙哮","龙哮","龙哮","龙哮","龙哮","龙哮","龙哮","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150028","龙息","龙息","铜墙铁壁：增加人物物理防御","2453","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","龙息","龙息","龙息","龙息","龙息","龙息","龙息","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150029","飞龙","飞龙","救死扶伤：增加人物治疗强度","2454","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","飞龙","飞龙","飞龙","飞龙","飞龙","飞龙","飞龙","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150030","戏珠","戏珠","杯弓蛇影：增加人物物理抗暴","2455","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","戏珠","戏珠","戏珠","戏珠","戏珠","戏珠","戏珠","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150031","斩浪","斩浪","气血方刚：增加人物气血","2456","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","斩浪","斩浪","斩浪","斩浪","斩浪","斩浪","斩浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150032","海中蛟虬","海中蛟虬","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"160000","金刚经","金刚经","菩萨低眉，金刚怒目，除魔卫道。","57","-1","0","0","无消耗","-1","0","0","","1","1","","菩萨低眉，金刚怒目，除魔卫道。","普陀山基础技能。","1","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","永久增加角色的气血上限","1","200","200","200","200","200","200"
"160001","五行咒","五行咒","金木水火土，循环相生，往复相克。","58","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","金木水火土，循环相生，往复相克。","法术攻击3个目标。对首目标造成额外伤害。","2","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","法术攻击3个目标。对首目标造成额外伤害。","增加使用时的伤害，60级可攻击4个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","增加使用时的伤害，70级可攻击5个目标。","1","60","70","90","200","200","200"
"160002","普度众生","普度众生","以慈悲心济世救人，渡重伤者达平乐之岸。 ","59","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","以慈悲心济世救人，渡重伤者达平乐之岸。 ","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","3","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","回复2个目标气血，附加5回合持续气血回复。对有普渡众生状态的目标产生额外治疗，目标气血越低治疗量越高。","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","增加气血回复效果","1","200","200","200","200","200","200"
"160003","杨柳甘露","杨柳甘露","净瓶甘露年年盛，救人杨柳岁岁青。","60","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","4126","1","","净瓶甘露年年盛，救人杨柳岁岁青。","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","4","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","复活死亡目标，鬼魂术除外。复活后附加普渡众生状态","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","增加气血回复。永久增加角色的速度","1","200","200","200","200","200","200"
"160004","灵动九天","灵动九天","参透法华经，灵力便能动彻九天之上。","61","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","参透法华经，灵力便能动彻九天之上。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","5","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","战斗中增加4个友方单位的法术伤害和法术防御，持续5回合。","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","增加使用效果。永久增加角色的封印抵抗","1","50","60","70","90","200","200"
"160005","自在心法","自在心法","似轻云出岫，似微风拂柳","62","120","0","10","消耗：$parameter1$愤怒","-1","0","0","","4127","1","","似轻云出岫，似微风拂柳","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","6","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","解除1至4个己方队友的所有异常状态(恐惧和眩晕除外）","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","结束己方单位的普渡众生状态，恢复气血等同于两次普渡众生。","永久增加角色的法术伤害","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","增加使用效果，永久增加角色治疗强度","1","200","200","200","200","200","200"
"160006","莲华妙法","莲华妙法","不如法华，不知佛恩浩瀚。","63","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","不如法华，不知佛恩浩瀚。","制造一张临时符，给项链增加法术伤害。","7","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","制造一张临时符，给项链增加法术伤害。","增加临时符附加术攻击的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","增加临时符附加法术伤害的效果","1","200","200","200","200","200","200"
"160007","沐日慈悲","沐日慈悲","普陀山门派绝技。观世音以尘世为苦海，一慈悲救众生。曾发宏愿，让莲花开满人间。","64","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","4127","1","","<T t=""普陀山门派绝技。观世音以尘世为苦海，一慈悲救众生。曾发宏愿，让莲花开满人间。”"" c=""ffd729ea""></T>","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","8","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","使全体队友在2回合内免疫1次死亡，濒死瞬间回复气血为气血上限的25%。使用后休息1回合。","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","增加技能使用时的效果","1","2","3","4","5","6","7"
"160012","推衍","推衍","铜墙铁壁：增加人物物理防御","2457","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","推衍","推衍","推衍","推衍","推衍","推衍","推衍","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"160013","莲花心音","莲花心音","千里神行：增加人物速度","2458","-1","0","0","60点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","莲花心音","莲花心音","莲花心音","莲花心音","莲花心音","莲花心音","莲花心音","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"160014","劳心","劳心","坚若磐石：增加人物法术防御","2459","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","劳心","劳心","劳心","劳心","劳心","劳心","劳心","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
