id,名称,物品id1,物品id1权重,物品id2,物品id2权重,物品id3,物品id3权重,物品id4,物品id4权重,物品id5,物品id5权重,物品id6,物品id6权重,物品id7,物品id7权重,物品id8,物品id8权重,物品id9,物品id9权重,物品id10,物品id10权重,物品id11,物品id11权重,物品id12,物品id12权重,物品id13,物品id13权重,物品id14,物品id14权重,物品id15,物品id15权重,物品id16,物品id16权重,物品id17,物品id17权重,物品id18,物品id18权重,物品id19,物品id19权重,物品id20,物品id20权重,物品id21,物品id21权重,物品id22,物品id22权重,物品id23,物品id23权重,物品id24,物品id24权重,物品id25,物品id25权重,物品id26,物品id26权重,物品id27,物品id27权重,物品id28,物品id28权重,物品id29,物品id29权重,物品id30,物品id30权重,物品id31,物品id31权重,物品id32,物品id32权重,物品id33,物品id33权重,物品id34,物品id34权重,物品id35,物品id35权重,物品id36,物品id36权重,物品id37,物品id37权重,物品id38,物品id38权重,物品id39,物品id39权重,物品id40,物品id40权重,物品id41,物品id41权重,物品id42,物品id42权重,物品id43,物品id43权重,物品id44,物品id44权重,物品id45,物品id45权重,物品id46,物品id46权重,物品id47,物品id47权重,物品id48,物品id48权重,物品id49,物品id49权重,物品id50,物品id50权重,物品id51,物品id51权重,物品id52,物品id52权重,物品id53,物品id53权重,物品id54,物品id54权重,物品id55,物品id55权重,物品id56,物品id56权重,物品id57,物品id57权重,物品id58,物品id58权重,物品id59,物品id59权重,物品id60,物品id60权重,物品id61,物品id61权重,物品id62,物品id62权重,物品id63,物品id63权重,物品id64,物品id64权重,物品id65,物品id65权重,物品id66,物品id66权重,物品id67,物品id67权重,物品id68,物品id68权重,物品id69,物品id69权重,物品id70,物品id70权重,物品id71,物品id71权重,物品id72,物品id72权重,物品id73,物品id73权重,物品id74,物品id74权重,物品id75,物品id75权重,物品id76,物品id76权重,物品id77,物品id77权重,物品id78,物品id78权重
200054,冰封王座宝箱,331350,20,331351,20,331352,80,331353,80,331354,80,311002,50,311012,50,311001,50,311038,5,311039,5,311040,5,311041,5,311042,5,311043,5,311044,5,311045,5,311046,5,311047,5,311048,5,311049,5,311050,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200055,冠军试炼普通掉落,320150,60,320151,60,320152,60,320153,60,320154,60,320155,60,320156,60,320157,60,35001,50,35002,50,35003,50,35004,50,35005,50,35006,50,35007,50,35008,50,35009,50,331352,25,331353,25,331354,25,331350,5,331351,5,331300,50,311001,3,311002,3,311003,5,311004,5,311005,3,311006,3,311007,3,311008,5,311009,3,311010,5,311011,5,311012,5,311013,5,311014,5,311015,5,311016,5,311017,5,311018,5,311019,5,311020,5,311021,5,311022,5,311023,5,311024,5,311025,5,311026,5,311027,5,311028,5,311029,5,311030,5,311031,5,311032,5,311033,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200056,亚龙奖励,32037,60,32038,60,360000,30,35001,10,35002,10,35003,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200057,巨龙奖励,360000,40,331300,50,35004,20,35005,20,331354,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200058,巨龙精英奖励,360000,40,331300,50,35004,20,35005,20,331354,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200059,冠军试炼宝箱,331350,150,331351,150,311003,150,311004,150,311008,150,311009,150,331301,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200060,冠军试炼宝箱,331350,100,331351,100,311002,100,311005,250,311007,100,311010,250,331301,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220000,冰封王座宝箱,311001,100,311002,100,311003,100,311004,100,311005,100,311006,100,311007,100,311008,100,311009,100,311010,100,311011,100,311012,100,311013,100,311014,100,311015,100,311016,100,311017,100,311018,100,311019,100,311020,100,311021,100,311022,100,311023,100,311024,100,311025,100,311026,100,311027,100,311028,100,311029,100,311030,100,311031,100,311032,100,311033,100,311034,100,311035,100,311036,100,311037,100,311075,100,311076,100,311077,100,311078,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220001,冰封王座宝箱,40008,100,40009,100,40010,100,40011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200061,小血瓶蓝瓶库,32037,100,32038,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200062,大血瓶蓝瓶库,32014,100,32015,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200063,一级药库,320150,100,320151,100,320152,100,320153,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200064,二级药库,320154,100,320155,100,320156,100,320157,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200065,洗单点卷轴库,331000,100,331001,100,331002,100,331003,100,331004,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200066,修炼丹库,334100,100,334101,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200067,打造强化石库,40008,100,40009,100,40010,100,40011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200068,9级宝石库,35073,100,35074,100,35075,100,35076,100,35077,100,35078,100,35079,100,35080,100,35081,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200069,2级宝石库,35010,100,35011,100,35012,100,35013,100,35014,100,35015,100,35016,100,35017,100,35018,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200070,3级宝石库,35019,100,35020,100,35021,100,35022,100,35023,100,35024,100,35025,100,35026,100,35027,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200071,低级魔兽要诀库,311001,100,311002,100,311003,100,311004,100,311005,100,311006,100,311007,100,311008,100,311009,100,311010,100,311011,100,311012,100,311013,100,311014,100,311015,100,311016,100,311017,100,311018,100,311019,100,311020,100,311021,100,311022,100,311023,100,311024,100,311025,100,311026,100,311027,100,311028,100,311029,100,311030,100,311031,100,311032,100,311033,100,311034,100,311035,100,311036,100,311037,100,311075,100,311076,100,311077,100,311078,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200072,高级魔兽要诀库（氪金宝箱）,311038,100,311039,100,311040,100,311041,100,311042,100,311043,100,311044,100,311045,100,311046,100,311047,100,311048,100,311049,100,311050,100,311051,100,311052,100,311053,100,311054,100,311055,100,311056,100,311057,100,311058,100,311059,100,311060,100,311061,100,311062,100,311063,100,311064,100,311065,100,311066,100,311067,100,311068,100,311069,100,311070,100,311071,100,311072,100,311073,100,311074,100,311079,100,311080,100,311081,100,311082,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200073,光环卷轴库,360001,100,360002,100,360003,100,360004,100,360005,100,360006,100,360007,100,360008,100,360009,100,360010,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074,珍稀五宝库,331350,100,331351,100,331352,100,331353,130,331354,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200075,普通五宝库,331350,100,331351,100,331352,100,331353,130,331354,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200076,坐骑库,331400,100,331401,300,331402,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200077,10级打造图纸库,350100,100,350101,100,350102,100,350103,100,350104,100,350106,100,350107,100,350108,100,350109,50,350110,50,350111,50,350112,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200078,20级打造图纸库,350200,100,350201,100,350202,100,350203,100,350204,100,350206,100,350207,100,350208,100,350209,50,350210,50,350211,50,350212,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200079,30级打造图纸库,350300,100,350301,100,350302,100,350303,100,350304,100,350306,100,350307,100,350308,100,350309,50,350310,50,350311,50,350312,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200080,40级打造图纸库,350400,100,350401,100,350402,100,350403,100,350404,100,350406,100,350407,100,350408,100,350409,50,350410,50,350411,50,350412,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200081,50级打造图纸库,350500,100,350501,100,350502,100,350503,100,350504,100,350506,100,350507,100,350508,100,350509,50,350510,50,350511,50,350512,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200082,60级打造图纸库,350600,100,350601,100,350602,100,350603,100,350604,100,350606,100,350607,100,350608,100,350609,50,350610,50,350611,50,350612,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200083,70级打造图纸库,350700,100,350701,100,350702,100,350703,100,350704,100,350706,100,350707,100,350708,100,350709,50,350710,50,350711,50,350712,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200084,80级打造图纸库,350800,100,350801,100,350802,100,350803,100,350804,100,350806,100,350807,100,350808,100,350809,50,350810,50,350811,50,350812,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200085,90级打造图纸库,350900,100,350901,100,350902,100,350903,100,350904,100,350906,100,350907,100,350908,100,350909,50,350910,50,350911,50,350912,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200086,100级打造图纸库,351000,100,351001,100,351002,100,351003,100,351004,100,351006,100,351007,100,351008,100,351009,50,351010,50,351011,50,351012,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200087,110级打造图纸库,351100,100,351101,100,351102,100,351103,100,351104,100,351106,100,351107,100,351108,100,351109,50,351110,50,351111,50,351112,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200088,120级打造图纸库,351200,100,351201,100,351202,100,351203,100,351204,100,351206,100,351207,100,351208,100,351209,50,351210,50,351211,50,351212,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200089,130级打造图纸库,351300,100,351301,100,351302,100,351303,100,351304,100,351306,100,351307,100,351308,100,351309,50,351310,50,351311,50,351312,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200090,140级打造图纸库,351400,100,351401,100,351402,100,351403,100,351404,100,351406,100,351407,100,351408,100,351409,50,351410,50,351411,50,351412,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200091,150级打造图纸库,351500,100,351501,100,351502,100,351503,100,351504,100,351506,100,351507,100,351508,100,351509,50,351510,50,351511,50,351512,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200092,10级环装库,4010101,100,4010102,100,4010103,100,4010104,100,4010105,100,4010207,100,4010208,100,4010309,100,4010310,100,4010411,100,4010512,100,4010613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200093,20级环装库,4020101,100,4020102,100,4020103,100,4020104,100,4020105,100,4020207,100,4020208,100,4020309,100,4020310,100,4020411,100,4020512,100,4020613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200094,30级环装库,4030101,100,4030102,100,4030103,100,4030104,100,4030105,100,4030207,100,4030208,100,4030309,100,4030310,100,4030411,100,4030512,100,4030613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200095,40级环装库,4040101,100,4040102,100,4040103,100,4040104,100,4040105,100,4040207,100,4040208,100,4040309,100,4040310,100,4040411,100,4040512,100,4040613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200096,50级环装库,4050101,100,4050102,100,4050103,100,4050104,100,4050105,100,4050207,100,4050208,100,4050309,100,4050310,100,4050411,100,4050512,100,4050613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200097,60级环装库,4060101,100,4060102,100,4060103,100,4060104,100,4060105,100,4060207,100,4060208,100,4060309,100,4060310,100,4060411,100,4060512,100,4060613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200098,70级环装库,4070101,100,4070102,100,4070103,100,4070104,100,4070105,100,4070207,100,4070208,100,4070309,100,4070310,100,4070411,100,4070512,100,4070613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200099,80级环装库,4080101,100,4080102,100,4080103,100,4080104,100,4080105,100,4080207,100,4080208,100,4080309,100,4080310,100,4080411,100,4080512,100,4080613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200100,90级环装库,4090101,100,4090102,100,4090103,100,4090104,100,4090105,100,4090207,100,4090208,100,4090309,100,4090310,100,4090411,100,4090512,100,4090613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200101,100级环装库,4100101,100,4100102,100,4100103,100,4100104,100,4100105,100,4100207,100,4100208,100,4100309,100,4100310,100,4100411,100,4100512,100,4100613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200102,110级环装库,4110101,100,4110102,100,4110103,100,4110104,100,4110105,100,4110207,100,4110208,100,4110309,100,4110310,100,4110411,100,4110512,100,4110613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200103,120级环装库,4120101,100,4120102,100,4120103,100,4120104,100,4120105,100,4120207,100,4120208,100,4120309,100,4120310,100,4120411,100,4120512,100,4120613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200104,130级环装库,4130101,100,4130102,100,4130103,100,4130104,100,4130105,100,4130207,100,4130208,100,4130309,100,4130310,100,4130411,100,4130512,100,4130613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200105,140级环装库,4140101,100,4140102,100,4140103,100,4140104,100,4140105,100,4140207,100,4140208,100,4140309,100,4140310,100,4140411,100,4140512,100,4140613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200106,150级环装库,4150101,100,4150102,100,4150103,100,4150104,100,4150105,100,4150207,100,4150208,100,4150309,100,4150310,100,4150411,100,4150512,100,4150613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200107,10级绿装库,5010101,100,5010102,100,5010103,100,5010104,100,5010105,100,5010207,100,5010208,100,5010309,100,5010310,100,5010411,100,5010512,100,5010613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200108,20级绿装库,5020101,100,5020102,100,5020103,100,5020104,100,5020105,100,5020207,100,5020208,100,5020309,100,5020310,100,5020411,100,5020512,100,5020613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200109,30级绿装库,5030101,100,5030102,100,5030103,100,5030104,100,5030105,100,5030207,100,5030208,100,5030309,100,5030310,100,5030411,100,5030512,100,5030613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200110,40级绿装库,5040101,100,5040102,100,5040103,100,5040104,100,5040105,100,5040207,100,5040208,100,5040309,100,5040310,100,5040411,100,5040512,100,5040613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200111,50级绿装库,5050101,100,5050102,100,5050103,100,5050104,100,5050105,100,5050207,100,5050208,100,5050309,100,5050310,100,5050411,100,5050512,100,5050613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200112,60级绿装库,5060101,100,5060102,100,5060103,100,5060104,100,5060105,100,5060207,100,5060208,100,5060309,100,5060310,100,5060411,100,5060512,100,5060613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200113,70级绿装库,5070101,100,5070102,100,5070103,100,5070104,100,5070105,100,5070207,100,5070208,100,5070309,100,5070310,100,5070411,100,5070512,100,5070613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
