"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"6060114","1288","60","350613","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331106","1","331106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","6","","","6060114","6060114","5500","6060114","3600","6060114","900","","","","","6060114","900","6060114","900","6060114","900","6060114","900","6060114","900"
"6060115","1288","60","350614","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331106","1","331106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","6","","","6060115","6060115","5500","6060115","3600","6060115","900","","","","","6060115","900","6060115","900","6060115","900","6060115","900","6060115","900"
"6060116","1288","60","350615","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331106","1","331106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","6","","","6060116","6060116","5500","6060116","3600","6060116","900","","","","","6060116","900","6060116","900","6060116","900","6060116","900","6060116","900"
"6060117","1288","60","350616","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331106","1","331106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","6","","","6060117","6060117","5500","6060117","3600","6060117","900","","","","","6060117","900","6060117","900","6060117","900","6060117","900","6060117","900"
"6060220","312","60","350617","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331136","1","331136","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","6","","","6060220","6060220","5500","6060220","3600","6060220","900","","","","","6060220","900","6060220","900","6060220","900","6060220","900","6060220","900"
"6060221","568","60","350618","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331136","1","331136","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","6","","","6060221","6060221","5500","6060221","3600","6060221","900","","","","","6060221","900","6060221","900","6060221","900","6060221","900","6060221","900"
"6060322","1640","60","350619","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331136","1","331136","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","6","","","6060322","6060322","5500","6060322","3600","6060322","900","","","","","6060322","900","6060322","900","6060322","900","6060322","900","6060322","900"
"6060323","1384","60","350620","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331136","1","331136","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","6","","","6060323","6060323","5500","6060323","3600","6060323","900","","","","","6060323","900","6060323","900","6060323","900","6060323","900","6060323","900"
"6060424","40","60","350621","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331166","1","331166","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","6","","","6060424","6060424","5500","6060424","3600","6060424","900","","","","","6060424","900","6060424","900","6060424","900","6060424","900","6060424","900"
"6060525","72","60","350622","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331166","1","331166","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","6","","","6060525","6060525","5500","6060525","3600","6060525","900","","","","","6060525","900","6060525","900","6060525","900","6060525","900","6060525","900"
"6060626","88","60","350623","1","341106","1","341106","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331166","1","331166","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","6","","","6060626","6060626","5500","6060626","3600","6060626","900","","","","","6060626","900","6060626","900","6060626","900","6060626","900","6060626","900"
"6070101","1288","70","350700","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070101","6070101","5500","6070101","3600","6070101","900","","","","","6070101","900","6070101","900","6070101","900","6070101","900","6070101","900"
"6070102","3080","70","350701","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070102","6070102","5500","6070102","3600","6070102","900","","","","","6070102","900","6070102","900","6070102","900","6070102","900","6070102","900"
"6070103","4360","70","350702","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070103","6070103","5500","6070103","3600","6070103","900","","","","","6070103","900","6070103","900","6070103","900","6070103","900","6070103","900"
"6070104","4104","70","350703","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070104","6070104","5500","6070104","3600","6070104","900","","","","","6070104","900","6070104","900","6070104","900","6070104","900","6070104","900"
"6070105","4360","70","350704","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070105","6070105","5500","6070105","3600","6070105","900","","","","","6070105","900","6070105","900","6070105","900","6070105","900","6070105","900"
"6070106","2824","70","350705","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070106","6070106","5500","6070106","3600","6070106","900","","","","","6070106","900","6070106","900","6070106","900","6070106","900","6070106","900"
"6070107","1288","70","350706","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070107","6070107","5500","6070107","3600","6070107","900","","","","","6070107","900","6070107","900","6070107","900","6070107","900","6070107","900"
"6070108","1288","70","350707","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070108","6070108","5500","6070108","3600","6070108","900","","","","","6070108","900","6070108","900","6070108","900","6070108","900","6070108","900"
"6070109","1288","70","350708","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070109","6070109","5500","6070109","3600","6070109","900","","","","","6070109","900","6070109","900","6070109","900","6070109","900","6070109","900"
"6070110","1288","70","350709","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070110","6070110","5500","6070110","3600","6070110","900","","","","","6070110","900","6070110","900","6070110","900","6070110","900","6070110","900"
"6070111","1288","70","350710","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070111","6070111","5500","6070111","3600","6070111","900","","","","","6070111","900","6070111","900","6070111","900","6070111","900","6070111","900"
"6070112","1288","70","350711","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070112","6070112","5500","6070112","3600","6070112","900","","","","","6070112","900","6070112","900","6070112","900","6070112","900","6070112","900"
"6070113","1288","70","350712","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070113","6070113","5500","6070113","3600","6070113","900","","","","","6070113","900","6070113","900","6070113","900","6070113","900","6070113","900"
"6070114","1288","70","350713","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070114","6070114","5500","6070114","3600","6070114","900","","","","","6070114","900","6070114","900","6070114","900","6070114","900","6070114","900"
"6070115","1288","70","350714","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070115","6070115","5500","6070115","3600","6070115","900","","","","","6070115","900","6070115","900","6070115","900","6070115","900","6070115","900"
"6070116","1288","70","350715","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070116","6070116","5500","6070116","3600","6070116","900","","","","","6070116","900","6070116","900","6070116","900","6070116","900","6070116","900"
"6070117","1288","70","350716","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331107","1","331107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","8","","","6070117","6070117","5500","6070117","3600","6070117","900","","","","","6070117","900","6070117","900","6070117","900","6070117","900","6070117","900"
"6070220","312","70","350717","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331137","1","331137","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","8","","","6070220","6070220","5500","6070220","3600","6070220","900","","","","","6070220","900","6070220","900","6070220","900","6070220","900","6070220","900"
"6070221","568","70","350718","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331137","1","331137","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","8","","","6070221","6070221","5500","6070221","3600","6070221","900","","","","","6070221","900","6070221","900","6070221","900","6070221","900","6070221","900"
"6070322","1640","70","350719","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331137","1","331137","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","8","","","6070322","6070322","5500","6070322","3600","6070322","900","","","","","6070322","900","6070322","900","6070322","900","6070322","900","6070322","900"
"6070323","1384","70","350720","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331137","1","331137","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","8","","","6070323","6070323","5500","6070323","3600","6070323","900","","","","","6070323","900","6070323","900","6070323","900","6070323","900","6070323","900"
"6070424","40","70","350721","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331167","1","331167","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","8","","","6070424","6070424","5500","6070424","3600","6070424","900","","","","","6070424","900","6070424","900","6070424","900","6070424","900","6070424","900"
"6070525","72","70","350722","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331167","1","331167","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","8","","","6070525","6070525","5500","6070525","3600","6070525","900","","","","","6070525","900","6070525","900","6070525","900","6070525","900","6070525","900"
"6070626","88","70","350723","1","341107","1","341107","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331167","1","331167","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","8","","","6070626","6070626","5500","6070626","3600","6070626","900","","","","","6070626","900","6070626","900","6070626","900","6070626","900","6070626","900"
"6080101","1288","80","350800","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080101","6080101","5500","6080101","3600","6080101","900","","","","","6080101","900","6080101","900","6080101","900","6080101","900","6080101","900"
"6080102","3080","80","350801","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080102","6080102","5500","6080102","3600","6080102","900","","","","","6080102","900","6080102","900","6080102","900","6080102","900","6080102","900"
"6080103","4360","80","350802","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080103","6080103","5500","6080103","3600","6080103","900","","","","","6080103","900","6080103","900","6080103","900","6080103","900","6080103","900"
"6080104","4104","80","350803","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080104","6080104","5500","6080104","3600","6080104","900","","","","","6080104","900","6080104","900","6080104","900","6080104","900","6080104","900"
"6080105","4360","80","350804","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080105","6080105","5500","6080105","3600","6080105","900","","","","","6080105","900","6080105","900","6080105","900","6080105","900","6080105","900"
"6080106","2824","80","350805","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080106","6080106","5500","6080106","3600","6080106","900","","","","","6080106","900","6080106","900","6080106","900","6080106","900","6080106","900"
"6080107","1288","80","350806","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080107","6080107","5500","6080107","3600","6080107","900","","","","","6080107","900","6080107","900","6080107","900","6080107","900","6080107","900"
"6080108","1288","80","350807","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080108","6080108","5500","6080108","3600","6080108","900","","","","","6080108","900","6080108","900","6080108","900","6080108","900","6080108","900"
"6080109","1288","80","350808","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080109","6080109","5500","6080109","3600","6080109","900","","","","","6080109","900","6080109","900","6080109","900","6080109","900","6080109","900"
"6080110","1288","80","350809","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080110","6080110","5500","6080110","3600","6080110","900","","","","","6080110","900","6080110","900","6080110","900","6080110","900","6080110","900"
"6080111","1288","80","350810","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080111","6080111","5500","6080111","3600","6080111","900","","","","","6080111","900","6080111","900","6080111","900","6080111","900","6080111","900"
"6080112","1288","80","350811","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080112","6080112","5500","6080112","3600","6080112","900","","","","","6080112","900","6080112","900","6080112","900","6080112","900","6080112","900"
"6080113","1288","80","350812","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080113","6080113","5500","6080113","3600","6080113","900","","","","","6080113","900","6080113","900","6080113","900","6080113","900","6080113","900"
"6080114","1288","80","350813","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080114","6080114","5500","6080114","3600","6080114","900","","","","","6080114","900","6080114","900","6080114","900","6080114","900","6080114","900"
"6080115","1288","80","350814","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080115","6080115","5500","6080115","3600","6080115","900","","","","","6080115","900","6080115","900","6080115","900","6080115","900","6080115","900"
"6080116","1288","80","350815","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080116","6080116","5500","6080116","3600","6080116","900","","","","","6080116","900","6080116","900","6080116","900","6080116","900","6080116","900"
"6080117","1288","80","350816","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331108","1","331108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","25","","","6080117","6080117","5500","6080117","3600","6080117","900","","","","","6080117","900","6080117","900","6080117","900","6080117","900","6080117","900"
"6080220","312","80","350817","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331138","1","331138","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","25","","","6080220","6080220","5500","6080220","3600","6080220","900","","","","","6080220","900","6080220","900","6080220","900","6080220","900","6080220","900"
"6080221","568","80","350818","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331138","1","331138","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","25","","","6080221","6080221","5500","6080221","3600","6080221","900","","","","","6080221","900","6080221","900","6080221","900","6080221","900","6080221","900"
"6080322","1640","80","350819","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331138","1","331138","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","25","","","6080322","6080322","5500","6080322","3600","6080322","900","","","","","6080322","900","6080322","900","6080322","900","6080322","900","6080322","900"
"6080323","1384","80","350820","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331138","1","331138","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","25","","","6080323","6080323","5500","6080323","3600","6080323","900","","","","","6080323","900","6080323","900","6080323","900","6080323","900","6080323","900"
"6080424","40","80","350821","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331168","1","331168","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","25","","","6080424","6080424","5500","6080424","3600","6080424","900","","","","","6080424","900","6080424","900","6080424","900","6080424","900","6080424","900"
"6080525","72","80","350822","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331168","1","331168","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","25","","","6080525","6080525","5500","6080525","3600","6080525","900","","","","","6080525","900","6080525","900","6080525","900","6080525","900","6080525","900"
"6080626","88","80","350823","1","341108","1","341108","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331168","1","331168","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","25","","","6080626","6080626","5500","6080626","3600","6080626","900","","","","","6080626","900","6080626","900","6080626","900","6080626","900","6080626","900"
"6090101","1288","90","350900","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090101","6090101","5500","6090101","3600","6090101","900","","","","","6090101","900","6090101","900","6090101","900","6090101","900","6090101","900"
"6090102","3080","90","350901","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090102","6090102","5500","6090102","3600","6090102","900","","","","","6090102","900","6090102","900","6090102","900","6090102","900","6090102","900"
"6090103","4360","90","350902","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090103","6090103","5500","6090103","3600","6090103","900","","","","","6090103","900","6090103","900","6090103","900","6090103","900","6090103","900"
"6090104","4104","90","350903","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090104","6090104","5500","6090104","3600","6090104","900","","","","","6090104","900","6090104","900","6090104","900","6090104","900","6090104","900"
"6090105","4360","90","350904","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090105","6090105","5500","6090105","3600","6090105","900","","","","","6090105","900","6090105","900","6090105","900","6090105","900","6090105","900"
"6090106","2824","90","350905","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090106","6090106","5500","6090106","3600","6090106","900","","","","","6090106","900","6090106","900","6090106","900","6090106","900","6090106","900"
"6090107","1288","90","350906","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090107","6090107","5500","6090107","3600","6090107","900","","","","","6090107","900","6090107","900","6090107","900","6090107","900","6090107","900"
"6090108","1288","90","350907","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090108","6090108","5500","6090108","3600","6090108","900","","","","","6090108","900","6090108","900","6090108","900","6090108","900","6090108","900"
"6090109","1288","90","350908","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090109","6090109","5500","6090109","3600","6090109","900","","","","","6090109","900","6090109","900","6090109","900","6090109","900","6090109","900"
"6090110","1288","90","350909","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090110","6090110","5500","6090110","3600","6090110","900","","","","","6090110","900","6090110","900","6090110","900","6090110","900","6090110","900"
"6090111","1288","90","350910","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090111","6090111","5500","6090111","3600","6090111","900","","","","","6090111","900","6090111","900","6090111","900","6090111","900","6090111","900"
"6090112","1288","90","350911","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090112","6090112","5500","6090112","3600","6090112","900","","","","","6090112","900","6090112","900","6090112","900","6090112","900","6090112","900"
"6090113","1288","90","350912","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090113","6090113","5500","6090113","3600","6090113","900","","","","","6090113","900","6090113","900","6090113","900","6090113","900","6090113","900"
"6090114","1288","90","350913","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090114","6090114","5500","6090114","3600","6090114","900","","","","","6090114","900","6090114","900","6090114","900","6090114","900","6090114","900"
"6090115","1288","90","350914","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090115","6090115","5500","6090115","3600","6090115","900","","","","","6090115","900","6090115","900","6090115","900","6090115","900","6090115","900"
"6090116","1288","90","350915","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090116","6090116","5500","6090116","3600","6090116","900","","","","","6090116","900","6090116","900","6090116","900","6090116","900","6090116","900"
"6090117","1288","90","350916","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331109","1","331109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","45","","","6090117","6090117","5500","6090117","3600","6090117","900","","","","","6090117","900","6090117","900","6090117","900","6090117","900","6090117","900"
"6090220","312","90","350917","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331139","1","331139","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","45","","","6090220","6090220","5500","6090220","3600","6090220","900","","","","","6090220","900","6090220","900","6090220","900","6090220","900","6090220","900"
"6090221","568","90","350918","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331139","1","331139","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","45","","","6090221","6090221","5500","6090221","3600","6090221","900","","","","","6090221","900","6090221","900","6090221","900","6090221","900","6090221","900"
"6090322","1640","90","350919","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331139","1","331139","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","45","","","6090322","6090322","5500","6090322","3600","6090322","900","","","","","6090322","900","6090322","900","6090322","900","6090322","900","6090322","900"
"6090323","1384","90","350920","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331139","1","331139","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","45","","","6090323","6090323","5500","6090323","3600","6090323","900","","","","","6090323","900","6090323","900","6090323","900","6090323","900","6090323","900"
"6090424","40","90","350921","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331169","1","331169","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","45","","","6090424","6090424","5500","6090424","3600","6090424","900","","","","","6090424","900","6090424","900","6090424","900","6090424","900","6090424","900"
"6090525","72","90","350922","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331169","1","331169","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","45","","","6090525","6090525","5500","6090525","3600","6090525","900","","","","","6090525","900","6090525","900","6090525","900","6090525","900","6090525","900"
"6090626","88","90","350923","1","341109","1","341109","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331169","1","331169","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40011","45","","","6090626","6090626","5500","6090626","3600","6090626","900","","","","","6090626","900","6090626","900","6090626","900","6090626","900","6090626","900"
"6100101","1288","100","351000","1","341110","1","341110","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331110","1","331110","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40008","60","","","6100101","6100101","5500","6100101","3600","6100101","900","","","","","6100101","900","6100101","900","6100101","900","6100101","900","6100101","900"
