"技能id","技能名","技能定位","技能类型","图标编号","消耗1属性编号","消耗系数a1","消耗系数b1","显示消耗1","消耗2属性编号","消耗系数a2","消耗系数b2","显示消耗2","目标类型","战斗内外使用","魔法入口","技能剧情描述","技能描述","排序","技能描述1","技能描述2","技能描述3","技能描述4","技能描述5","技能描述6","技能描述7","技能升级描述","技能升级描述1","技能升级描述2","技能升级描述3","技能升级描述4","技能升级描述5","技能升级描述6","技能升级描述7","技能等级1","技能等级2","技能等级3","技能等级4","技能等级5","技能等级6","技能等级7"
"140012","阎罗","阎罗","铜墙铁壁：增加人物物理防御","2419","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","阎罗","阎罗","阎罗","阎罗","阎罗","阎罗","阎罗","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140013","入骨","入骨","千里神行：增加人物速度","2420","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","入骨","入骨","入骨","入骨","入骨","入骨","入骨","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140014","索魂","索魂","坚若磐石：增加人物法术防御","2421","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","索魂","索魂","索魂","索魂","索魂","索魂","索魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140015","黄泉","黄泉","风驰霆击：增加人物物理暴击","2422","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","黄泉","黄泉","黄泉","黄泉","黄泉","黄泉","黄泉","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140016","幽光","幽光","救死扶伤：增加人物治疗强度","2423","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","幽光","幽光","幽光","幽光","幽光","幽光","幽光","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140017","魂飞","魂飞","道高魔重：增加人物法术抗暴","2424","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","魂飞","魂飞","魂飞","魂飞","魂飞","魂飞","魂飞","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140019","回旋","回旋","气血方刚：增加人物气血","2425","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","回旋","回旋","回旋","回旋","回旋","回旋","回旋","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140020","聚魂","聚魂","铜墙铁壁：增加人物物理防御","2426","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","聚魂","聚魂","聚魂","聚魂","聚魂","聚魂","聚魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140021","伤魂","伤魂","道高魔重：增加人物法术抗暴","2427","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","伤魂","伤魂","伤魂","伤魂","伤魂","伤魂","伤魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140022","幽冥","幽冥","风驱电击：增加人物法术暴击","2428","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","幽冥","幽冥","幽冥","幽冥","幽冥","幽冥","幽冥","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140023","泉爆","泉爆","道高魔重：增加人物法术抗暴","2429","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","泉爆","泉爆","泉爆","泉爆","泉爆","泉爆","泉爆","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140024","汲魂","汲魂","杯弓蛇影：增加人物物理抗暴","2430","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","汲魂","汲魂","汲魂","汲魂","汲魂","汲魂","汲魂","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140025","魍魉追魂","魍魉追魂","换斗移星：增加人物法术伤害","2431","-1","0","0","100点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","魍魉追魂","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","【冷却】4回合","1","2","3","4","5","6","7"
"140026","夜行","夜行","千里神行：增加人物速度","2432","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","夜行","夜行","夜行","夜行","夜行","夜行","夜行","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140027","拘魄","拘魄","气血方刚：增加人物气血","2433","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","拘魄","拘魄","拘魄","拘魄","拘魄","拘魄","拘魄","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140028","瘴幕","瘴幕","铜墙铁壁：增加人物物理防御","2434","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","瘴幕","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140029","冥视","冥视","救死扶伤：增加人物治疗强度","2435","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","冥视","冥视","冥视","冥视","冥视","冥视","冥视","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140030","鬼火","鬼火","杯弓蛇影：增加人物物理抗暴","2436","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","鬼火","鬼火","鬼火","鬼火","鬼火","鬼火","鬼火","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140031","扼命","扼命","气血方刚：增加人物气血","2437","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","扼命","扼命","扼命","扼命","扼命","扼命","扼命","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"140032","勾魂阎罗","勾魂阎罗","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","勾魂阎罗","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150000","九龙诀","九龙诀","九龙出水鬼神惊，扶摇直上云霄里。","49","-1","0","0","无消耗","-1","0","0","","1","1","","龙宫基础技能。","龙宫基础技能。","1","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","龙宫基础技能。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","0-120级 永久增加角色的法术伤害。","1","200","200","200","200","200","200"
"150001","龙卷雨击","龙卷雨击","云从龙，风从雨，龙举四海之力，毁天灭地。","50","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","法术攻击5个目标","法术攻击5个目标","2","法术攻击5个目标","法术攻击5个目标","法术攻击5个目标","法术攻击5个目标","法术攻击5个目标","法术攻击5个目标","法术攻击5个目标","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","0-49级 增加使用时的伤害，50级可攻击6个目标；50-69级 增加使用时的伤害，70级可攻击7个目标；70-89级","1","60","70","90","200","200","200"
"150002","龙腾","龙腾","龙腾四海，浩大声势让世人惊叹。","51","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","3","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","法术攻击1个目标，附加2层减少目标受到治疗的效果，每层减少10%，最多叠加3层。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","0-120级 增加使用时的伤害。","1","200","200","200","200","200","200"
"150003","逆鳞","逆鳞","龙喉下有逆鳞，触之必怒，怒则天地变色。","52","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","1","1","","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","4","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","增加自身法术连击概率和法术伤害结果，持续6回合。","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","0-120级 提升技能效果","1","60","200","200","200","200","200"
"150004","龙吟","龙吟","神龙长吟，鬼神心惊。龙族绝技，声势骇人。","53","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","5","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","法术攻击敌方全体，消耗目标的魔法。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","0-120级 增加使用时的伤害，永久增加角色抵抗封印。","1","200","200","200","200","200","200"
"150005","清心","清心","召唤风雨的神奇力量，清除一切无名毒咒。","54","100","2.4","10","消耗：$parameter1$魔法","-1","0","0","","4127","1","","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","6","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","净化1个友方单位的异常状态，若净化成功，3回合内的下一次法术攻击必定连击","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","0-120级 永久增加角色的法术防御","1","200","200","200","200","200","200"
"150006","龙附","龙附","龙，四灵之首，有着神奇而骇人的力量。","55","-1","0.667","6","消耗：$parameter1$活力","-1","0","0","","1","1","","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","7","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","制造一张临时符，给武器增加物理伤害。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","0-120级 增强临时符附加物理伤害的效果，永久增加角色的速度。","1","200","200","200","200","200","200"
"150007","魔浪滔天","魔浪滔天","龙宫门派绝技，召唤上古魔龙化身，掀起滔天魔浪，气海空虚之人无法抵抗这声势浩大的一击。","56","120","0","120","消耗：$parameter1$愤怒","-1","0","0","","480","1","","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","8","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","对7个敌方单位造成法术伤害，目标已损失魔法值越多，伤害越高。最高为龙卷雨击伤害的200％。使用后休息一回合。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","2级 最高造成230%伤害； 3级 最高造成250%伤害。","1","2","3","4","5","6","7"
"150008","龙宫被动1","龙宫被动1","龙宫被动1","49","-1","0","0","无消耗","-1","0","0","","1","0","","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","30","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","龙宫被动1：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
"150009","龙宫被动2","龙宫被动2","龙宫被动2","49","-1","0","0","无消耗","-1","0","0","","1","0","","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","31","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","龙宫被动2：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
"150010","龙宫被动3","龙宫被动3","龙宫被动3","49","-1","0","0","无消耗","-1","0","0","","1","0","","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","32","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","龙宫被动3：被动技能，满足条件时自动生效。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","0-120级 永久提升该被动技能效果。","1","200","200","200","200","200","200"
"150012","波涛","波涛","铜墙铁壁：增加人物物理防御","2438","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","9","波涛","波涛","波涛","波涛","波涛","波涛","波涛","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150013","叱咤","叱咤","千里神行：增加人物速度","2439","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","10","叱咤","叱咤","叱咤","叱咤","叱咤","叱咤","叱咤","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150014","逐浪","逐浪","坚若磐石：增加人物法术防御","2440","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","11","逐浪","逐浪","逐浪","逐浪","逐浪","逐浪","逐浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150015","龙慑","龙慑","风驰霆击：增加人物物理暴击","2441","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","12","龙慑","龙慑","龙慑","龙慑","龙慑","龙慑","龙慑","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150016","骇浪","骇浪","救死扶伤：增加人物治疗强度","2442","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","13","骇浪","骇浪","骇浪","骇浪","骇浪","骇浪","骇浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150017","汹涌","汹涌","道高魔重：增加人物法术抗暴","2443","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","14","汹涌","汹涌","汹涌","汹涌","汹涌","汹涌","汹涌","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150018","额外能力","额外能力","干将莫邪：增加人物物理伤害","2379","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","15","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","额外能力","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150019","破浪","破浪","气血方刚：增加人物气血","2444","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","16","破浪","破浪","破浪","破浪","破浪","破浪","破浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150020","踏涛","踏涛","铜墙铁壁：增加人物物理防御","2445","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","17","踏涛","踏涛","踏涛","踏涛","踏涛","踏涛","踏涛","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150021","龙珠","龙珠","道高魔重：增加人物法术抗暴","2446","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","18","龙珠","龙珠","龙珠","龙珠","龙珠","龙珠","龙珠","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150022","傲翔","傲翔","风驱电击：增加人物法术暴击","2447","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","19","傲翔","傲翔","傲翔","傲翔","傲翔","傲翔","傲翔","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150023","月光","月光","道高魔重：增加人物法术抗暴","2448","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","20","月光","月光","月光","月光","月光","月光","月光","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150024","龙魄","龙魄","杯弓蛇影：增加人物物理抗暴","2449","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","21","龙魄","龙魄","龙魄","龙魄","龙魄","龙魄","龙魄","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150025","亢龙归海","亢龙归海","换斗移星：增加人物法术伤害","2450","-1","0","0","200点魔法","-1","0","0","","1","1","","奇经八脉","奇经八脉","22","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","亢龙归海","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","6回合，战斗开始时具有3回合冷却","1","2","3","4","5","6","7"
"150026","狂浪","狂浪","千里神行：增加人物速度","2451","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","23","狂浪","狂浪","狂浪","狂浪","狂浪","狂浪","狂浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150027","龙哮","龙哮","气血方刚：增加人物气血","2452","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","24","龙哮","龙哮","龙哮","龙哮","龙哮","龙哮","龙哮","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150028","龙息","龙息","铜墙铁壁：增加人物物理防御","2453","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","25","龙息","龙息","龙息","龙息","龙息","龙息","龙息","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150029","飞龙","飞龙","救死扶伤：增加人物治疗强度","2454","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","26","飞龙","飞龙","飞龙","飞龙","飞龙","飞龙","飞龙","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150030","戏珠","戏珠","杯弓蛇影：增加人物物理抗暴","2455","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","27","戏珠","戏珠","戏珠","戏珠","戏珠","戏珠","戏珠","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150031","斩浪","斩浪","气血方刚：增加人物气血","2456","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","28","斩浪","斩浪","斩浪","斩浪","斩浪","斩浪","斩浪","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"150032","海中蛟虬","海中蛟虬","救死扶伤：增加人物治疗强度，挂金封印：增加人物封印命中","2380","-1","0","0","无消耗","-1","0","0","","1","1","","奇经八脉","奇经八脉","29","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","海中蛟虬","无","无","无","无","无","无","无","无","1","2","3","4","5","6","7"
"160000","金刚经","金刚经","菩萨低眉，金刚怒目，除魔卫道。","57","-1","0","0","无消耗","-1","0","0","","1","1","","普陀山基础技能。","普陀山基础技能。","1","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","普陀山基础技能。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","0-120级 永久增加角色的气血。","1","200","200","200","200","200","200"
"160001","五行咒","五行咒","金木水火土，循环相生，往复相克。","58","100","1.4","10","消耗：$parameter1$魔法","-1","0","0","","480","1","","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","2","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","法术攻击3个敌方目标。玩家施法对首目标造成额外伤害。","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","0-59级 增加使用时的伤害，60级可攻击4个目标；60-69级 增加使用时的伤害，70级可攻击5个目标；70-89级","1","60","70","90","200","200","200"
