id,下一步,备注,触发任务id,战斗ID触发,回合数触发,触发功能ID,队伍列表信息,是否判定组队状态,触发等级,道具id,条件道具ID,技能id,等级上限,是否锁屏,是否永久锁屏,按钮名称,响应按钮,按钮形状,相应战斗点位,箭头内容,界面位置,文字位置,图片名称,解锁特效,是否播放提醒动画,引导特效类别,引导特效,辅助引导特效,引导特效缩放比例,出现类型,是否为穿装备
33167,33168,商会购买指引,0,,,,,,0,0,0,0,100,1,0,npcshopshanghui_mtg__auto_closebutton__,npcshopshanghui_mtg__auto_closebutton__,1,,"<T t=""点击关闭商会"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33168,0,商会购买指引,0,,,,,,0,0,0,0,100,1,0,workshopdznew__auto_closebutton__,workshopdznew__auto_closebutton__,1,,"<T t=""点击关闭打造"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33170,33171,仓库引导,0,,,,,,0,0,0,0,100,1,0,1Lable/button1,1Lable/button1,1,,"<T t=""打开仓库可储存物品"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33171,33172,仓库引导,0,,,,,,0,0,0,0,100,1,0,Depot/itemscrollpane/itemtable_ItemCell_0,Depot/itemscrollpane/itemtable_ItemCell_0,1,,"<T t=""点击背包内物品"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33172,0,仓库引导,0,,,,,,0,0,0,0,100,0,0,commontipdlgitemtips_mtg/btnshiyong1,commontipdlgitemtips_mtg/btnshiyong1,1,,"<T t=""物品可存入仓库"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33180,33181,光环引导,0,,,,,,0,0,0,0,100,1,0,renwulist_mtg/title/team,renwulist_mtg/title/team,1,,"<T t=""点击组队按钮"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33181,33182,光环引导,0,,,,,,0,0,0,0,100,1,0,teamdialognew/createView/zhenxing,teamdialognew/createView/zhenxing,1,,"<T t=""点击阵法"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33182,33183,光环引导,0,,,,,,0,0,0,0,100,0,1,duiwuzhenfa/zhenfashuxuexi/xuexianniu,duiwuzhenfa/zhenfashuxuexi/xuexianniu,1,,"<T t=""点击学习"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33183,0,光环引导,0,,,,,,0,0,0,0,100,0,1,duiwuzhenfa/zhenfashuxuexi/switch,duiwuzhenfa/zhenfashuxuexi/switch,1,,"<T t=""点击此处开启阵法"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33190,33191,洗宠引导,0,,,28,,,0,0,0,0,100,1,0,UserPeticon/PetIcon,UserPeticon/PetIcon,1,,"<T t=""点击宠物"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33191,33192,洗宠引导,0,,,,,,0,0,0,0,100,1,0,0,0,1,,"<T t=""选择最近获得的宠物"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33192,33193,洗宠引导,0,,,,,,0,0,0,0,100,1,0,4Lable/button1,4Lable/button1,1,,"<T t=""选择炼宠"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33193,33194,洗宠引导,0,,,,,,0,0,0,0,100,1,0,petpropertyxilian_mtg/xilianBtn,petpropertyxilian_mtg/xilianBtn,1,,"<T t=""选择洗炼"" c=""ffefd9b8""></T>",5,8,,0,0,1,11066,11068,1,1,0
33194,33195,洗宠引导,0,,,,,,0,0,0,0,100,1,0,petpropertyxilian_mtg/btnxiliananniu,petpropertyxilian_mtg/btnxiliananniu,1,,"<T t=""点击洗宠"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33195,0,洗宠引导,0,,,,,,0,0,0,0,100,1,0,messageboxsimple/OK,messageboxsimple/OK,1,,"<T t=""点击确定"" c=""ffefd9b8""></T>",0,7,,0,0,1,11066,11068,1,1,0
33200,33201,帮派技能,0,,,29,,,0,0,0,0,100,1,0,MainControlDlg/back/skill,MainControlDlg/back/skill,1,,"<T t=""点击技能按钮"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33201,33202,帮派技能,0,,,,,,0,0,0,0,100,0,0,skillLable/button2,skillLable/button2,1,,"<T t=""选择修炼技能"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33202,0,帮派技能,0,,,,,,0,0,0,0,100,0,0,xiulianskill/left/1,xiulianskill/left/1,1,,"<T t=""了解人物修炼技能"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33210,33211,帮派技能,0,,,30,,,0,0,0,0,100,1,0,MainControlDlg/back/skill,MainControlDlg/back/skill,1,,"<T t=""点击技能按钮"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33211,33212,帮派技能,0,,,,,,0,0,0,0,100,0,0,skillLable/button2,skillLable/button2,1,,"<T t=""选择修炼技能"" c=""ffFFFF00""></T>",0,7,,0,0,1,11066,11068,1,1,0
33212,0,帮派技能,0,,,,,,0,0,0,0,100,0,0,xiulianskill/left/2,xiulianskill/left/2,1,,"<T t=""了解宠物修炼技能"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33100,33101,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,chatoutsimple,chatoutsimple,1,,"<T t=""打开聊天界面"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33101,33102,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,ChatOutput/ChatOutputBox/Back/title/chanel5,ChatOutput/ChatOutputBox/Back/title/chanel5,1,,"<T t=""选择帮派频道"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33102,33103,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,ChatInputDlgBackGround/EmoteBtn,ChatInputDlgBackGround/EmoteBtn,1,,"<T t=""选择聊天表情界面"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33103,33104,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,insetdialog/GroupButton4,insetdialog/GroupButton4,1,,"<T t=""点击常用语"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33104,33105,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,0,0,1,,"<T t=""选择要发送的话"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33105,0,帮派频道聊天引导,0,,,,,,0,0,0,0,100,1,0,ChatInputDlgBackGround/SendBtn,ChatInputDlgBackGround/SendBtn,1,,"<T t=""点击发送"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
33230,0,多人组队进入战斗引导聊天,0,,,,,,0,0,0,0,100,1,0,voiceteam2,voiceteam2,1,,"<T t=""长按和队友打招呼吧"" c=""ffFFFF00""></T>",5,8,,0,0,1,11066,11068,1,1,0
