编号,礼包道具ID,角色限制,职业限制,性别限制,打开礼包时的客户端提示,奖励表ID,银币奖励,符石奖励,VIP经验,货币类型,货币值,道具1ID,道具2ID,道具3ID,道具4ID,道具5ID,道具6ID,道具7ID,道具8ID,道具9ID,道具10ID,道具11ID,道具12ID,道具13ID,道具14ID,道具15ID,道具16ID,道具17ID,道具18ID,道具19ID,道具20ID,道具21ID,道具22ID,道具23ID,道具24ID,道具25ID,道具26ID,道具27ID,道具28ID,道具29ID,道具30ID,道具31ID,道具32ID,道具33ID,道具34ID,道具35ID,道具1数量,道具2数量,道具3数量,道具4数量,道具5数量,道具6数量,道具7数量,道具8数量,道具9数量,道具10数量,道具11数量,道具12数量,道具13数量,道具14数量,道具15数量,道具16数量,道具17数量,道具18数量,道具19数量,道具20数量,道具21数量,道具22数量,道具23数量,道具24数量,道具25数量,道具26数量,道具27数量,道具28数量,道具29数量,道具30数量,道具31数量,道具32数量,道具33数量,道具34数量,道具35数量,道具1绑定,道具2绑定,道具3绑定,道具4绑定,道具5绑定,道具6绑定,道具7绑定,道具8绑定,道具9绑定,道具10绑定,道具11绑定,道具12绑定,道具13绑定,道具14绑定,道具15绑定,道具16绑定,道具17绑定,道具18绑定,道具19绑定,道具20绑定,道具21绑定,道具22绑定,道具23绑定,道具24绑定,道具25绑定,道具26绑定,道具27绑定,道具28绑定,道具29绑定,道具30绑定,道具31绑定,道具32绑定,道具33绑定,道具34绑定,道具35绑定
362,334007,2,12,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,334007,2,19,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,334007,3,11,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,334007,3,12,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,334007,3,19,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,334007,4,11,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,334007,4,12,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,334007,4,19,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,334007,5,11,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,334007,5,12,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,334007,5,19,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,334007,6,11,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,334007,6,12,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,334007,6,19,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,334007,7,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,334007,7,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,334007,7,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,334007,8,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,334007,8,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,334007,8,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,334007,9,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,334007,9,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,334007,9,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,334007,10,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,334007,10,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,334007,10,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,334007,11,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,334007,11,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,334007,11,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,334007,12,15,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,334007,12,16,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,334007,12,18,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,334007,13,13,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,334007,13,14,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,334007,13,17,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,334007,14,13,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,334007,14,14,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,334007,14,17,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,334007,15,13,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,334007,15,14,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,334007,15,17,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,334007,16,13,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,334007,16,14,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,334007,16,17,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,334007,17,13,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,334007,17,14,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,334007,17,17,0,0,0,0,0,0,0,0,710064,710065,337942,337943,334008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,334008,1,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,334008,1,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,334008,1,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,334008,2,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,334008,2,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,334008,2,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,334008,3,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,334008,3,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,334008,3,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,334008,4,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,334008,4,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,334008,4,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,334008,5,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,334008,5,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,334008,5,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,334008,6,11,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,334008,6,12,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,334008,6,19,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,334008,7,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,334008,7,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,334008,7,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,334008,8,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,334008,8,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,334008,8,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,334008,9,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,334008,9,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,334008,9,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,334008,10,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,334008,10,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,334008,10,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,334008,11,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,334008,11,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,334008,11,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,334008,12,15,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,334008,12,16,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,334008,12,18,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,334008,13,13,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,334008,13,14,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,334008,13,17,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,334008,14,13,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,334008,14,14,0,0,0,0,0,0,0,0,710066,710067,337942,337943,334009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
