"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"2072074","龙鸣九霄3","gradea>=60","","","","2072073","4","2","","","","","5","1","speed","1","3*gradea","0","510114","1","","curhp_value=-(magicattacka*1.45-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2072075","龙鸣九霄-吸血","","","","525404","2072072","4","3","","","","","0","1","","1","","0","510101","1","","curhp_value=abs(maindamage)*1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2072076","焚焰1","","","","","0","","2","","","","","1","1","","1","3*gradea","0","510114","1","","curhp_value=-(magicattacka*1.2-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))","","","","","525403","0.1","3","","","","","","","","","","","","","","","","","","","","","",""
"2072077","焚焰2","","","","","2072076","4","2","","","","","5","1","speed","1","3*gradea","0","510114","1","","curhp_value=-(magicattacka*1.3-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))","","","","","525403","0.1","3","","","","","","","","","","","","","","","","","","","","","",""
"2072078","焚焰3","gradea>=60","","","","2072077","4","2","","","","","5","1","speed","1","3*gradea","0","510114","1","","curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))","","","","","525403","0.1","3","","","","","","","","","","","","","","","","","","","","","",""
"2072079","焚焰4","gradea>=60","","","","2072078","4","2","","","","","5","1","speed","1","3*gradea","0","510114","1","","curhp_value=-(magicattacka*1.5-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))","","","","","525403","0.1","3","","","","","","","","","","","","","","","","","","","","","",""
"254112","宠物被动技能","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060010","必杀","","","","","0","","","","","","","","","","1","","0","509001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060020","连击","","","","","0","","","","","","","","","","1","","0","509002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060030","强力","","","","","0","","","","","","","","","","1","","0","509003","","","phyattack_value=gradea*0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060040","突进","","","","","0","","","","","","","","","","1","","0","509004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060050","偷袭","","","","","0","","","","","","","","","","1","","0","509005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060060","法术暴击","","","","","0","","","","","","","","","","1","","0","509006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060070","法术连击","","","","","0","","","","","","","","","","1","","0","509007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060080","法术波动","","","","","0","","","","","","","","","","1","","0","509008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060090","魔之心","","","","","0","","","","","","","","","","1","","0","509009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060100","会心","","","","","0","","","","","","","","","","1","","0","509010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060110","冥思","","","","","0","","","","","","","","","","1","","0","509011","","","curmp_value=gradea*0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060120","吸血","","","","","0","","","","","","","","","","1","","0","509012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060130","再生","","","","","0","","","","","","","","","","1","","0","509013","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060140","神佑复生","","","","","0","","","","","","","","","","1","","0","509014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060150","招架","","","","","0","","","","","","","","","","1","","0","509015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060160","反震","","","","","0","","","","","","","","","","1","","0","509016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060170","神迹","","","","","0","","","","","","","","","","1","","0","509017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060180","反击","","","","","0","","","","","","","","","","1","","0","509018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060190","敏捷","","","","","0","","","","","","","","","","1","","0","509019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060200","强壮","","","","","0","","","","","","","","","","1","","0","509020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060210","防御","","","","","0","","","","","","","","","","1","","0","509021","","","defend_value=gradea*0.9;magicrevise_value=-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060220","固法","","","","","0","","","","","","","","","","1","","0","509022","","","magicdef_value=gradea*0.9;physicrevise_value=-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060230","幸运","","","","","0","","","","","","","","","","1","","0","509023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060240","迟钝","","","","","0","","","","","","","","","","1","","0","509024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060250","火属性吸收","","","","","0","","","","","","","","","","1","","0","509025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060260","水属性吸收","","","","","0","","","","","","","","","","1","","0","509026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060270","土属性吸收","","","","","0","","","","","","","","","","1","","0","509027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060280","雷属性吸收","","","","","0","","","","","","","","","","1","","0","509028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060290","鬼魂术","","","","","0","","","","","","","","","","1","","0","509029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060300","驱鬼","","","","","0","","","","","","","","","","1","","0","509030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060310","隐身","","","","","0","","","","","","","","","","1","","0","509031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060320","感知","","","","","0","","","","","","","","","","1","","0","509032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060330","永恒","","","","","0","","","","","","","","","","1","","0","509033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060340","精神集中","","","","","0","","","","","","","","","","1","","0","509034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060350","毒","","","","","0","","","","","","","","","","1","","0","509035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060380","高级必杀","","","","","0","","","","","","","","","","1","","0","509038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060390","高级连击","","","","","0","","","","","","","","","","1","","0","509039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060400","高级强力","","","","","0","","","","","","","","","","1","","0","509040","","","phyattack_percent=0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060410","高级突进","","","","","0","","","","","","","","","","1","","0","509041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060420","高级偷袭","","","","","0","","","","","","","","","","1","","0","509042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060430","高级法术暴击","","","","","0","","","","","","","","","","1","","0","509043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060440","高级法术连击","","","","","0","","","","","","","","","","1","","0","509044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060450","高级法术波动","","","","","0","","","","","","","","","","1","","0","509045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060460","高级魔之心","","","","","0","","","","","","","","","","1","","0","509046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060470","高级会心","","","","","0","","","","","","","","","","1","","0","509047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060480","高级冥思","","","","","0","","","","","","","","","","1","","0","509048","","","curmp_value=gradea*20","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060490","高级吸血","","","","","0","","","","","","","","","","1","","0","509049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060500","高级再生","","","","","0","","","","","","","","","","1","","0","509050","","","curhp_value=gradea*1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060510","高级神佑复生","","","","","0","","","","","","","","","","1","","0","509051","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060520","高级招架","","","","","0","","","","","","","","","","1","","0","509052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060530","高级反震","","","","","0","","","","","","","","","","1","","0","509053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060540","高级神迹","","","","","0","","","","","","","","","","1","","0","509054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060550","高级反击","","","","","0","","","","","","","","","","1","","0","509055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060560","高级敏捷","","","","","0","","","","","","","","","","1","","0","509056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060570","高级强壮","","","","","0","","","","","","","","","","1","","0","509057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060580","高级防御","","","","","0","","","","","","","","","","1","","0","509058","","","defend_percent=0.2;magicrevise_value=-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060590","高级固法","","","","","0","","","","","","","","","","1","","0","509059","","","magicdef_percent=0.2;physicrevise_value=-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060600","高级幸运","","","","","0","","","","","","","","","","1","","0","509060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060610","高级迟钝","","","","","0","","","","","","","","","","1","","0","509061","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060620","高级火属性吸收","","","","","0","","","","","","","","","","1","","0","509062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060630","高级水属性吸收","","","","","0","","","","","","","","","","1","","0","509063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060640","高级土属性吸收","","","","","0","","","","","","","","","","1","","0","509064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060650","高级雷属性吸收","","","","","0","","","","","","","","","","1","","0","509065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060660","高级鬼魂术","","","","","0","","","","","","","","","","1","","0","509066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060670","高级驱鬼","","","","","0","","","","","","","","","","1","","0","509067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060680","高级隐身","","","","","0","","","","","","","","","","1","","0","509068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060690","高级感知","","","","","0","","","","","","","","","","1","","0","509069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060700","高级永恒","","","","","0","","","","","","","","","","1","","0","509070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060710","高级精神集中","","","","","0","","","","","","","","","","1","","0","509071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060720","高级毒","","","","","0","","","","","","","","","","1","","0","509072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060721","咕噜咕噜","","","","","0","","","","","","","","","","1","","0","520000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060722","咕噜咕噜套装","","","","","0","","","","","","","","","","1","","0","520001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060723","吉里吉里","","","","","0","","","","","","","","","","1","","0","520002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060724","吉里吉里套装","","","","","0","","","","","","","","","","1","","0","520003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060725","焚焰","","","","","0","","","","","","","","","","1","","0","520004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060726","聚电","","","","","0","","","","","","","","","","1","","0","520005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060727","筑浪","","","","","0","","1","","","","","0","2","","1","","0","520006","1","5","onmagicrevise_value=0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060728","垒岩","","","","","0","","","","","","","","","","1","","0","520007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060729","嘲讽","","","","","0","","2","","","","","1","1","","1","","0","520008","0.5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060731","嘲讽2","","","","","2060729","4","2","","","","","5","1","speed","1","","0","509147","1","1","operation_type=1;physicrevise_value=-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060732","嘲讽3","gradea>=60","","","","2060731","4","2","","","","","5","1","speed","1","","0","509147","1","1","operation_type=1;physicrevise_value=-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060733","嘲讽归位","","","","","2060729","4","3","","","","","","","","1","","0","509147","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060734","天使降临","","","","","0","","","","","","","","","","1","","0","599308","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060735","霸天护体","","","","","0","","","","","","","","","","1","","0","599309","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060736","镜花水月","","","","","0","","","","","","","","","","1","","0","599310","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060737","超级善恶","","","","","0","","2","","","","","1","1","","1","","0","506108","1","1","","","","","","510113","1","","curhp_value=-(phyattacka*2-defendb+1*gradea)","","","","","510101","-2","","curhp_value=phyattacka*1.25-defendb+1*gradea","","","","","","","","","","","","",""
"2060738","超级壁垒","","","","","0","","2","","","","","1","1","","1","","0","510113","1","1","curhp_value=-(phyattacka*1-defendb+7*gradea)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060739","双生意志","","","","","0","","","","","","","","","","1","","0","599311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060800","熊猫战意","","","","","0","","","","","","","","","","1","","0","599312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060801","狐狐生威","","","","","0","","","","","","","","","","1","","0","599313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060802","死亡之瞳","","","","","0","","","","","","","","","","1","","0","599314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060803","狂暴熊猫","","","","","0","","","","","","","","","","1","","0","599315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060804","狐之风灵","","","","","0","","","","","","","","","","1","","0","599316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060805","虎啸生风","","","","","0","","","","","","","","","","1","","0","599317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060806","虎啸山林","","","","","0","","","","","","","","","","1","","0","599318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060807","虎背熊腰","","","","","0","","","","","","","","","","1","","0","599319","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060808","龙腾虎跃","","","","","0","","","","","","","","","","1","","0","599320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060809","汤圆怒吼","","","","","0","","","","","","","","","","1","","0","599321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060810","火上浇油","","","","","0","","","","","","","","","","1","","0","599322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060811","拳拳到肉","","","","","0","","","","","","","","","","1","","0","599323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060812","枯木逢春","","","","","0","","","","","","","","","","1","","0","599324","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060813","乘胜追击","","","","","0","","","","","","","","","","1","","0","599325","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060814","给你俩叉","","","","","0","","","","","","","","","","1","","0","599326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060815","当头一叉","","","","","0","","","","","","","","","","1","","0","599327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060816","恶魔重生","","","","","0","","","","","","","","","","1","","0","599328","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060817","冰火无常","","","","","0","","2","","","","","1","1","","1","3*skilllevela","0","510118","0.95","1","curhp_value=-(magicattacka*3.5-magicdefb+2*skilllevela)*0.5","","","","","510101","-2","","curhp_value=-(phyattacka*2-defendb+1*gradea)","","","","","","","","","","","","","","","","","","","","",""
"2060818","当头一棒","","","","","0","","2","","","","","1","3","","1","3*skilllevela","0","510118","1","1","curhp_value=-(magicattacka*3.5-magicdefb+2*skilllevela)*0.3","","","","","510101","-2","","curhp_value=-(phyattacka*2-defendb+1*gradea)","","","","","","","","","","","","","","","","","","","","",""
"2060819","真假大圣","","","","","0","","","","","","","","","","1","","0","599343","","","curhp_value=gradea*0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060820","魔由心生","","","","","0","","","","","","","","","","1","","0","599344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060821","战神姿态","","","","","0","","","","","","","","","","1","","0","599345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060822","虎虎生威","","","","","0","","","","","","","","","","1","","0","520009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060823","蛮力","","","","","0","","","","","","","","","","1","","0","520010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060824","隐遁","","","","","0","","","","","","","","","","1","","0","509180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2060825","水无常形","","","","","0","","2","","","","","1","1","","1","3*skilllevela","0","510118","0.6","","curhp_value=-(magicattacka*3.5-magicdefb+2*skilllevela)*0.5","","","","","510101","-2","","curhp_percent=0.01","","","","","","","","","","","","","","","","","","","","",""
"2060826","高级协力","","","","","0","","","","","","","","","","1","","0","509042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254113","宠物内丹子技能","","","","","0","","","","","","","","","","1","","0","501001","1","","phyattack_value=2.5*skilllevela","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080010","迅敏1层","","","","","0","","","","","","","","","","1","","0","780000","","","phyattack_value=gradea*0.16;speed_value=gradea*0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080011","迅敏2层","","","","","0","","","","","","","","","","1","","0","780001","","","phyattack_value=gradea*0.2;speed_value=gradea*0.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080012","迅敏3层","","","","","0","","","","","","","","","","1","","0","780002","","","phyattack_value=gradea*0.24;speed_value=gradea*0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080013","迅敏4层","","","","","0","","","","","","","","","","1","","0","780003","","","phyattack_value=gradea*0.28;speed_value=gradea*0.175","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080014","迅敏5层","","","","","0","","","","","","","","","","1","","0","780004","","","phyattack_value=gradea*0.32;speed_value=gradea*0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080015","狂怒1层","","","","","0","","","","","","","","","","1","","0","780005","","","phycrueldegree_value=gradea*0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080016","狂怒2层","","","","","0","","","","","","","","","","1","","0","780006","","","phycrueldegree_value=gradea*0.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080017","狂怒3层","","","","","0","","","","","","","","","","1","","0","780007","","","phycrueldegree_value=gradea*1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080018","狂怒4层","","","","","0","","","","","","","","","","1","","0","780008","","","phycrueldegree_value=gradea*1.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080019","狂怒5层","","","","","0","","","","","","","","","","1","","0","780009","","","phycrueldegree_value=gradea*1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080020","阴伤1层","","","","","0","","","","","","","","","","1","","0","780010","","","comboratedegree_value=gradea*0.0007","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080021","阴伤2层","","","","","0","","","","","","","","","","1","","0","780011","","","comboratedegree_value=gradea*0.000875","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080022","阴伤3层","","","","","0","","","","","","","","","","1","","0","780012","","","comboratedegree_value=gradea*0.00105","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080023","阴伤4层","","","","","0","","","","","","","","","","1","","0","780013","","","comboratedegree_value=gradea*0.001225","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080024","阴伤5层","","","","","0","","","","","","","","","","1","","0","780014","","","comboratedegree_value=gradea*0.0014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080025","连环1层","","","","","0","","","","","","","","","","1","","0","780015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080026","连环2层","","","","","0","","","","","","","","","","1","","0","780016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080027","连环3层","","","","","0","","","","","","","","","","1","","0","780017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080028","连环4层","","","","","0","","","","","","","","","","1","","0","780018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080029","连环5层","","","","","0","","","","","","","","","","1","","0","780019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080030","奇袭1层","","","","","0","","","","","","","","","","1","","0","780020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080031","奇袭2层","","","","","0","","","","","","","","","","1","","0","780021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080032","奇袭3层","","","","","0","","","","","","","","","","1","","0","780022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080033","奇袭4层","","","","","0","","","","","","","","","","1","","0","780023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080034","奇袭5层","","","","","0","","","","","","","","","","1","","0","780024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080035","静岳1层","","","","","0","","","","","","","","","","1","","0","780025","","","magicattack_value=gradea*0.08;maxhp_value=gradea*0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080036","静岳2层","","","","","0","","","","","","","","","","1","","0","780026","","","magicattack_value=gradea*0.1;maxhp_value=gradea*1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080037","静岳3层","","","","","0","","","","","","","","","","1","","0","780027","","","magicattack_value=gradea*0.12;maxhp_value=gradea*1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080038","静岳4层","","","","","0","","","","","","","","","","1","","0","780028","","","magicattack_value=gradea*0.14;maxhp_value=gradea*1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080039","静岳5层","","","","","0","","","","","","","","","","1","","0","780029","","","magicattack_value=gradea*0.16;maxhp_value=gradea*1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080040","灵光1层","","","","","0","","","","","","","","","","1","","0","780030","","","magicattack_value=gradea*0.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080041","灵光2层","","","","","0","","","","","","","","","","1","","0","780031","","","magicattack_value=gradea*0.2362","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080042","灵光3层","","","","","0","","","","","","","","","","1","","0","780032","","","magicattack_value=gradea*0.2835","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080043","灵光4层","","","","","0","","","","","","","","","","1","","0","780033","","","magicattack_value=gradea*0.3375","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080044","灵光5层","","","","","0","","","","","","","","","","1","","0","780034","","","magicattack_value=gradea*0.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080045","灵身1层","","","","","0","","","","","","","","","","1","","0","780035","","","magiccrueldegree_value=gradea*0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080046","灵身2层","","","","","0","","","","","","","","","","1","","0","780036","","","magiccrueldegree_value=gradea*0.875","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080047","灵身3层","","","","","0","","","","","","","","","","1","","0","780037","","","magiccrueldegree_value=gradea*1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080048","灵身4层","","","","","0","","","","","","","","","","1","","0","780038","","","magiccrueldegree_value=gradea*1.225","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080049","灵身5层","","","","","0","","","","","","","","","","1","","0","780039","","","magiccrueldegree_value=gradea*1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080050","1级•狙刺","","","","","0","","","","","","","","","","1","","0","780040","","","magiccombo_value=gradea*0.0007","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080051","2级•狙刺","","","","","0","","","","","","","","","","1","","0","780041","","","magiccombo_value=gradea*0.000875","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080052","3级•狙刺","","","","","0","","","","","","","","","","1","","0","780042","","","magiccombo_value=gradea*0.00105","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080053","4级•狙刺","","","","","0","","","","","","","","","","1","","0","780043","","","magiccombo_value=gradea*0.001225","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080054","5级•狙刺","","","","","0","","","","","","","","","","1","","0","780044","","","magiccombo_value=gradea*0.0014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080055","1级•擅咒","","","","","0","","","","","","","","","","1","","0","780045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080056","2级•擅咒","","","","","0","","","","","","","","","","1","","0","780046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080057","3级•擅咒","","","","","0","","","","","","","","","","1","","0","780047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080058","4级•擅咒","","","","","0","","","","","","","","","","1","","0","780048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2080059","5级•擅咒","","","","","0","","","","","","","","","","1","","0","780049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
