编号,类型,显示名,道具名颜色,颜色品质,造型编号,单位,等级,需求等级,排序ID,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,道具生效时间,道具过期时间,使用后持续时间（s）,默认有效时间,可否卖店,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,功能说明,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,加锁时能否消耗,需求锻造等级,需求裁缝等级,需求炼金等级,临时类型,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,是否珍品,是否稀有,摆摊冻结时间,寻路特殊处理,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5
332071,518,娘子（永久）,fffff2df,1,30254,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332072,518,炮姐（7天）,fffff2df,1,30304,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332073,518,炮姐（30天）,fffff2df,1,30304,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332074,518,炮姐（永久）,fffff2df,1,30304,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332075,518,沃尔金（7天）,fffff2df,1,30317,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332076,518,沃尔金（30天）,fffff2df,1,30317,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332077,518,沃尔金（永久）,fffff2df,1,30317,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332078,518,呆贼（7天）,fffff2df,1,30202,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332079,518,呆贼（30天）,fffff2df,1,30202,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332080,518,呆贼（永久）,fffff2df,1,30202,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332081,518,女贼（7天）,fffff2df,1,30259,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332082,518,女贼（30天）,fffff2df,1,30259,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332083,518,女贼（永久）,fffff2df,1,30259,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332084,518,女王希尔（7天）,fffff2df,1,30310,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332085,518,女王希尔（30天）,fffff2df,1,30310,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332086,518,女王希尔（永久）,fffff2df,1,30310,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332087,518,术士大妈（7天）,fffff2df,1,30262,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332088,518,术士大妈（30天）,fffff2df,1,30262,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332089,518,术士大妈（永久）,fffff2df,1,30262,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332090,518,死骑瑞文（7天）,fffff2df,1,30322,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332091,518,死骑瑞文（30天）,fffff2df,1,30322,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332092,518,死骑瑞文（永久）,fffff2df,1,30322,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332093,518,时空游龙（7天）,fffff2df,1,30277,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332094,518,时空游龙（30天）,fffff2df,1,30277,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332095,518,时空游龙（永久）,fffff2df,1,30277,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332096,518,古尔迪安（7天）,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332097,518,古尔迪安（30天）,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332098,518,古尔迪安（永久）,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332099,518,古尔迪安（7天）备用,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,10800,0,0,false,false,false,0,0,1,1,99,0,0,0,增加七天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332100,518,古尔迪安（30天）备用,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,25200,0,0,false,false,false,0,0,1,1,99,0,0,0,增加三十天使用时间,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
332101,518,古尔迪安（永久）备用,fffff2df,1,30314,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,获得永久使用权,可使用伙伴,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333000,534,小软宝宝,FF00b1ff,3,30292,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得小软,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333001,534,迅猛龙宝宝,FF00b1ff,3,30211,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得迅猛龙,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333002,534,羽蛇宝宝,FF00b1ff,3,30234,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得羽蛇,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333003,534,囧龟宝宝,FF00b1ff,3,30235,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得囧龟,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333004,534,食人工头宝宝,FF00b1ff,3,30219,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得食人工头,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333005,534,地精工匠宝宝,FF00b1ff,3,30221,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得地精工匠,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333006,534,剪刀手宝宝,FF00b1ff,3,30238,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得剪刀手,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333007,534,鱼人宝宝,FFff46f0,4,30226,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得鱼人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333008,534,死神宝宝,FF00b1ff,3,30241,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得死神,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333009,534,狼人宝宝,FF00b1ff,3,30284,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得狼人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333010,534,死灵哨兵宝宝,FF00b1ff,3,30295,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得死灵哨兵,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333011,534,血月教徒宝宝,FFff46f0,4,30325,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得血月教徒,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333012,534,野猪人宝宝,FF00b1ff,3,30352,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得野猪,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333013,534,绿龙护卫宝宝,FF00b1ff,3,30213,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得吸血蝙蝠,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333014,534,野猪战士宝宝,FF00b1ff,3,30352,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得野猪人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333015,534,巫妖宝宝,FFff46f0,4,30220,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得巫妖,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333016,534,血色猎犬宝宝,FF00b1ff,3,30233,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得血色猎犬,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333017,534,幽灵宝宝,FF00b1ff,3,30237,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得幽灵,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333018,534,死亡骑士宝宝,FF00b1ff,3,30322,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得裁决者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333019,534,血色骑士宝宝,FFff46f0,4,30224,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得血色骑士,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333020,534,血色牧师宝宝,FFff46f0,4,30239,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得血色牧师,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333021,534,土元素宝宝,FF00b1ff,3,30217,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得土元素,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333022,534,半人马宝宝,FF00b1ff,3,30249,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得半人马,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333023,534,逐日卫士宝宝,FF00b1ff,3,30278,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得鞭笞者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333024,534,腐女宝宝,FFff46f0,4,30223,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得腐女,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333025,534,摧毁者宝宝,FF00b1ff,3,30290,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得摧毁者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333026,534,虚空恐魔宝宝,FF00b1ff,3,30279,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得虚空恐魔,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333027,534,食人魔宝宝,FF00b1ff,3,30227,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得食人魔,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333028,534,变形者宝宝,FFff46f0,4,30229,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变形者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333029,534,蓝龙宝宝,FF00b1ff,3,30231,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得绿飞龙,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333030,534,预言者宝宝,FF00b1ff,3,30236,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得预言者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333031,534,黑龙宝宝,FF00b1ff,3,30350,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得骨飞龙,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333032,534,绿龙宝宝,FFff46f0,4,30212,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得绿龙,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333033,534,红龙宝宝,FF00b1ff,3,30247,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得炎魔使者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333034,534,黑铁矮人宝宝,FF00b1ff,3,30216,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得黑铁矮人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333035,534,铁炉牧师宝宝,FF00b1ff,3,30225,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得铁炉牧师,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333036,534,矮人军官宝宝,FFff46f0,4,30215,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得矮人军官,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333037,534,裁决者宝宝,FF00b1ff,3,30309,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得死亡骑士,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333038,534,食尸鬼宝宝,FF00b1ff,3,30250,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得食尸鬼,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333039,534,女妖宝宝,FF00b1ff,3,30248,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得女妖,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333040,534,恐惧恶魔宝宝,FFff46f0,4,30214,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得恐惧恶魔,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333041,534,变异小软,FFff46f0,4,30292,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异小软,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333042,534,变异迅猛龙,FFff46f0,4,30211,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异迅猛龙,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333043,534,变异羽蛇,FFff46f0,4,30234,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异羽蛇,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333044,534,变异囧龟,FFff46f0,4,30235,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异囧龟,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333045,534,变异食人工头,FFff46f0,4,30219,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异食人工头,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333046,534,变异地精工匠,FFff46f0,4,30221,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异地精工匠,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333047,534,变异剪刀手,FFff46f0,4,30238,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异剪刀手,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333048,534,变异鱼人,FFff5900,5,30226,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异剪刀手,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333049,534,变异死神,FFff46f0,4,30241,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异死神,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333050,534,变异狼人,FFff46f0,4,30284,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异狼人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333051,534,变异死灵哨兵,FFff46f0,4,30295,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得死灵变异死灵哨兵,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333052,534,变异血月教徒,FFff5900,5,30325,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异血月教徒,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333053,534,变异野猪人,FFff46f0,4,30240,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异野猪,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333054,534,变异绿龙护卫,FFff46f0,4,30213,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异吸血蝙蝠,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333055,534,变异野猪战士,FFff46f0,4,30232,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异野猪人,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333056,534,变异巫妖,FFff5900,5,30220,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异巫妖,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333057,534,变异血色猎犬,FFff46f0,4,30233,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异血色猎犬,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333058,534,变异幽灵,FFff46f0,4,30237,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异幽灵,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333059,534,变异死亡骑士,FFff46f0,4,30322,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异裁决者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333060,534,变异血色骑士,FFff5900,5,30224,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异血色骑士,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333061,534,变异血色牧师,FFff5900,5,30239,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异血色牧师,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333062,534,变异土元素,FFff46f0,4,30217,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异土元素,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333063,534,变异半人马,FFff46f0,4,30249,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异半人马,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333064,534,变异逐日卫士,FFff46f0,4,30278,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异鞭笞者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333065,534,变异腐女,FFff5900,5,30223,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异腐女,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333066,534,变异摧毁者,FFff46f0,4,30290,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异摧毁者,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333067,534,变异虚空恐魔,FFff46f0,4,30279,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异虚空恐魔,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
333068,534,变异食人魔,FFff46f0,4,30227,个,0,1,5800,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,1,0,0,0,使用获得变异食人魔,使用获得宠物,,,使用方法：点击使用,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
