"编号","类型","部件ID","显示名","功能说明","道具名颜色","颜色品质","装备颜色","装备前缀","造型编号","武器造型编号","武器特效编号","单位","等级","需求等级","排序ID","角色需求1","角色需求2","性别需求","职业需求","可否摧毁","可否摆摊上架","点卡服可否摆摊上架","默认有效时间","不能被放入的包裹id1","不能被放入的包裹id2","不能被放入的包裹id3","可否给予战斗中对象","可否卖店","能否邮寄","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","珍品找回消耗","描述","售卖商店类型","售卖NPCID","道具使用方法","道具类名","道具类名1","赠送类型","亲密度","货币类型","从NPC购买价","出售价格系数","对应使用方法答案ID","点击寻路链接及右键使用事件","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","淬炼等级","是否已鉴定","耐久度系数","耐久上限","附加属性1值","附加属性2值","附加属性3值","附加属性1id","附加属性2id","附加属性3id","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","增加躲闪","增加命中","增加内功防御","增加内功伤害","增加速度","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","封印抗性","加强封印","特技id","是否生成特殊属性","套装id","附加属性条数","绿色评分","蓝色评分","橙色评分","紫色评分","暗金色评分","特效id","左手路径1","左手路径2","右手路径1","右手路径2","左手挂点1","左手挂点2","右手挂点1","右手挂点2","宝石槽数量","槽1开启等级","槽2开启等级","槽3开启等级","可镶嵌最高等级宝石","可镶嵌宝石类型1","可镶嵌宝石类型2","可镶嵌宝石类型3","可镶嵌宝石类型4","可镶嵌宝石类型5","宝石1","宝石2","宝石3","宝石4","宝石5","宝石6","宝石7","宝石8","宝石9","宝石10","装备基础属性ID","附加属性随机库ID","附加属性出现几率","附加属性双加随机库ID","附加属性单加随机库ID","附加属性三加随机库ID","附加属性四加随机库ID","特效随机库ID","特效随机库1ID","特技随机库ID","装备普通修理失败几率","装备修理材料ID","装备修理材料消耗数量","装备修理材料ID1","装备修理材料消耗数量1","装备修理材料ID2","装备修理材料消耗数量2","装备修理材料ID3","装备修理材料消耗数量3","装备修理材料ID4","装备修理材料消耗数量4","装备修理材料ID5","装备修理材料消耗数量5","装备修理材料ID6","装备修理材料消耗数量6","装备修理材料ID7","装备修理材料消耗数量7","装备修理材料ID8","装备修理材料消耗数量8","装备修理材料ID9","装备修理材料消耗数量9","装备修理材料ID10","装备修理材料消耗数量10","装备特殊修理材料ID","装备特殊修理材料消耗数量","装备普通修理消耗金钱","普通修理消耗金钱类型","装备特殊修理消耗金钱","特殊修理消耗金钱类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","珍品评分","是否自动分解","分解获得银币","分解额外获得物品1","分解额外获得物品2","分解额外获得物品3","分解额外获得物品4","分解额外获得物品5","是否自动播放特效","是否有分解按钮","摆摊冻结时间","是否稀有","寻路特殊处理","装备重铸需求道具","装备重铸需求数量","装备重铸需求货币","装备点化需求道具id","装备点化需求道具数量","装备点化需求金钱数量","装备附魔需求道具","装备附魔需求数量","装备附魔需求货币","装备熔炼需求道具","装备熔炼需求道具数量","装备熔炼需求金币数量","进阶后道具ID","进阶需求道具ID","进阶需求道具数量","进阶需求金币","是否可以一键分解","特殊用途1","特殊用途2","特殊用途3","特殊用途4","特殊用途5","双加属性值限制ID"
"6080101","1288","0","恶魔猎手之刃","80级蓝装剑","FF00b1ff","3","1","1","1532","406","","件","80","80","2003","","","0","18;19","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","曾经在蛋总手中令敌人闻风丧胆的利刃。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080102","4360","0","风暴之力","80级蓝装锤","FF00b1ff","3","1","1","1523","206","","件","80","80","2003","","","0","17;14","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","享受风暴的力量吧！","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080103","1800","0","影月金弓","80级蓝装匕首","FF00b1ff","3","1","1","1513","306","","件","80","80","2003","","","0","13","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","奎尔萨拉斯工匠们的巅峰之作。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080104","3080","0","公平使徒","80级蓝装爪","FF00b1ff","3","1","1","1553","106","","件","80","80","2003","","","0","11;12","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","我来这里就为三件事，公平！公平！还是公平！","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080105","2824","0","统治者之杖","80级蓝装魔棒","FF00b1ff","3","1","1","1544","506","","件","80","80","2003","","","0","15;16","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","拥有这把武器的都是有身份的人。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080106","4104","0","搜魂者","80级蓝装法杖","FF00b1ff","3","1","1","1544","605","","件","80","80","2003","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","亡魂的归宿，抑或说是坟墓。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","11","2","4","7","8","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331108","1","331109","1","331110","1","331111","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080207","312","3","碎地者胸甲","80级蓝装男衣","FF00b1ff","3","5","1","1456","1432","","件","80","80","2303","","","1","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","1","3","5","7","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080208","568","3","碎地者外套","80级蓝装女衣","FF00b1ff","3","5","1","1445","1436","","件","80","80","2303","","","2","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","1","3","5","7","","","","","","","","","","","","","","6666","68;68","83","98;113","","","","","50","","","331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080309","1640","1","碎地者头盔","80级蓝装男头盔","FF00b1ff","3","5","1","1434","1698","","件","80","80","2103","","","1","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","2","3","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080310","1384","1","碎地者头饰","80级蓝装女头饰","FF00b1ff","3","5","1","1500","1698","","件","80","80","2103","","","2","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","2","3","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331138","1","331139","1","331140","1","331141","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080411","40","2","碎地者项链","80级蓝装项链","FF00b1ff","3","5","1","1467","1434","","件","80","80","2203","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","4","5","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331168","1","331169","1","331170","1","331171","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080512","72","4","碎地者腰带","80级蓝装腰带","FF00b1ff","3","5","1","1478","1435","","件","80","80","2403","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","1","6","9","","","","","","","","","","","","","","","0","","","","","","","","50","","","331168","1","331169","1","331170","1","331171","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080613","88","5","碎地者长靴","80级蓝装鞋子","FF00b1ff","3","5","1","1489","1429","","件","80","80","2503","","","0","0","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","这件装备能够让你避开很多致命伤害。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","2","30","60","","11","6","9","","","","","","","","","","","","","","","","0","","","","","","","","50","","","331168","1","331169","1","331170","1","331171","1","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341108,1,1400;350800,1,38;350801,1,38;350802,1,38;350803,1,38;350804,1,38;350806,1,38;350807,1,38;350808,1,38;350809,1,38;350810,1,38;350811,1,38;350812,1,38;350900,1,19;350901,1,19;350902,1,19;350903,1,19;350904,1,19;350906,1,19;350907,1,19;350908,1,19;350909,1,19;350910,1,19;350911,1,19;350912,1,19;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,50;40009,2,50;40010,2,50;40011,2,50;40008,3,13;40009,3,13;40010,3,13;40011,3,13","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6090101","1288","0","十字军之剑","90级蓝装剑","FF00b1ff","3","1","1","1533","407","","件","90","90","2003","","","0","18;19","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","以十字军的名义消灭亡灵。","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","700","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","13","2","4","7","8","","","","","","","","","","","","","","6666","69;69","84","99;114","","","","","50","","","331109","1","331110","1","331111","1","","","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341109,1,1400;350900,1,38;350901,1,38;350902,1,38;350903,1,38;350904,1,38;350906,1,38;350907,1,38;350908,1,38;350909,1,38;350910,1,38;350911,1,38;350912,1,38;351000,1,0;351001,1,0;351002,1,0;351003,1,0;351004,1,0;351006,1,0;351007,1,0;351008,1,0;351009,1,0;351010,1,0;351011,1,0;351012,1,0;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,100;40009,2,100;40010,2,100;40011,2,100;40008,3,38;40009,3,38;40010,3,38;40011,3,38","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6090102","4360","0","大螺丝战锤","90级蓝装锤","FF00b1ff","3","1","1","1522","207","","件","90","90","2003","","","0","17;14","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","炎魔力量，不是一般人能够驾驭的！","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","700","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","13","2","4","7","8","","","","","","","","","","","","","","6666","69;69","84","99;114","","","","","50","","","331109","1","331110","1","331111","1","","","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341109,1,1400;350900,1,38;350901,1,38;350902,1,38;350903,1,38;350904,1,38;350906,1,38;350907,1,38;350908,1,38;350909,1,38;350910,1,38;350911,1,38;350912,1,38;351000,1,0;351001,1,0;351002,1,0;351003,1,0;351004,1,0;351006,1,0;351007,1,0;351008,1,0;351009,1,0;351010,1,0;351011,1,0;351012,1,0;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,100;40009,2,100;40010,2,100;40011,2,100;40008,3,38;40009,3,38;40010,3,38;40011,3,38","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6090103","1800","0","众星的愤怒","90级蓝装匕首","FF00b1ff","3","1","1","1512","307","","件","90","90","2003","","","0","13","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","承载了精灵历史的武器！","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","700","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","13","2","4","7","8","","","","","","","","","","","","","","6666","69;69","84","99;114","","","","","50","","","331109","1","331110","1","331111","1","","","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341109,1,1400;350900,1,38;350901,1,38;350902,1,38;350903,1,38;350904,1,38;350906,1,38;350907,1,38;350908,1,38;350909,1,38;350910,1,38;350911,1,38;350912,1,38;351000,1,0;351001,1,0;351002,1,0;351003,1,0;351004,1,0;351006,1,0;351007,1,0;351008,1,0;351009,1,0;351010,1,0;351011,1,0;351012,1,0;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,100;40009,2,100;40010,2,100;40011,2,100;40008,3,38;40009,3,38;40010,3,38;40011,3,38","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"6090104","3080","0","天灾终结者","90级蓝装爪","FF00b1ff","3","1","1","1552","107","","件","90","90","2003","","","0","11;12","false","0","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","0","0","巫妖王的时代，从这里开始终结！","3","161506","使用方法：点击装备按钮","","","3","1","3","500","250","0","0","","","","","0","1","700","700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","13","2","4","7","8","","","","","","","","","","","","","","6666","69;69","84","99;114","","","","","50","","","331109","1","331110","1","331111","1","","","","","","","","","","","","","","","40013","1","20100","1","20100","1","","","","","","","","","","99999","0","10000","341109,1,1400;350900,1,38;350901,1,38;350902,1,38;350903,1,38;350904,1,38;350906,1,38;350907,1,38;350908,1,38;350909,1,38;350910,1,38;350911,1,38;350912,1,38;351000,1,0;351001,1,0;351002,1,0;351003,1,0;351004,1,0;351006,1,0;351007,1,0;351008,1,0;351009,1,0;351010,1,0;351011,1,0;351012,1,0;40008,1,400;40009,1,400;40010,1,400;40011,1,400;40008,2,100;40009,2,100;40010,2,100;40011,2,100;40008,3,38;40009,3,38;40010,3,38;40011,3,38","","","","","0","1","30","","","","","","","","","","","","","","","","","","","","","","","","",""
