"技能格ID","是否主技能格","是否绝技","可学等级上限","技能格名称","影响技能ID1","影响技能ID2","影响技能ID3","影响技能ID4","影响技能ID5","所属职业ID","依赖技能格ID","依赖技能格等级要求","绝技依赖技能格等级要求","技能格学习消耗规则","技能格附加属性类型","技能格附加属性公式系数a","技能格附加属性公式系数b","技能格附加属性公式系数c","技能格描述","技能格文案包装","技能格图标不可用","技能格图标悬浮","技能格图标正常","技能格图标按下","技能格位置x","技能格位置y","技能格等级位置x","技能格等级位置y","女技能格位置x","女技能格位置y","女技能格等级位置x","女技能格等级位置y"
"1824","false","false","1","神律","162017","","","","","18","1811","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1825","false","false","1","额外能力","162018","","","","","18","1811","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1826","false","false","1","疾雷","162019","","","","","18","1811","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1827","false","false","1","余韵","162020","","","","","18","1811","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1828","false","false","1","神念","162021","","","","","18","1811","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1829","false","false","1","护佑","162022","","","","","18","1811","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1830","false","false","1","怒火","162023","","","","","18","1811","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1831","false","false","1","神尊","162024","","","","","18","1811","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1832","false","false","1","画地为牢","162025","","","","","18","1811","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1833","false","false","1","轰鸣","162026","","","","","18","1811","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1834","false","false","1","缭乱","162027","","","","","18","1811","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1835","false","false","1","藏招","162028","","","","","18","1811","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1836","false","false","1","坚壁","162029","","","","","18","1811","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1837","false","false","1","套索","162030","","","","","18","1811","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1838","false","false","1","洞察","162031","","","","","18","1811","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1839","false","false","1","镇妖神使","162032","","","","","18","1811","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1911","true","false","180","法华经","163000","","","","","19","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1912","false","false","180","唧唧歪歪","163001","","","","","19","1911","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1913","false","false","180","一苇渡江","163002","","","","","19","1911","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1914","false","false","180","推气过宫","163003","163008","","","","19","1911","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1915","false","false","180","金刚护法","163004","163009","","","","19","1911","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1916","false","false","180","当头棒喝","163005","163010","","","","19","1911","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1917","false","false","180","佛光普照","163006","300407","","","","19","1911","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1918","false","true","3","绝技一元复始","163007","","","","","19","1911,1912,1913,1914,1915,1916,1917","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1919","false","false","1","销武","163012","","","","","19","1911","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1920","false","false","1","妙手","163013","","","","","19","1911","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1921","false","false","1","佛显","163014","","","","","19","1911","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1922","false","false","1","天照","163015","","","","","19","1911","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1923","false","false","1","佛法","163016","","","","","19","1911","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1924","false","false","1","慈心","163017","","","","","19","1911","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1925","false","false","1","额外能力","163018","","","","","19","1911","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1926","false","false","1","止戈","163019","","","","","19","1911","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1927","false","false","1","仁心","163020","","","","","19","1911","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1928","false","false","1","心韧","163021","","","","","19","1911","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1929","false","false","1","舍利","163022","","","","","19","1911","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1930","false","false","1","佛性","163023","","","","","19","1911","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1931","false","false","1","虔诚","163024","","","","","19","1911","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1932","false","false","1","渡劫金身","163025","","","","","19","1911","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1933","false","false","1","圣手","163026","","","","","19","1911","69","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1934","false","false","1","化瘀","163027","","","","","19","1911","89","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1935","false","false","1","归气","163028","","","","","19","1911","109","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1936","false","false","1","佛佑","163029","","","","","19","1911","129","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1937","false","false","1","妙悟","163030","","","","","19","1911","155","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1938","false","false","1","佛缘","163031","","","","","19","1911","164","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"1939","false","false","1","杏林妙手","163032","","","","","19","1911","168","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2011","true","false","300","如意金箍棒","164000","","","","","20","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2012","false","false","300","当头一棒","164001","","","","","20","2011","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2013","false","false","300","泼天乱棍","164002","","","","","20","2011","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2014","false","false","300","筋斗云","164003","164008","","","","20","2011","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2015","false","false","300","乾坤一掷","164004","164009","","","","20","2011","20","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2016","false","false","300","千变万化","164005","164010","","","","20","2011","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2017","false","false","300","铜头铁臂","164006","300412","","","","20","2011","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2018","false","true","3","大闹天宫","164007","","","","","20","2011,2012,2013,2014,2015,2016,2017","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2111","true","false","300","红袖添香","165000","","","","","21","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2112","false","false","300","飞花摘叶","165001","","","","","21","2111","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2113","false","false","300","一笑倾城","165002","","","","","21","2111","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2114","false","false","300","漫天花雨","165003","165008","","","","21","2111","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2115","false","false","300","唤花灵","165004","165009","","","","21","2111","21","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2116","false","false","300","晴天狠海","165005","165010","","","","21","2111","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2117","false","false","300","轻如鸿毛","165006","","","","","21","2111","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2118","false","true","3","移形换影","165007","","","","","21","2111,2112,2113,2114,2115,2116,2117","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2211","true","false","300","梵心魔罗","166000","","","","","22","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2212","false","false","300","雷音度厄","166001","","","","","22","2211","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2213","false","false","300","斩业火","166002","","","","","22","2211","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2214","false","false","300","迷心障","166003","166008","","","","22","2211","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2215","false","false","300","一念成佛","166004","166009","","","","22","2211","22","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2216","false","false","300","一劫为魔","166005","166010","","","","22","2211","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2217","false","false","300","天魔护体","166006","","","","","22","2211","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2218","false","true","3","问天一战","166007","","","","","22","2211,2212,2213,2214,2215,2216,2217","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2311","true","false","300","天罡气","167000","","","","","23","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2312","false","false","300","雷霆万钧","167001","","","","","23","2311","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2313","false","false","300","天雷斩","167002","","","","","23","2311","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2314","false","false","300","错乱","167003","167008","","","","23","2311","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2315","false","false","300","百万神兵","167004","167009","","","","23","2311","23","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2316","false","false","300","五雷轰顶","167005","167010","","","","23","2311","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2317","false","false","300","天罡气","167006","","","","","23","2311","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2318","false","true","3","诸天灭地","167007","","","","","23","2311,2312,2313,2314,2315,2316,2317","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2411","true","false","300","如意金箍棒","168000","","","","","24","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2412","false","false","300","泼天乱棍","168001","","","","","24","2411","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2413","false","false","300","千变万化","168002","","","","","24","2411","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2414","false","false","300","筋斗云","168003","168008","","","","24","2411","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2415","false","false","300","乾坤一掷","168004","168009","","","","24","2411","23","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2416","false","false","300","当头一棒","168005","168010","","","","24","2411","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2417","false","false","300","铜头铁臂","168006","","","","","24","2411","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2418","false","true","3","大闹天宫","168007","","","","","24","2411,2412,2413,2413,2415,2416,2417","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2511","true","false","300","星鲲","169000","","","","","25","0","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2512","false","false","300","击水三千","169001","","","","","25","2511","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2513","false","false","300","扶摇直上","169002","","","","","25","2511","0","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2514","false","false","300","飞流吟","169003","169008","","","","25","2511","10","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2515","false","false","300","朔风斩","169004","169009","","","","25","2511","23","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2516","false","false","300","刹那须弥","169005","169010","","","","25","2511","30","","1","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2517","false","false","300","鸣潮","169006","300402","","","","25","2511","40","","2","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
"2518","false","true","3","一梦天地","169007","","","","","25","2511,2512,2513,2514,2515,2516,2517","","50,70,90","","0","0.0","0.0","0.0","","","","","","","","","","","","","",""
