技能等级,需求等级1,需求等级2,需求等级3,需求等级4,需求等级5,消耗类型1,消耗银币1,消耗公会贡献1,消耗类型2,消耗银币2,消耗公会贡献2,消耗类型3,消耗银币3,消耗公会贡献3,消耗类型4,消耗银币4,消耗公会贡献4,消耗类型5,消耗银币5,消耗公会贡献5,消耗类型6,消耗银币6,消耗公会贡献6,消耗类型7,消耗银币7,消耗公会贡献7,消耗类型8,消耗银币8,消耗公会贡献8,消耗类型9,消耗银币9,消耗公会贡献9,消耗类型10,消耗银币10,消耗公会贡献10,消耗活力1,消耗活力2,消耗活力3,消耗活力4,消耗活力5,消耗活力6,消耗活力7,消耗活力8,消耗活力9,消耗活力10,消耗道具,产出道具
151,141,151,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,95,100,107,100,,,,,,340078,"340078,340079"
152,142,152,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,96,100,107,100,,,,,,340078,"340078,340079"
153,143,153,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,96,100,108,100,,,,,,340078,"340078,340079"
154,144,154,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,97,100,109,100,,,,,,340078,"340078,340079"
155,145,155,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,97,100,109,100,,,,,,340078,"340078,340079"
156,146,156,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,98,100,110,100,,,,,,340078,"340078,340079"
157,147,157,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,98,100,111,100,,,,,,340078,"340078,340079"
158,148,158,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,99,100,111,100,,,,,,340078,"340078,340079"
159,149,159,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,150,99,100,112,100,,,,,,340078,"340078,340079"
160,150,160,0,0,45,1,99999999,850,1,99999999,425,1,,,1,,,1,99999999,425,1,,,1,,,1,,,1,,,1,,,160,100,100,113,100,,,,,,340078,"340078,340079"
