"造型id","造型","全身像","半身像id","小头像id","小地图头像","描述","几个方向","影子尺寸","攻击音效","施法音效","是否远程","是否进行位移","是否染色","部件1","部件2","部件3","显示武器ID","显示坐骑ID","秘境头像","透明化半身像","圆形头像","站位点专用"
"3003011","fashion-menglinglong4","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3004011","fashion-menglinglong5","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3005011","fashion-menglinglong6","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3006011","fashion-menglinglong7","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3007011","fashion-menglinglong8","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3008011","fashion-menglinglong9","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3009011","fashion-menglinglong10","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6050112","","920","1855","",""
"3000012","fashion-xuancaie1","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3001012","fashion-xuancaie2","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3002012","fashion-xuancaie3","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3003012","fashion-xuancaie4","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3004012","fashion-xuancaie5","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3005012","fashion-xuancaie6","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3006012","fashion-xuancaie7","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3007012","fashion-xuancaie8","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3008012","fashion-xuancaie9","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3009012","fashion-xuancaie10","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6050105","","918","1853","",""
"3000013","fashion-shapolang1","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3001013","fashion-shapolang2","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3002013","fashion-shapolang3","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3003013","fashion-shapolang4","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3004013","fashion-shapolang5","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3005013","fashion-shapolang6","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3006013","fashion-shapolang7","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3007013","fashion-shapolang8","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3008013","fashion-shapolang9","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3009013","fashion-shapolang10","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6050110","","922","1857","",""
"3000014","fashion-hutouguai1","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3001014","fashion-hutouguai2","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3002014","fashion-hutouguai3","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3003014","fashion-hutouguai4","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3004014","fashion-hutouguai5","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3005014","fashion-hutouguai6","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3006014","fashion-hutouguai7","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3007014","fashion-hutouguai8","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3008014","fashion-hutouguai9","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3009014","fashion-hutouguai10","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6050103","","914","1849","",""
"3000015","fashion-jumowang1","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3001015","fashion-jumowang2","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3002015","fashion-jumowang3","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3003015","fashion-jumowang4","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3004015","fashion-jumowang5","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3005015","fashion-jumowang6","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3006015","fashion-jumowang7","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3007015","fashion-jumowang8","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3008015","fashion-jumowang9","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3009015","fashion-jumowang10","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6050113","","924","1859","",""
"3000016","fashion-gujingling1","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3001016","fashion-gujingling2","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3002016","fashion-gujingling3","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3003016","fashion-gujingling4","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3004016","fashion-gujingling5","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3005016","fashion-gujingling6","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3006016","fashion-gujingling7","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3007016","fashion-gujingling8","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3008016","fashion-gujingling9","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3009016","fashion-gujingling10","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6050106","","917","1852","",""
"3000017","fashion-humeiren1","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3001017","fashion-humeiren2","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3002017","fashion-humeiren3","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3003017","fashion-humeiren4","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3004017","fashion-humeiren5","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3005017","fashion-humeiren6","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3006017","fashion-humeiren7","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3007017","fashion-humeiren8","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3008017","fashion-humeiren9","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"3009017","fashion-humeiren10","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6050108","","921","1856","",""
"","恢复原始造型","","","","","","","","","","","","","","","","","","","","",""
"3010001","role-jianxiake","","9000","30200","30217","剑侠客","4","2","at-jxkgj","at-jxksf","0","1","1","0","0","0","6100101","","","","",""
"3010002","role-xiaoyaosheng","","9001","30201","30218","逍遥生","4","2","at-xysgj","at-xyssf","0","1","1","0","0","0","6100104","","","","",""
"3010003","role-moshaojun","","9002","30202","30219","漠少君","4","2","at-msjgj","at-msjsf","0","1","1","0","0","0","6100117","","","","",""
"3010004","role-feiyannv","","9003","30203","30220","飞燕女","4","2","at-fyngj","at-fynsf","0","1","1","0","0","0","6100109","","","","",""
"3010005","role-yingnvxia","","9004","30204","30221","英女侠","4","2","at-ynxgj","at-ynxsf","0","1","1","0","0","0","6100114","","","","",""
"3010006","role-wumaner","","9005","30205","30222","巫蛮儿","4","2","at-wmegj","at-wmesf","0","1","1","0","0","0","6100116","","","","",""
"3010007","role-longtaizi","","9006","30206","30223","龙太子","4","2","at-ltzgj","at-ltzsf","0","1","1","0","0","0","6100102","","","","",""
"3010008","role-shentianbing","","9007","30207","30224","神天兵","4","2","at-stbgj","at-stbsf","0","1","1","0","0","0","6100107","","","","",""
"3010009","role-yulingshen","","9008","30208","30225","羽灵神","4","2","at-ylsgj","at-ylssf","0","1","1","0","0","0","6100115","","","","",""
"3010010","role-wutianji","","9009","30209","30226","舞天姬","4","2","at-wtjgj","at-wtjsf","0","1","1","0","0","0","6100111","","","","",""
"3010011","role-menglinglong","","9010","30210","30227","梦玲珑","4","2","at-mllgj","at-mllsf","0","1","1","0","0","0","6100112","","","","",""
"3010012","role-xuancaie","","9011","30211","30228","玄彩娥","4","2","at-xcegj","at-xcesf","0","1","1","0","0","0","6100105","","","","",""
"3010013","role-shapolang","","9012","30212","30229","杀破狼","4","2","at-splgj","at-splsf","1","1","1","0","0","0","6100110","","","","",""
"3010014","role-hutouguai","","9013","30213","30230","虎头怪","4","2","at-htggj","at-htgsf","0","1","1","0","0","0","6100103","","","","",""
"3010015","role-jumowang","","9014","30214","30231","巨魔王","4","2","at-jmwgj","at-jmwsf","0","1","1","0","0","0","6100113","","","","",""
"3010016","role-gujingling","","9015","30215","30232","骨精灵","4","2","at-gjlgj","at-gjlsf","0","1","1","0","0","0","6100106","","","","",""
"3010017","role-humeiren","","9016","30216","30233","狐美人","4","2","at-hmrgj","at-hmrsf","0","1","1","0","0","0","6100108","","","","",""
"1888239","paopao","","9130","30332","","下面是助战","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"1020001","zz01-zhubajie","","9012","30368","30368","猪八戒","4","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1020002","zz02-litianwang","","9039","30369","30369","李天王","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1020003","zz03-sunwukong","","9053","30370","30370","孙悟空","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1020004","zz04-zixiaxianzi","","9083","30371","30371","紫霞仙子","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1020005","zz05-zhenyuanzi","","9116","30372","30372","镇元子","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1020006","zz06-taibaijinxing","","9029","30373","30373","太白金星","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020007","zz07-dapengwang","","9096","30374","30374","大鹏王","4","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1020008","zz08-baixiangwang","","9112","30375","30375","白象王","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1020009","zz09-jiulingyuansheng","","9140","30376","30376","九灵元圣","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1020010","zz10-heiwuchang","","9129","30377","30377","黑无常","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1020011","zz11-yanluowang","","9026","30378","30378","阎罗王","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1020012","zz12-dizangpusa","","9014","30379","30379","地藏菩萨","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020013","zz13-xiaobailong","","9101","30380","30380","小白龙","4","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1020014","zz14-beihailongwang","","9021","30381","30381","北海龙王","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1020015","zz15-donghailongwang","","9081","30382","30382","东海龙王","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1020016","zz16-huianxingzhe","","9033","30383","30383","惠岸行者","2","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1020017","zz17-wangegongzhu","","9020","30384","30384","挽歌公主","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1020018","zz18-guanyinpusa","","9094","30385","30385","观音菩萨","2","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020019","zz19-honghaier","","9051","30386","30386","红孩儿","4","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1020020","zz20-tieshangongzhu","","9100","30387","30387","铁扇公主","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1020021","zz21-niumowang","","9128","30388","30388","牛魔王","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1020022","zz22-dadangjia","","9104","30389","30389","大当家","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1020023","zz23-change","","9035","30390","30390","嫦娥","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1020024","zz24-yangjian","","9030","30391","30391","杨戬","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020025","zz25-siyaoyushi","","9075","30392","30392","司药御侍","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1020026","zz26-kongducanshi","","9108","30393","30393","空度禅师","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1020027","zz27-tangseng","","9057","30394","30394","唐僧","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1020028","zz28-yutujing","","9093","30404","30404","玉兔","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020029","zz29-jiurouheshang","","9093","30404","30404","酒肉和尚","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1020030","npc-bailongtaizi","","9006","30206","30223","NPC白龙太子","2","2","at-ltzgj","at-ltzsf","0","1","0","0","0","0","","","","","",""
"1020031","npc-gujingling","","9015","30215","30232","npc粉骨精灵","2","2","at-gjlgj","at-gjlsf","0","1","0","0","0","0","","","","","",""
"1020032","npc-heilongtaizi","","9006","30206","30223","npc黑龙太子","2","2","at-ltzgj","at-ltzsf","0","1","0","0","0","0","","","","","",""
"1020033","npc-jianxiake1","","9000","30200","30217","npc深红剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1020034","npc-jianxiake2","","9000","30200","30217","npc绿剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1020035","npc-jianxiake3","","9000","30200","30217","npc紫剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1020036","npc-jianxiake4","","9000","30200","30217","npc蓝白剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1020037","npc-jianxiake5","","9000","30200","30217","npc红剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1020038","npc-jianxiake6","","9000","30200","30217","npc篮剑侠客","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1888229","paopao","","9130","30332","","下面是NPC与怪物类模型","8","2","mt-_niutouren_gongji1","mt-_niutouren_shifa2","0","0","0","0","0","0","","","","","",""
"1030000","ts1-yingji","","","","","魔王专用召唤模型","4","2","","","0","1","0","0","0","0","","","","","",""
"1030001","mt_baoxiangjin","","","","","福缘宝箱-金","2","2","","","0","1","0","0","0","0","","","","","",""
"1030002","mt_baoxiangyin","","","","","福缘宝箱-银","2","2","","","0","1","0","0","0","0","","","","","",""
"1030003","npc-baixiaoxianzi","","9017","30397","30397","百晓仙子","4","2","","","0","1","0","0","0","0","","","","","",""
"1030004","npc-huaxiangxiang","","9018","30398","30398","花香香","4","2","","","0","1","0","0","0","0","","","","","",""
"1030005","npc-zhongkui","","9019","30399","30399","钟馗","4","2","","","0","1","0","0","0","0","","","","","",""
"1030006","npc-zhanglaocai","","9020","30401","30401","商会总管-张老财","4","2","","","0","1","0","0","0","0","","","","","",""
"1030007","npc-jiudianlaoban","","9021","30403","30403","酒店老板","4","2","","","0","1","0","0","0","0","","","","","",""
"1030008","npc-dianxiaoer","","9022","30400","30400","店小二","4","2","","","0","1","0","0","0","0","","","","","",""
"1030009","npc-yaodianlaoban","","9023","30405","30405","药店老板","4","2","","","0","1","0","0","0","0","","","","","",""
"1030010","npc-shouwei","","9024","30409","30409","守卫","4","2","","","0","1","0","0","0","0","","","","","",""
"1030011","npc-luxiaoran","","9025","30406","30406","陆萧然-吴举人","4","2","","","0","1","0","0","0","0","","","","","",""
"1030012","npc-luodaoren","","9026","30408","30408","袁天罡-罗道人","4","2","","","0","1","0","0","0","0","","","","","",""
"1030013","npc-guozijian","","9027","30407","30407","官员-魏征","4","2","","","0","1","0","0","0","0","","","","","",""
"1030014","npc-lanhu","","9028","30402","30402","兰虎-擂台PK","4","2","","","0","1","0","0","0","0","","","","","",""
"1030015","npc-jianxiake","","9000","30200","30200","剑侠客-特殊造型","2","2","at-jxkgj","at-jxksf","0","1","0","0","0","0","","","","","",""
"1030016","npc-yangjian","","9030","30391","30391","杨戬-NPC造型，无攻击等","4","2","","","0","1","0","0","0","0","","","","","",""
"1030017","npc-chuansongyong","","","","","特殊-用于传送标识","1","0","","","0","1","0","0","0","0","","","","","",""
"1030018","npc-tudiye","","9044","30414","30414","土地爷-无攻击等","4","2","","","0","1","0","0","0","0","","","","","",""
"1030019","npc-baidaxian","","9095","30394","30394","老鼠大仙-用于元辰-子鼠","2","2","","BB-tongyong1-sf","0","1","0","0","0","0","","","","","",""
"1030020","npc-zhuque","","9094","30394","30394","凤凰-用于元辰-酉鸡","4","2","","BB-tongyong2-sf","0","1","0","0","0","0","","","","","",""
"1030021","npc-fanritu","","9093","30394","30394","房日兔-用于星宿","4","2","","BB-tongyong3-sf","0","1","0","0","0","0","","","","","",""
"1030022","npc-yinjiaodawang","","9098","30394","30394","银角大王-用于星宿","4","2","","BB-tongyong4-sf","0","1","0","0","0","0","","","","","",""
"1030023","npc-jinjiaodawang","","9097","30394","30394","金角大王-用于星宿","4","2","","BB-tongyong5-sf","0","1","0","0","0","0","","","","","",""
"1030024","npc-jiutouchong","","9099","30394","30394","九头虫-用于九曜星官罗侯","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1030025","npc-wangmu","","9103","30411","30411","王母-不可用于战斗","4","2","","","0","1","0","0","0","0","","","","","",""
"1030026","npc-yuhuandadi","","9102","30412","30412","玉皇大帝-不可用于战斗","4","2","","","0","0","0","0","0","0","","","","","",""
"1030027","npc-youmingkuan","","9102","30412","30412","幽冥矿-不可用于战斗","1","2","","","0","0","0","0","0","0","","","","","",""
"1030028","mt_caoyao","","9102","30412","30412","草药-不可用于战斗","1","2","","","0","0","0","0","0","0","","","","","",""
"1030029","npc-dutu","","9099","30394","30394","赌徒-用于明雷等","4","2","","BB-tongyong6-sf","0","1","0","0","0","0","","","","","",""
"1030030","npc-yuelao","","9154","30294","30294","月老","4","2","","","0","1","0","0","0","0","","","","","",""
"1030031","boss-nianshou","","","","","年兽","2","2","","","0","1","0","0","0","0","","","","","",""
"1030032","boss-chiyou","","","","","蚩尤","2","2","","","0","1","0","0","0","0","","","","","",""
"1030033","boss-diyuxieling","","","","","地狱邪灵","2","2","","","0","1","0","0","0","0","","","","","",""
"1030034","boss-elong","","","","","恶龙","2","2","","","0","1","0","0","0","0","","","","","",""
"1030035","boss-huolingshengmu","","","","","火灵圣母","2","2","","","0","1","0","0","0","0","","","","","",""
"1030036","boss-mojiang","","","","","魔将","2","2","","","0","1","0","0","0","0","","","","","",""
"1030037","boss-qingxuan","","","","","青玄","2","2","","","0","1","0","0","0","0","","","","","",""
"1030038","boss-shengjiedijun","","","","","圣界帝君","2","2","","","0","1","0","0","0","0","","","","","",""
"1030039","boss-wukongxinmo","","","","","悟空心魔","2","2","","","0","1","0","0","0","0","","","","","",""
"1030040","boss-xingtian","","","","","刑天","2","2","","","0","1","0","0","0","0","","","","","",""
"1030041","boss-yuhuangdadi","","","","","玉皇大帝","2","2","","","0","1","0","0","0","0","","","","","",""
"1030042","boss-ziweidadi","","","","","紫薇大帝","2","2","","","0","1","0","0","0","0","","","","","",""
"1030043","boss-zixiaxinmo","","","","","圣母心魔","2","2","","","0","1","0","0","0","0","","","","","",""
"1030044","boss-zizaitianmo","","","","","自在天魔","2","2","","","0","1","0","0","0","0","","","","","",""
"1030045","boss-xiangshen","","","","","祥晟","2","2","","","0","1","0","0","0","0","","","","","",""
"1030046","Ams-110","","","","","舞女1","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030047","Ams-111","","","","","舞女2","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030048","Ams-112","","","","","舞女3","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030049","Ams-113","","","","","舞女4","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030050","Ams-114","","","","","舞女5","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030051","Ams-115","","","","","舞女6","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030052","Ams-116","","","","","舞女7","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030053","Ams-117","","","","","舞女8","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030054","Ams-118","","","","","舞女9","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030055","Ams-119","","","","","舞女10","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030056","Ams-120","","","","","舞女11","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030057","biaojinpc-1","","","","","传送图标1","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030058","biaojinpc-2","","","","","传送图标2","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030059","biaojinpc-3","","","","","传送图标3","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030060","biaojinpc-4","","","","","传送图标4","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030061","biaojinpc-5","","","","","传送图标5","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030062","biaojinpc-6","","","","","传送图标6","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030063","biaojinpc-7","","","","","传送图标7","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030064","biaojinpc-8","","","","","传送图标8","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030065","biaojinpc-9","","","","","传送图标9","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030066","biaojinpc-10","","","","","传送图标10","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030067","biaojinpc-11","","","","","通天塔","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030069","haizi-01","","","","","虎头男孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030070","haizi-02","","","","","人族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030071","haizi-03","","","","","魔族男孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030072","haizi-04","","","","","魔族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030073","haizi-05","","","","","魔族男孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030074","haizi-06","","","","","人族男孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030075","haizi-07","","","","","仙族男孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030076","haizi-08","","","","","人族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030077","haizi-09","","","","","仙族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030079","haizi-11","","","","","仙族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030080","haizi-12","","","","","人族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030081","haizi-13","","","","","魔族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030082","haizi-14","","","","","人族女孩","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030083","boss-xin","","","","","哥斯拉","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030084","boss-xin1","","","","","七彩战将","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030085","boss-xin2","","","","","七彩战将2","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030086","boss-xin3","","","","","七彩龙女","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030087","boss-xin4","","","","","七彩吕布","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030088","boss-xin5","","","","","七彩关羽","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030089","boss-xin6","","","","","红温哪吒","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030090","boss-xin7","","","","","绿甲武士","2","2","","","0","1","0","0","0","0","","","9145","","",""
"1030091","boss-xin8","","","","","黑麒麟","2","2","","","0","1","0","0","0","0","","","9145","","",""
