技能格ID,技能格等级,第一重经验,第二重经验,第三重经验,第四重经验,第五重经验,第六重经验,第七重经验,第一重金钱,第二重金钱,第三重金钱,第四重金钱,第五重金钱,第六重金钱,第七重金钱,第一重气海值,第二重气海值,第三重气海值,第四重气海值,第五重气海值,第六重气海值,第七重气海值,金钱消耗类型1,金钱消耗规则1,经验消耗规则1,金钱消耗类型2,金钱消耗规则2,经验消耗规则2,金钱消耗类型3,金钱消耗规则3,经验消耗规则3
200,200,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
201,201,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
202,202,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
203,203,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
204,204,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
205,205,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
206,206,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
207,207,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
208,208,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
209,209,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
210,210,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
211,211,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
212,212,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
213,213,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
214,214,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
215,215,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
216,216,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
217,217,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
218,218,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
219,219,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
220,220,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
221,221,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
222,222,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
223,223,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
224,224,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
225,225,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
226,226,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
227,227,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
228,228,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
229,229,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
230,230,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
231,231,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
232,232,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
233,233,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
234,234,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
235,235,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
236,236,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
237,237,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
238,238,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
239,239,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
240,240,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
241,241,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
242,242,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
243,243,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
244,244,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
245,245,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
246,246,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
247,247,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
248,248,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
249,249,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
250,250,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
251,251,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
252,252,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
253,253,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
254,254,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
255,255,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
256,256,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
257,257,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
258,258,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
259,259,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
260,260,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
261,261,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
262,262,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
263,263,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
264,264,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
265,265,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
266,266,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
267,267,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
268,268,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
269,269,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
270,270,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
271,271,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
272,272,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
273,273,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
274,274,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
275,275,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
276,276,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
277,277,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
278,278,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
279,279,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
280,280,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
281,281,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
282,282,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
283,283,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
284,284,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
285,285,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
286,286,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
287,287,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
288,288,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
289,289,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
290,290,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
291,291,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
292,292,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
293,293,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
294,294,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
295,295,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
296,296,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
297,297,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
298,298,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
299,299,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
300,300,0,0,0,0,0,0,0,5139500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999999,0,1,99999999,0,1,,
