技能id,策划备注,未学会时描述,技能等级1所需熟练度,技能等级1描述,技能等级2所需熟练度,技能等级2描述,技能等级3所需熟练度,技能等级3描述,技能等级4所需熟练度,技能等级4描述,技能等级5所需熟练度,技能等级5描述,技能等级6所需熟练度,技能等级6描述,技能等级7所需熟练度,技能等级7描述,技能等级8所需熟练度,技能等级8描述,技能等级9所需熟练度,技能等级9描述,技能等级10所需熟练度,技能等级10描述,技能等级11所需熟练度,技能等级11描述,技能等级12所需熟练度,技能等级12描述,技能等级13所需熟练度,技能等级13描述,技能等级14所需熟练度,技能等级14描述,技能等级15所需熟练度,技能等级15描述,技能等级16所需熟练度,技能等级16描述
150001,龙卷雨击,增加附魔附加物理伤害的效果，永久增加主角的速度,1,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度,200,增加附魔附加物理伤害的效果，永久增加主角的速度
150002,龙腾,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
150003,逆鳞,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
150004,龙吟,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
150005,清心,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
150006,龙附,永久增加主角的生命,1,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命,200,永久增加主角的生命
150007,绝技魔浪滔天,增加使用时的伤害，60级可攻击4个目标,1,增加使用时的伤害，60级可攻击4个目标,60,增加使用时的伤害，70级可攻击5个目标,70,增加使用时的伤害，90级可攻击6个目标,90,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害,200,增加使用时的伤害
150008,法师被动1,增加生命回复效果，50级可持续4个回合,1,增加生命回复效果，50级可持续4个回合,50,增加生命回复效果，70级可持续5个回合,70,增加生命回复效果，90级可持续6个回合,90,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果,200,增加生命回复效果
150009,法师被动2,增加生命回复，永久增加主角的控制抗性,1,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性,200,增加生命回复，永久增加主角的控制抗性
150010,法师被动3,增加使用效果，永久增加主角的速度，70级可作用5个目标,1,增加使用效果，永久增加主角的速度，70级可作用5个目标,70,增加使用效果，永久增加主角的速度，90级可作用6个目标,90,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度,200,增加使用效果，永久增加主角的速度
160000,金刚经,增加附魔附加法术强度的效果，永久增加主角的法术攻击,1,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击,200,增加附魔附加法术强度的效果，永久增加主角的法术攻击
160001,五行咒,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160002,普渡众生,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160003,杨柳甘露,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160004,灵动九天,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160005,微风拂柳,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160006,莲花妙法,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160007,绝技沐日慈悲,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160008,牧师被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160009,牧师被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
160010,牧师被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161000,氏族之力,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161001,闪电风暴,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161002,守护印记,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161003,五雷轰顶,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161004,先祖印记,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161005,魔王降临,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161006,引火乘风,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161007,绝技飞星流火,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161008,萨满被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161009,萨满被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
161010,萨满被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162000,天罡气,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162001,天神护体,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162002,错乱,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162003,天雷斩,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162004,镇妖,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162005,五雷轰顶,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162006,浩然正气,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162007,雷霆万钧,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162008,盗贼被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162009,盗贼被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
162010,盗贼被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163000,法华经,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163001,唧唧歪歪,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163002,一苇渡江,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163003,推气过宫,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163004,金刚护法,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163005,当头棒喝,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163006,佛光普照,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163007,绝技一元复始,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163008,术士被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163009,术士被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
163010,术士被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164000,周易学,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164001,日月乾坤,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164002,炼气化神,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164003,生命之泉,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164004,烟雨剑法,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164005,飘渺式,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164006,乾坤妙法,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164007,五重天,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164008,五庄观被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164009,五庄观被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
164010,五庄观被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165000,红袖添香,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165001,飞花摘叶,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165002,一笑倾城,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165003,漫天花雨,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165004,唤花灵,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165005,晴天狠海,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165006,轻如鸿毛,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165007,移形换影,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165008,女儿村被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165009,女儿村被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
165010,女儿村被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166000,梵心魔罗,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166001,雷音度厄,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166002,斩业火,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166003,迷心障,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166004,一念成佛,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166005,一劫为魔,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166006,天魔护体,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166007,问天一战,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166008,小雷音寺被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166009,小雷音寺被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
166010,小雷音寺被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167000,天罡气,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167001,雷霆万钧,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167002,天雷斩,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167003,错乱,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167004,百万神兵,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167005,五雷轰顶,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167006,天罡气,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167007,诸天灭地,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167008,凌波城被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167009,凌波城被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
167010,凌波城被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168000,如意金箍棒,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168001,泼天乱棍,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168002,千变万化,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168003,筋斗云,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168004,乾坤一掷,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168005,当头一棒,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168006,铜头铁臂,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168007,大闹天宫,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168008,花果山被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168009,花果山被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
168010,花果山被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169000,星鲲,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169001,击水三千,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169002,扶摇直上,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169003,飞流吟,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169004,朔风斩,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169005,刹那须弥,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169006,鸣潮,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169007,一梦天地,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169008,须弥海被动1,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169009,须弥海被动2,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
169010,须弥海被动3,啊,1,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊,200,啊
