"id","单位关系","单位阵营方","战斗单位类型","怪物类型","特殊类型","是否包含死亡","是否包含隐身","本回合累积结果","最小hp百分比","最大hp百分比","最小mp百分比","最大mp百分比","最大连击点","最小连击点","属性排序","buff","性别","职业","等级下限","等级上限","怪物ID","战斗ID","策划备注","关系"
"97003","","2","","","","","1","","","","","","","","","!_502002_","","","0","301","","","",""
"97004","","2","1","","","1","1","","","","","","","","","","","_11_||_13_||_15_||_17_||_18_","0","301","","","输出职业",""
"97005","","3","","","","","1","","","","","","","","","_13_","","","0","301","","","日常副本怪自己中了封印",""
"99001","","2","","","","","1","","","","","","","","","","","","0","301","","","怪物己方所有敌人",""
"99002","","2","5","4","","","1","","","","","","","","","","","","0","301","","","boss死亡召唤怪物",""
"99003","","1","5","4","","1","1","","","","","","","","","_500033_","","","0","301","","","拉boss男",""
"99004","","2","5","4","","1","1","","","","","","","","","_500033_","","","0","301","27154","","狗女死亡",""
"99005","","1","","","","","1","","","","","","","","","","","","0","301","","","己方单位",""
"99010","","1","1","","","1","1","","","","","","","","","","","","30","301","","","我方25级单位",""
"99011","","1","1","","","1","1","","","","","","","","","","","","40","301","","","我方35级单位",""
"99012","","1","1","","","1","1","","","","","","","","","","","","50","301","","","我方45级单位",""
"99013","","1","1","","","1","1","","","","","","","","","","","","60","301","","","我方55级单位",""
"99014","","1","1","","","1","1","","","","","","","","","","","","65","301","","","我方55级单位",""
"99015","","1","1","","","1","1","","","","","","","","","","","","70","301","","","我方65级单位",""
"99016","","1","1","","","1","1","","","","","","","","","","","","75","301","","","我方70级单位",""
"99017","","1","1","","","1","1","","","","","","","","","","","","80","301","","","我方75级单位",""
"99018","","1","1","","","1","1","","","","","","","","","","","","85","301","","","我方80级单位",""
"99019","","1","1","","","1","1","","","","","","","","","","","","90","301","","","我方85级单位",""
"99030","","2","5","1","","1","1","","","","","","","","","_500033_","","","0","301","27093","","40级精英召唤怪物死亡",""
"99031","","2","1;3","","","","1","","","","","","","","","!_502002_","","_12_||_16_","0","301","","","诛神封",""
"99032","","2","1;3","","","","1","","","","","","","","","!_502002_","","_11_||_13_||_15_||_17_||_18_||_19_||_14_","0","301","","","诛神封",""
"99033","","2","1;3","","","","1","","","","","","","","","!_502002_","","_12_||_16_","0","301","","","诛神封出手前",""
"99034","","2","1;3","","","","1","","","","","","","","","!_502002_","","_11_||_13_||_15_||_17_||_18_||_19_||_14_","0","301","","","诛神封出手前",""
"99035","","3","","","","","1","","","","","","","","","!_506109_","","","0","301","","","身上没有先祖之魂buff的自己",""
"99036","","1","","","","","1","","","","","","","","","!_508236_","","","0","301","","","身上没有先祖之魂buff的自己",""
"99037","","1","","","","","1","","","","","","","","","!_508237_","","","0","301","","","身上没有先祖之魂buff的自己",""
"99038","","3","","","","","1","","","","","","","","","!_509951_","","","0","301","","","身上没有先祖之魂buff的自己",""
"99039","","3","","","","","1","","","","","","","","","!_503001_","","","0","301","","","身上没有先祖之魂buff的自己",""
"99040","","2","1","","","1","1","","","","","","","","","","","_23_","0","301","","","天宫职业",""
"99041","","2","1","","","1","1","","","","","","","","","","","_11_||_13_||_18_","0","301","","","物理职业",""
"99042","","2","1","","","1","1","","","","","","","","","","","_15_||_17_","0","301","","","法系职业",""
"99043","","2","1","","","1","1","","","","","","","","","","","_15_||_17_","0","301","","","封职业",""
"99044","","3","5","4","","","1","","","","","","","","","","","","0","301","","","boss死亡召唤怪物",""
"99045","","3","5","4","","","1","","","","","","","","","","","","0","301","","","boss死亡召唤怪物",""
"99046","","2","","","","1","1","","","","","","","","","!_501402_","","","0","301","","","敌方没有六道轮回",""
"99047","","1","","","","","1","","","","","","","","","!_508002_","","","0","301","","","己方没有有魔兽之印的单位",""
"99048","","1","","","","","1","","","","","","","","","!_508006_","","","0","301","","","己方没有有圣灵之甲的单位",""
"99049","","1","","","","","1","","","0.3","","","","","","","","","0","301","","","我方血小于等于30%的单位",""
"99050","","2","","","","1","1","","","","","","","","","_500033_","","","0","301","","","我方死亡单位",""
"99051","","2","1;3","","","","1","","","","","","","","","","","","0","301","","","敌方单位-不包含宠物",""
"99052","","2","","","","1","1","","","","","","","","","_509081_","","","0","301","","","敌方中了死亡禁锢的单位",""
"99053","","2","1","","","1","1","","","","","","","","","","","_11_","0","301","","","有大唐官府逃跑",""
"99054","","2","1","","","1","1","","","","","","","","","","","_12_","0","301","","","有方寸山逃跑",""
"99055","","2","1","","","1","1","","","","","","","","","","","_13_","0","301","","","有狮驼岭逃跑",""
"99056","","2","1","","","1","1","","","","","","","","","","","_14_","0","301","","","有阴曹地府逃跑",""
"99057","","2","1","","","1","1","","","","","","","","","","","_15_","0","301","","","有龙宫逃跑",""
"99058","","2","1","","","1","1","","","","","","","","","","","_16_","0","301","","","有普陀山逃跑",""
"99059","","2","1","","","1","1","","","","","","","","","","","_17_","0","301","","","有魔王寨逃跑",""
"99060","","2","1","","","1","1","","","","","","","","","","","_18_","0","301","","","有月宫逃跑",""
"99061","","2","1","","","1","1","","","","","","","","","","","_19_","0","301","","","有化生寺逃跑",""
"99062","","2","","","","","1","","","","","","","","","!_13_","","","0","301","","","敌方没中封印的单位/玩家和助战",""
"99063","","2","1","","","1","1","","","","","","","","","","","_15_||_17_","0","300","","","敌方法系",""
"99064","","2","1","","","1","1","","","","","","","","","","","_11_||_13_||_18_","0","300","","","敌方物理",""
"99065","","2","","","","1","1","","","","","","","","","_13_","","","0","301","","","敌方被控制的单位",""
"99066","","2","","","","","1","","","0.15","","","","","","","","","0","301","","","对方血小于等于10%的单位",""
"99067","","2","","","","","1","","","0.4","","","","","","","","","0","301","","","对方血小于等于40%的单位",""
"99068","","1","","","","","1","","","0.1","","","","","curhp_percent@0","","","","0","301","","","我方血小于等于10%单位",""
"99069","","3","","","","","1","","","","","","","","","","","","0","301","","","怪物自己",""
"99070","","1","","","","","1","","","","","","","","","_503001_","","","0","301","","","己方狮驼岭",""
"99071","","1","","","","","1","","","","","","","","","!_508014_","","","0","301","","","己方没有罗汉金钟",""
"99072","","2","","","","1","1","","","","","","","","","!_508008_","","","0","301","","","敌方没有碎甲术",""
"99073","","2","","","","","1","","","0.5","","","","","curhp_percent@0","","","","0","301","","","对方血小于等于50%的单位",""
"99074","","1","","","","","1","","","0.3","","","","","curhp_percent@0","","","","0","301","","","8555己方血量小于50%",""
