技能id,技能名称,产出级别,产出级别2,装备打造,练功区,降服灵兽,魔法入口,图标编号,主动被动,消耗显示,消耗数量,消耗属性编号,技能描述,目标类型,是否付魔大法显示,附魔大法需求道具id,附魔大法需求道具数量,经脉值
534008,狂袭,0,150,0,0,0,0,2829,1,,,-1,每物理击败一个单位，增加一层狂袭增益状态，每层增加忽视物理防御，死亡则层数减半，每回合最多增加1层,1,1,340160,10,0.000000
534009,力拔,0,150,0,0,0,0,2830,1,,,-1,连环击如果击败目标则消耗1回合变身状态，如果回合数不足则取消变身状态,1,1,340160,10,0.000000
534010,暝空,0,150,0,0,0,0,2835,1,,,-1,气冲牛斗获得的变身状态有概率增加一回合,1,1,340160,10,0.000000
534011,贪狼,0,150,0,0,0,0,2836,1,,,-1,释放特技、鹰击长空忽视目标物理防御,1,1,340160,10,0.000000
534012,叱咤洪荒,0,150,0,0,0,0,2838,1,,,-1,物理伤害+5%,1,1,340160,10,0.000000
534101,狮心,0,150,0,0,0,0,2818,1,,,-1,变身状态下，额外忽视目标物理防御,1,1,340160,10,0.000000
534102,腾云,0,150,0,0,0,0,2819,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
534103,兽王,0,150,0,0,0,0,2820,1,,,-1,如果队伍中只有一个狮驼时，鹰击额外增加物理伤害,1,1,340160,10,0.000000
534104,捕风,0,150,0,0,0,0,2821,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
534105,狮魂,0,150,0,0,0,0,2822,1,,,-1,鹰击出手时，如果目标不足6个，则额外增加伤害结果，队伍中每多一个狮驼岭则减弱部分该加成,1,1,340160,10,0.000000
534106,劈山,0,150,0,0,0,0,2825,1,,,-1,增加自身力量属性点,1,1,340160,10,0.000000
534107,嗜血,0,150,0,0,0,0,2826,1,,,-1,有概率吸取造成物理伤害结果的15%作为自身气血回复,1,1,340160,10,0.000000
534108,猎禽,0,150,0,0,0,0,2831,1,,,-1,每物理击败一个单位增加一层猎禽增益状态，每层增加物理暴击，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
534109,长空,0,150,0,0,0,0,2832,1,,,-1,使用鹰击时，额外提升物理暴击概率,1,1,340160,10,0.000000
534110,暝空,0,150,0,0,0,0,2835,1,,,-1,气冲牛斗获得的变身状态有概率增加一回合,1,1,340160,10,0.000000
534111,贪狼,0,150,0,0,0,0,2836,1,,,-1,释放特技、鹰击长空忽视目标物理防御,1,1,340160,10,0.000000
534112,叱咤洪荒,0,150,0,0,0,0,2838,1,,,-1,物理伤害+5%,1,1,340160,10,0.000000
534201,狮心,0,150,0,0,0,0,2818,1,,,-1,变身状态下，额外忽视目标物理防御,1,1,340160,10,0.000000
534202,腾云,0,150,0,0,0,0,2819,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
534203,兽王,0,150,0,0,0,0,2820,1,,,-1,如果队伍中只有一个狮驼时，鹰击额外增加物理伤害,1,1,340160,10,0.000000
534204,捕风,0,150,0,0,0,0,2821,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
534205,狮魂,0,150,0,0,0,0,2822,1,,,-1,鹰击出手时，如果目标不足6个，则额外增加伤害结果，队伍中每多一个狮驼岭则减弱部分该加成,1,1,340160,10,0.000000
534206,镇山,0,150,0,0,0,0,2823,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
534207,狂枭,0,150,0,0,0,0,2824,1,,,-1,加自身对宠物造成的伤害结果,1,1,340160,10,0.000000
534208,莽兽,0,150,0,0,0,0,2827,1,,,-1,场上每死亡一只宠物单位增加一层莽兽增益状态，每层增加物理伤害，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
534209,狮吼,0,150,0,0,0,0,2828,1,,,-1,狮搏击败目标单位则增加1回合变身状态,1,1,340160,10,0.000000
534210,魔印,0,150,0,0,0,0,2833,1,,,-1,魔息术持续状态下，使用特技、门派绝技后额外回复自身一定愤怒值,1,1,340160,10,0.000000
534211,同心,0,150,0,0,0,0,2834,1,,,-1,自己宠物有概率保护自己，每回合限1次,1,1,340160,10,0.000000
534212,鹏程万里,0,150,0,0,0,0,2837,1,,,-1,物理暴击+5%,1,1,340160,10,0.000000
534301,狮心,0,150,0,0,0,0,2818,1,,,-1,变身状态下，额外忽视目标物理防御,1,1,340160,10,0.000000
534302,腾云,0,150,0,0,0,0,2819,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
534303,兽王,0,150,0,0,0,0,2820,1,,,-1,如果队伍中只有一个狮驼时，鹰击额外增加物理伤害,1,1,340160,10,0.000000
534304,捕风,0,150,0,0,0,0,2821,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
534305,狮魂,0,150,0,0,0,0,2822,1,,,-1,鹰击出手时，如果目标不足6个，则额外增加伤害结果，队伍中每多一个狮驼岭则减弱部分该加成,1,1,340160,10,0.000000
534306,劈山,0,150,0,0,0,0,2825,1,,,-1,增加自身力量属性点,1,1,340160,10,0.000000
534307,嗜血,0,150,0,0,0,0,2826,1,,,-1,有概率吸取造成物理伤害结果的15%作为自身气血回复,1,1,340160,10,0.000000
534308,狂袭,0,150,0,0,0,0,2829,1,,,-1,每物理击败一个单位，增加一层狂袭增益状态，每层增加忽视物理防御，死亡则层数减半，每回合最多增加1层,1,1,340160,10,0.000000
534309,力拔,0,150,0,0,0,0,2830,1,,,-1,连环击如果击败目标则消耗1回合变身状态，如果回合数不足则取消变身状态,1,1,340160,10,0.000000
534310,魔印,0,150,0,0,0,0,2833,1,,,-1,魔息术持续状态下，使用特技、门派绝技后额外回复自身一定愤怒值,1,1,340160,10,0.000000
534311,同心,0,150,0,0,0,0,2834,1,,,-1,自己宠物有概率保护自己，每回合限1次,1,1,340160,10,0.000000
534312,鹏程万里,0,150,0,0,0,0,2837,1,,,-1,物理暴击+5%,1,1,340160,10,0.000000
534400,百谷,0,150,0,0,0,0,2839,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
534401,云梯,0,150,0,0,0,0,2841,1,,,-1,增加自身物理伤害。,1,1,340160,10,0.000000
534402,兼爱,0,150,0,0,0,0,2843,1,,,-1,自身受到召唤灵的法术伤害结果降低。,1,1,340160,10,0.000000
534403,百兽怒,0,150,0,0,0,0,2845,1,,,-1,全属性+3%,1,1,340160,10,0.000000
534404,社稷,0,150,0,0,0,0,2840,1,,,-1,增加自身物理防御。,1,1,340160,10,0.000000
534405,墨守,0,150,0,0,0,0,2842,1,,,-1,增加自身速度。,1,1,340160,10,0.000000
534406,非攻,0,150,0,0,0,0,2844,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
534407,大鹏威,0,150,0,0,0,0,2846,1,,,-1,全属性+3%,1,1,340160,10,0.000000
535001,清露,0,150,0,0,0,0,2847,1,,,-1,提升自身治疗强度,1,1,340160,10,0.000000
535002,春晖,0,150,0,0,0,0,2848,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
535003,新荷,0,150,0,0,0,0,2849,1,,,-1,如果队伍中只有一个普陀时，普渡众生治疗效果增加,1,1,340160,10,0.000000
535004,芳菲,0,150,0,0,0,0,2850,1,,,-1,灵动九天有概率额外增加一个单位，该单位优先选择无灵动九天状态中法术伤害最高者。,1,1,340160,10,0.000000
535005,暗香,0,150,0,0,0,0,2851,1,,,-1,自己释放的状态类效果被驱散概率降低,1,1,340160,10,0.000000
535006,晚风,0,150,0,0,0,0,2854,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
535007,复苏,0,150,0,0,0,0,2855,1,,,-1,杨柳甘露复活目标时，有概率净化一个非封印的减益状态,1,1,340160,10,0.000000
535008,焕彩,0,150,0,0,0,0,2862,1,,,-1,释放五行咒后，有概率给自身附加一个灵动九天状态,1,1,340160,10,0.000000
535009,烁光,0,150,0,0,0,0,2863,1,,,-1,释放五行咒后，有概率给自己附加一个随机增益状态,1,1,340160,10,0.000000
535010,返朴,0,150,0,0,0,0,2864,1,,,-1,灵动九天附加的法术防御额外增加,1,1,340160,10,0.000000
535011,宁心,0,150,0,0,0,0,2865,1,,,-1,提升自身法术防御,1,1,340160,10,0.000000
535012,波澜不惊,0,150,0,0,0,0,2867,1,,,-1,治疗强度+5%,1,1,340160,10,0.000000
535101,清露,0,150,0,0,0,0,2847,1,,,-1,提升自身治疗强度,1,1,340160,10,0.000000
535102,春晖,0,150,0,0,0,0,2848,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
535103,新荷,0,150,0,0,0,0,2849,1,,,-1,如果队伍中只有一个普陀时，普渡众生治疗效果增加,1,1,340160,10,0.000000
535104,芳菲,0,150,0,0,0,0,2850,1,,,-1,灵动九天有概率额外增加一个单位，该单位优先选择无灵动九天状态中法术伤害最高者。,1,1,340160,10,0.000000
535105,暗香,0,150,0,0,0,0,2851,1,,,-1,自己释放的状态类效果被驱散概率降低,1,1,340160,10,0.000000
535106,晚风,0,150,0,0,0,0,2854,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
535107,复苏,0,150,0,0,0,0,2855,1,,,-1,杨柳甘露复活目标时，有概率净化一个非封印的减益状态,1,1,340160,10,0.000000
535108,甘露,0,150,0,0,0,0,2850,1,,,-1,每使用杨柳甘露复活一个单位，增加一层甘露增益状态，每层增加法术暴击，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
535109,醒世,0,150,0,0,0,0,2861,1,,,-1,杨柳甘露可以复活鬼魂单位,1,1,340160,10,0.000000
535110,返朴,0,150,0,0,0,0,2864,1,,,-1,灵动九天附加的法术防御额外增加,1,1,340160,10,0.000000
535111,宁心,0,150,0,0,0,0,2865,1,,,-1,提升自身法术防御,1,1,340160,10,0.000000
535112,波澜不惊,0,150,0,0,0,0,2867,1,,,-1,治疗强度+5%,1,1,340160,10,0.000000
535201,清露,0,150,0,0,0,0,2847,1,,,-1,提升自身治疗强度,1,1,340160,10,0.000000
535202,春晖,0,150,0,0,0,0,2848,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
535203,新荷,0,150,0,0,0,0,2849,1,,,-1,如果队伍中只有一个普陀时，普渡众生治疗效果增加,1,1,340160,10,0.000000
535204,芳菲,0,150,0,0,0,0,2850,1,,,-1,灵动九天有概率额外增加一个单位，该单位优先选择无灵动九天状态中法术伤害最高者。,1,1,340160,10,0.000000
535205,暗香,0,150,0,0,0,0,2851,1,,,-1,自己释放的状态类效果被驱散概率降低,1,1,340160,10,0.000000
535206,晴雪,0,150,0,0,0,0,2852,1,,,-1,增加自身魔力属性点,1,1,340160,10,0.000000
535207,蔓生,0,150,0,0,0,0,2853,1,,,-1,五行咒目标上限限定为3个，释放五行咒时额外提升法术伤害结果,1,1,340160,10,0.000000
535208,五行,0,150,0,0,0,0,2856,1,,,-1,每成功释放一次五行咒，增加一层五行增益状态，每层增加法术伤害，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
535209,神伤,0,150,0,0,0,0,2857,1,,,-1,五行咒首目标有概率附加目标最大属性点相关的减益状态,1,1,340160,10,0.000000
535210,普渡,0,150,0,0,0,0,2858,1,,,-1,每释放一次灵动九天，增加一层普渡增益状态，每层增加治疗强度，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
535211,慈心,0,150,0,0,0,0,2859,1,,,-1,提升自身物理防御,1,1,340160,10,0.000000
535212,颠倒五行,0,150,0,0,0,0,2866,1,,,-1,速度+5%,1,1,340160,10,0.000000
535301,清露,0,150,0,0,0,0,2847,1,,,-1,提升自身治疗强度,1,1,340160,10,0.000000
535302,春晖,0,150,0,0,0,0,2848,1,,,-1,增加自身体质属性点,1,1,340160,10,0.000000
535303,新荷,0,150,0,0,0,0,2849,1,,,-1,如果队伍中只有一个普陀时，普渡众生治疗效果增加,1,1,340160,10,0.000000
535304,芳菲,0,150,0,0,0,0,2850,1,,,-1,灵动九天有概率额外增加一个单位，该单位优先选择无灵动九天状态中法术伤害最高者。,1,1,340160,10,0.000000
535305,暗香,0,150,0,0,0,0,2851,1,,,-1,自己释放的状态类效果被驱散概率降低,1,1,340160,10,0.000000
535306,晚风,0,150,0,0,0,0,2854,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
535307,复苏,0,150,0,0,0,0,2855,1,,,-1,杨柳甘露复活目标时，有概率净化一个非封印的减益状态,1,1,340160,10,0.000000
535308,焕彩,0,150,0,0,0,0,2862,1,,,-1,：释放五行咒后，有概率给自身附加一个灵动九天状态,1,1,340160,10,0.000000
535309,烁光,0,150,0,0,0,0,2863,1,,,-1,释放五行咒后，有概率给自己附加一个随机增益状态,1,1,340160,10,0.000000
535310,普渡,0,150,0,0,0,0,2858,1,,,-1,：每释放一次灵动九天，增加一层普渡增益状态，每层增加治疗强度，死亡则层数清空，每回合最多增加1层,1,1,340160,10,0.000000
535311,慈心,0,150,0,0,0,0,2859,1,,,-1,提升自身物理防御,1,1,340160,10,0.000000
535312,颠倒五行,0,150,0,0,0,0,2866,1,,,-1,速度+5%,1,1,340160,10,0.000000
535400,仲景,0,150,0,0,0,0,2868,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
535401,五色,0,150,0,0,0,0,2870,1,,,-1,增加自身速度。,1,1,340160,10,0.000000
535402,抱朴,0,150,0,0,0,0,2872,1,,,-1,自身受到召唤灵的法术伤害结果降低。,1,1,340160,10,0.000000
535403,洗其髓,0,150,0,0,0,0,2874,1,,,-1,全属性+3%,1,1,340160,10,0.000000
535404,阳庆,0,150,0,0,0,0,2869,1,,,-1,增加自身物理防御。,1,1,340160,10,0.000000
535405,朔气,0,150,0,0,0,0,2871,1,,,-1,增加自身法术伤害。,1,1,340160,10,0.000000
535406,脉书,0,150,0,0,0,0,2873,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
535407,冶其身,0,150,0,0,0,0,2875,1,,,-1,全属性+3%,1,1,340160,10,0.000000
536001,幽冥,0,150,0,0,0,0,2876,1,,,-1,对中毒单位使用尸腐毒增加中毒层数，层数影响中毒效果，最多3层,1,1,340160,10,0.000000
536002,凝魂,0,150,0,0,0,0,2877,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
536003,阎罗,0,150,0,0,0,0,2878,1,,,-1,如果队伍中只有一个地府，尸腐毒治疗效果增加一定比例,1,1,340160,10,0.000000
536004,引魂,0,150,0,0,0,0,2879,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
536005,虚无,0,150,0,0,0,0,2880,1,,,-1,回合结束时，如果己方宠物气血低于10%，有概率获得修罗隐身状态,1,1,340160,10,0.000000
536006,缥缈,0,150,0,0,0,0,2881,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
536007,重瞳,0,150,0,0,0,0,2882,1,,,-1,幽冥鬼眼有概率增加一个单位,1,1,340160,10,0.000000
536008,轮回,0,150,0,0,0,0,2889,1,,,-1,增加自身气血,1,1,340160,10,0.000000
536009,结魄,0,150,0,0,0,0,2890,1,,,-1,回合结束时，如果敌方有人物单位处于倒地状态，则回复自身愤怒值,1,1,340160,10,0.000000
536010,黄泉,0,150,0,0,0,0,2895,1,,,-1,对目标使用尸腐毒时，有概率附加3回合死亡禁锢状态,1,1,340160,10,0.000000
536011,索命,0,150,0,0,0,0,2896,1,,,-1,结算敌方所有单位的中毒状态,1,1,340160,10,0.000000
536012,返璞归真,0,150,0,0,0,0,2897,1,,,-1,速度+5%,1,1,340160,10,0.000000
536101,幽冥,0,150,0,0,0,0,2876,1,,,-1,对中毒单位使用尸腐毒增加中毒层数，层数影响中毒效果，最多3层,1,1,340160,10,0.000000
536102,凝魂,0,150,0,0,0,0,2877,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
536103,阎罗,0,150,0,0,0,0,2878,1,,,-1,如果队伍中只有一个地府，尸腐毒治疗效果增加一定比例,1,1,340160,10,0.000000
536104,引魂,0,150,0,0,0,0,2879,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
536105,虚无,0,150,0,0,0,0,2880,1,,,-1,回合结束时，如果己方宠物气血低于10%，有概率获得修罗隐身状态,1,1,340160,10,0.000000
536106,缥缈,0,150,0,0,0,0,2881,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
536107,重瞳,0,150,0,0,0,0,2882,1,,,-1,幽冥鬼眼有概率增加一个单位,1,1,340160,10,0.000000
536108,皆空,0,150,0,0,0,0,2890,1,,,-1,增加自身气血,1,1,340160,10,0.000000
536109,执念,0,150,0,0,0,0,2888,1,,,-1,五蕴皆空每驱散对方一个增益状态，则扣除目标一定气血,1,1,340160,10,0.000000
536110,驭灵,0,150,0,0,0,0,2891,1,,,-1,敌方每死亡一个单位，回复自身气血,1,1,340160,10,0.000000
536111,汲魂,0,150,0,0,0,0,2892,1,,,-1,六道轮回降低物理防御效果额外提高,1,1,340160,10,0.000000
536112,返璞归真,0,150,0,0,0,0,2897,1,,,-1,速度+5%,1,1,340160,10,0.000000
536201,幽冥,0,150,0,0,0,0,2876,1,,,-1,对中毒单位使用尸腐毒增加中毒层数，层数影响中毒效果，最多3层,1,1,340160,10,0.000000
536202,凝魂,0,150,0,0,0,0,2877,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
536203,阎罗,0,150,0,0,0,0,2878,1,,,-1,如果队伍中只有一个地府，尸腐毒治疗效果增加一定比例,1,1,340160,10,0.000000
536204,引魂,0,150,0,0,0,0,2879,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
536205,虚无,0,150,0,0,0,0,2880,1,,,-1,回合结束时，如果己方宠物气血低于10%，有概率获得修罗隐身状态,1,1,340160,10,0.000000
536206,擎苍,0,150,0,0,0,0,2883,1,,,-1,增加自身力量属性点,1,1,340160,10,0.000000
536207,灵幡,0,150,0,0,0,0,2884,1,,,-1,阎罗令的目标上限调整为3个并修改为物理伤害结算，释放时临时附加物理伤害,1,1,340160,10,0.000000
536208,陨魂,0,150,0,0,0,0,2885,1,,,-1,增加自身气血,1,1,340160,10,0.000000
536209,悟道,0,150,0,0,0,0,2886,1,,,-1,自身攻击有六道轮回的单位，提升物理伤害结果,1,1,340160,10,0.000000
536210,睚眦,0,150,0,0,0,0,2883,1,,,-1,物理攻击敌方单位有概率使其中毒,1,1,340160,10,0.000000
536211,神隐,0,150,0,0,0,0,2894,1,,,-1,释放修罗隐身时有概率多增加一回合,1,1,340160,10,0.000000
536212,舍身济世,0,150,0,0,0,0,2898,1,,,-1,气血+5%,1,1,340160,10,0.000000
536301,幽冥,0,150,0,0,0,0,2876,1,,,-1,对中毒单位使用尸腐毒增加中毒层数，层数影响中毒效果，最多3层,1,1,340160,10,0.000000
536302,凝魂,0,150,0,0,0,0,2877,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
536303,阎罗,0,150,0,0,0,0,2878,1,,,-1,如果队伍中只有一个地府，尸腐毒治疗效果增加一定比例,1,1,340160,10,0.000000
536304,引魂,0,150,0,0,0,0,2879,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
536305,虚无,0,150,0,0,0,0,2880,1,,,-1,回合结束时，如果己方宠物气血低于10%，有概率获得修罗隐身状态,1,1,340160,10,0.000000
536306,缥缈,0,150,0,0,0,0,2881,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
536307,重瞳,0,150,0,0,0,0,2882,1,,,-1,幽冥鬼眼有概率增加一个单位,1,1,340160,10,0.000000
536308,皆空,0,150,0,0,0,0,2890,1,,,-1,五蕴皆空驱散增益状态则增加一层皆空增益状态，每层提升对应状态初始驱散概率，死亡则层数清空，每回合最多增加1层，最高累积5层,1,1,340160,10,0.000000
536309,执念,0,150,0,0,0,0,2888,1,,,-1,五蕴皆空每驱散对方一个增益状态，则扣除目标一定气血,1,1,340160,10,0.000000
536310,睚眦,0,150,0,0,0,0,2883,1,,,-1,物理攻击敌方单位有概率使其中毒,1,1,340160,10,0.000000
536311,神隐,0,150,0,0,0,0,2894,1,,,-1,释放修罗隐身时有概率多增加一回合,1,1,340160,10,0.000000
536312,舍身济世,0,150,0,0,0,0,2898,1,,,-1,气血+5%,1,1,340160,10,0.000000
536400,天衍,0,150,0,0,0,0,2899,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
536401,昼夜,0,150,0,0,0,0,2901,1,,,-1,增加自身速度。,1,1,340160,10,0.000000
536402,霄阴,0,150,0,0,0,0,2903,1,,,-1,自身受到召唤灵的法术伤害结果降低。,1,1,340160,10,0.000000
536403,无间狱,0,150,0,0,0,0,2905,1,,,-1,全属性+3%,1,1,340160,10,0.000000
536404,灵枢,0,150,0,0,0,0,2900,1,,,-1,增加自身物理防御。,1,1,340160,10,0.000000
536405,日月,0,150,0,0,0,0,2902,1,,,-1,增加自身气血。,1,1,340160,10,0.000000
536406,烛明,0,150,0,0,0,0,2904,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
536407,五帝兴,0,150,0,0,0,0,2906,1,,,-1,全属性+3%,1,1,340160,10,0.000000
537001,龙影,0,150,0,0,0,0,2907,1,,,-1,增加自身的法术伤害,1,1,340160,10,0.000000
537002,海语,0,150,0,0,0,0,2908,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
537003,龙魂,0,150,0,0,0,0,2909,1,,,-1,如果队伍中只有一个龙宫时，龙卷雨击额外提升伤害结果,1,1,340160,10,0.000000
537004,风灵,0,150,0,0,0,0,2910,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
537005,潮息,0,150,0,0,0,0,2911,1,,,-1,龙卷雨击出手时，如果目标不足7个，则额外增加伤害结果，队伍中每多一个龙宫则减弱部分该加成,1,1,340160,10,0.000000
537006,龙冥,0,150,0,0,0,0,2912,1,,,-1,增加自身魔力属性点,1,1,340160,10,0.000000
537007,遨游,0,150,0,0,0,0,2913,1,,,-1,龙腾触发法术连击概率增加,1,1,340160,10,0.000000
537008,晚汐,0,150,0,0,0,0,2918,1,,,-1,每使用龙腾造成击败，增加一层晚汐增益状态，每层增加法术连击，死亡层数清空，每回合最多增加1层,1,1,340160,10,0.000000
537009,凝露,0,150,0,0,0,0,2919,1,,,-1,清心状态持续时，增加法术伤害和抵抗封印,1,1,340160,10,0.000000
537010,龙昼,0,150,0,0,0,0,2924,1,,,-1,二龙戏珠触发法术连击概率增加,1,1,340160,10,0.000000
537011,双龙,0,150,0,0,0,0,2925,1,,,-1,二龙戏珠如果没有触发多下且目标没有死亡则额外增加不进入休息状态的概率,1,1,340160,10,0.000000
537012,神龙摆尾,0,150,0,0,0,0,2926,1,,,-1,法术连击+5%,1,1,340160,10,0.000000
537101,龙影,0,150,0,0,0,0,2907,1,,,-1,增加自身的法术伤害,1,1,340160,10,0.000000
537102,海语,0,150,0,0,0,0,2908,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
537103,龙魂,0,150,0,0,0,0,2909,1,,,-1,如果队伍中只有一个龙宫时，龙卷雨击额外提升伤害结果,1,1,340160,10,0.000000
537104,风灵,0,150,0,0,0,0,2910,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
537105,潮息,0,150,0,0,0,0,2911,1,,,-1,龙卷雨击出手时，如果目标不足7个，则额外增加伤害结果，队伍中每多一个龙宫则减弱部分该加成,1,1,340160,10,0.000000
537106,龙冥,0,150,0,0,0,0,2912,1,,,-1,增加自身魔力属性点,1,1,340160,10,0.000000
537107,遨游,0,150,0,0,0,0,2913,1,,,-1,龙腾触发法术连击概率增加,1,1,340160,10,0.000000
537108,踏浪,0,150,0,0,0,0,2916,1,,,-1,每次龙卷雨击击败一个单位增加一层踏浪增益状态，每层增加法术伤害，死亡层数清空，每回合最多增加1层,1,1,340160,10,0.000000
537109,龙昼,0,150,0,0,0,0,2924,1,,,-1,二龙戏珠触发法术连击概率增加,1,1,340160,10,0.000000
537110,逐浪,0,150,0,0,0,0,2917,1,,,-1,逆鳞状态额外增加法术伤害结果,1,1,340160,10,0.000000
537111,双龙,0,150,0,0,0,0,2925,1,,,-1,二龙戏珠如果没有触发多下且目标没有死亡则额外增加不进入休息状态的概率,1,1,340160,10,0.000000
537112,神龙摆尾,0,150,0,0,0,0,2926,1,,,-1,法术连击+5%,1,1,340160,10,0.000000
537201,龙影,0,150,0,0,0,0,2907,1,,,-1,增加自身的法术伤害,1,1,340160,10,0.000000
537202,海语,0,150,0,0,0,0,2908,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
537203,龙魂,0,150,0,0,0,0,2909,1,,,-1,如果队伍中只有一个龙宫时，龙卷雨击额外提升伤害结果,1,1,340160,10,0.000000
537204,风灵,0,150,0,0,0,0,2910,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
537205,潮息,0,150,0,0,0,0,2911,1,,,-1,龙卷雨击出手时，如果目标不足7个，则额外增加伤害结果，队伍中每多一个龙宫则减弱部分该加成,1,1,340160,10,0.000000
537206,云鳞,0,150,0,0,0,0,2914,1,,,-1,增加自身敏捷属性点,1,1,340160,10,0.000000
537207,龙息,0,150,0,0,0,0,2915,1,,,-1,龙卷雨击对气血高于50%的目标额外增加伤害结果,1,1,340160,10,0.000000
537208,叠吟,0,150,0,0,0,0,2920,1,,,-1,每成功释放一次龙吟，增加一层叠吟增益状态，每层增加法术伤害结果，死亡层数清空，每回合最多增加1层,1,1,340160,10,0.000000
537209,寒髓,0,150,0,0,0,0,2921,1,,,-1,目标当前魔法值比例越低，龙卷雨击造成的伤害越高,1,1,340160,10,0.000000
537210,龙棘,0,150,0,0,0,0,2922,1,,,-1,龙宫门派法术最大降治疗效果提升至4层,1,1,340160,10,0.000000
537211,奔涌,0,150,0,0,0,0,2923,1,,,-1,龙卷雨击额外增加降低治疗效果层数相关的法术伤害结果,1,1,340160,10,0.000000
537212,雷浪穿云,0,150,0,0,0,0,2927,1,,,-1,法术攻击+5%,1,1,340160,10,0.000000
537301,龙影,0,150,0,0,0,0,2907,1,,,-1,增加自身的法术伤害,1,1,340160,10,0.000000
537302,海语,0,150,0,0,0,0,2908,1,,,-1,增加自身法术防御,1,1,340160,10,0.000000
537303,龙魂,0,150,0,0,0,0,2909,1,,,-1,如果队伍中只有一个龙宫时，龙卷雨击额外提升伤害结果,1,1,340160,10,0.000000
537304,风灵,0,150,0,0,0,0,2910,1,,,-1,增加自身物理防御,1,1,340160,10,0.000000
537305,潮息,0,150,0,0,0,0,2911,1,,,-1,龙卷雨击出手时，如果目标不足7个，则额外增加伤害结果，队伍中每多一个龙宫则减弱部分该加成,1,1,340160,10,0.000000
537306,龙冥,0,150,0,0,0,0,2912,1,,,-1,增加自身魔力属性点,1,1,340160,10,0.000000
537307,遨游,0,150,0,0,0,0,2913,1,,,-1,龙腾触发法术连击概率增加,1,1,340160,10,0.000000
537308,晚汐,0,150,0,0,0,0,2918,1,,,-1,每使用龙腾造成击败，增加一层晚汐增益状态，每层增加法术连击，死亡层数清空，每回合最多增加1层,1,1,340160,10,0.000000
537309,凝露,0,150,0,0,0,0,2919,1,,,-1,清心状态持续时，增加法术伤害和抵抗封印,1,1,340160,10,0.000000
537310,龙棘,0,150,0,0,0,0,2922,1,,,-1,龙宫门派法术最大降治疗效果提升至4层,1,1,340160,10,0.000000
537311,奔涌,0,150,0,0,0,0,2923,1,,,-1,龙卷雨击额外增加降低治疗效果层数相关的法术伤害结果,1,1,340160,10,0.000000
537312,雷浪穿云,0,150,0,0,0,0,2927,1,,,-1,法术攻击+5%,1,1,340160,10,0.000000
537400,思慎,0,150,0,0,0,0,2928,1,,,-1,增加自身法术防御。,1,1,340160,10,0.000000
537401,孤愤,0,150,0,0,0,0,2930,1,,,-1,增加自身法术伤害。,1,1,340160,10,0.000000
537402,不害,0,150,0,0,0,0,2932,1,,,-1,自身受到召唤灵的物理伤害结果降低。,1,1,340160,10,0.000000
537403,天行云,0,150,0,0,0,0,2934,1,,,-1,全属性+3%,1,1,340160,10,0.000000
