编号,售卖图标ID,名称,名称颜色,宠物品质,售卖商店类型,售卖NPCID,参战等级,携带等级,初始等级,推荐体质,推荐智力,推荐力量,推荐耐力,推荐敏捷,初始属性分配类型,初始属性点,初始寿命,area1colour,area2colour,染色方案选择,体资最小值,体资最大值,法资最小值,法资最大值,攻资最小值,攻资最大值,防资最小值,防资最大值,速资最小值,速资最大值,体资固定值,法资固定值,攻资固定值,防资固定值,速资固定值,成长率1,成长率2,成长率3,成长率4,成长率5,成长率6,成长率7,固定成长率,治疗强度成长,控制命中成长,控制抗性成长,类型,对应野生ID,对应宝宝ID,对应变异ID,是否稀有,造型id,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,技能17,技能18,技能19,技能20,技能21,技能22,技能23,技能24,出现几率1,出现几率2,出现几率3,出现几率4,出现几率5,出现几率6,出现几率7,出现几率8,出现几率9,出现几率10,出现几率11,出现几率12,出现几率13,出现几率14,出现几率15,出现几率16,出现几率17,出现几率18,出现几率19,出现几率20,出现几率21,出现几率22,出现几率23,出现几率24,图鉴是否显示,可出现场景地图ID,出现场景描述,点卡服图鉴是否显示,点卡服可出现场景地图ID,点卡服出现场景描述,洗宠消耗材料ID,洗宠消耗材料数量,洗练后ID,是否绑定,技能认证花费银币,取消认证花费银币,辅助AI,珍品评分,珍品需要技能数,宠物回收价格,多少次变成满技能,摆摊冻结时间,技能1是否绑定,技能2是否绑定,技能3是否绑定,技能4是否绑定,技能5是否绑定,技能6是否绑定,技能7是否绑定,技能8是否绑定,技能9是否绑定,技能10是否绑定,技能11是否绑定,技能12是否绑定,技能13是否绑定,技能14是否绑定,技能15是否绑定,技能16是否绑定,技能17是否绑定,技能18是否绑定,技能19是否绑定,技能20是否绑定,技能21是否绑定,技能22是否绑定,技能23是否绑定,技能24是否绑定,珍品找回消耗,幻化消耗物品id,幻化消耗物品数量,幻化面板显示,每日可洗宠次数,是否珍兽,专属内丹ID
501054,32000,羽云仙子,FF00FF00,2,1,161505,105,50,50,0,0,5,0,0,1,50,10000,0,0,0,3937,4500,1512,1728,1176,1344,1007,1152,1007,1152,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501054,521054,531054,,1101004,206056,206039,206041,206040,206042,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,521054@1000,,1000000,1000000,,99999,2,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
501101,32000,鬼剑,FF00FF00,2,1,161505,109,50,50,0,0,5,0,0,1,50,10000,0,0,0,3779,4320,1512,1728,1192,1363,840,960,1134,1296,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501101,521101,531101,,1101005,206041,207010,206002,206067,206065,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,521101@1000,,1000000,1000000,,99999,2,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
501102,32000,嘲风,FF00FF00,2,1,161505,109,50,50,5,0,0,0,0,1,50,10000,0,0,0,4094,4680,1680,1920,1007,1152,1007,1152,1176,1344,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501102,521102,531102,,1101006,206070,206048,206053,206058,206059,207212,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,333,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,521102@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
501103,32000,菱心仙子,FF00FF00,2,1,161505,109,50,50,0,5,0,0,0,1,50,10000,0,0,0,3937,4500,2217,2534,840,960,1050,1200,756,864,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501103,521103,531103,,1101007,207008,206043,206061,206050,206069,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,521103@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
600001,32000,下面是野生宠物,FF00FF00,4,,,109,109,109,0,0,0,0,0,2,100,10000,1001,2001,"1001,2001;1002,2002;1003,2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207008,206043,206061,206050,206032,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
510001,32000,泡泡,FF00FF00,2,1,161505,0,0,0,0,0,5,0,0,1,50,10000,0,0,0,3150,3600,1344,1536,965,1104,840,960,840,960,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500001,520001,530001,,1100001,206002,206058,206067,206060,,,,,,,,,,,,,,,,,,,,,1001,1001,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520001@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510002,32000,野猪,FF00FF00,2,1,161505,0,0,0,0,0,5,0,0,1,50,10000,0,0,0,2520,2880,840,960,923,1056,503,576,588,672,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500002,520002,530002,,1100002,206003,206023,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520002@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510101,32000,大海龟,FF00FF00,2,1,161505,10,10,10,5,0,0,0,0,1,50,10000,0,0,0,2835,3240,1344,1536,503,576,882,1008,420,480,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500101,520101,530101,,1100101,206021,206016,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520101@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510102,32000,海毛虫,FF00FF00,2,1,161505,10,10,10,0,0,5,0,0,1,50,10000,0,0,0,1889,2160,672,768,965,1104,503,576,756,864,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500102,520102,530102,,1100102,206035,206001,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520102@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510103,32000,老虎,FF00FF00,2,1,161505,10,10,10,0,0,5,0,0,1,50,10000,0,0,0,1889,2160,840,960,965,1104,546,624,756,864,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500103,520103,530103,,1100103,206003,206023,206002,,,,,,,,,,,,,,,,,,,,,,1001,333,333,,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520103@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510201,32000,羊头怪,FF00FF00,2,1,161505,25,25,25,0,0,5,0,0,1,50,10000,0,0,0,2205,2520,1007,1152,923,1056,588,672,756,864,,,,,,982,984,986,988,990,992,994,,6,10,10,1,500201,520201,530201,,1100201,206023,206002,206001,206033,,,,,,,,,,,,,,,,,,,,,1001,333,333,3333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520201@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510202,32000,花妖,FF00FF00,2,1,161505,25,25,25,0,5,0,0,0,1,50,10000,0,0,0,2520,2880,1344,1536,588,672,756,864,756,864,,,,,,982,984,986,988,990,992,994,,6,10,10,1,500202,520202,530202,,1100202,207003,206026,206021,,,,,,,,,,,,,,,,,,,,,,1001,333,333,,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520202@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510301,32000,牛头,FF00FF00,2,1,161505,35,35,35,0,5,0,0,0,1,50,10000,0,0,0,2520,2880,1344,1536,672,768,672,768,840,960,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500301,520301,530301,,1100301,206066,207001,206015,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520301@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,680700,10,0,0,0,
510302,32000,马面,FF00FF00,2,1,161505,35,35,35,0,0,5,0,0,1,50,10000,0,0,0,2205,2520,840,960,1007,1152,503,576,798,912,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500302,520302,530302,,1100302,206066,206001,206003,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520302@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,680700,10,0,0,0,
510303,32000,龟丞相,FF00FF00,2,1,161505,35,35,35,0,5,0,0,0,1,50,10000,0,0,0,3465,3960,1344,1536,714,816,756,864,503,576,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500303,520303,530303,,1100303,207002,206011,207006,206026,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520303@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,680700,10,0,0,0,
510401,32000,虾兵,FF00FF00,2,1,161505,45,45,45,0,0,5,0,0,1,50,10000,0,0,0,2835,3240,1176,1344,840,960,672,768,672,768,,,,,,1042,1044,1046,1048,1050,1052,1054,,6,10,10,1,500401,520401,530401,,1100401,206026,206003,206055,206015,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520401@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,680700,10,0,0,0,
510402,32000,蟹将,FF00FF00,2,1,161505,45,45,45,0,0,5,0,0,1,50,10000,0,0,0,2362,2700,1007,1152,965,1104,630,720,758,864,,,,,,1042,1044,1046,1048,1050,1052,1054,,6,10,10,1,500402,520402,530402,,1100402,206026,206001,206002,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520402@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510403,32000,古代瑞兽,FF00FF00,2,1,161505,45,45,45,0,5,0,0,0,1,50,10000,0,0,0,2520,2880,1680,1920,672,768,756,864,840,960,,,,,,1042,1044,1046,1048,1050,1052,1054,,6,10,10,1,500403,520403,530403,,1100403,206054,206053,206067,207007,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520403@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510501,32000,鲛将军,FF00FF00,2,1,161505,55,50,50,0,0,5,0,0,1,50,10000,0,0,0,2362,2700,1260,1440,1007,1152,756,864,756,864,,,,,,1072,1074,1076,1078,1080,1082,1084,,6,10,10,1,500501,520501,530501,,1100501,206019,206021,206005,206004,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520501@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510502,32000,蚌仙子,FF00FF00,2,1,161505,55,50,50,5,0,0,0,0,1,50,10000,0,0,0,3150,3600,1680,1920,714,816,1007,1152,503,576,,,,,,1072,1074,1076,1078,1080,1082,1084,,6,10,10,1,500502,520502,530502,,1100502,207002,206011,206009,206026,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520502@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510503,32000,龙女,FF00FF00,2,1,161505,55,50,50,0,5,0,0,0,1,50,10000,0,0,0,3150,3600,1847,2112,798,912,588,672,923,1056,,,,,,1072,1074,1076,1078,1080,1082,1084,,6,10,10,1,500503,520503,530503,,1100503,206026,207002,206014,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,1,520503@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510601,32000,千年僵尸,FF00FF00,2,1,161505,65,50,50,5,0,0,0,0,1,50,10000,0,0,0,3465,3960,1512,1728,840,960,714,816,923,1056,,,,,,1102,1104,1106,1108,1110,1112,1114,,6,10,10,1,500601,520601,530601,,1100601,206029,206021,206027,206015,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520601@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,680700,10,0,0,0,
510602,32000,孤魂野鬼,FF00FF00,2,1,161505,65,50,50,0,5,0,0,0,1,50,10000,0,0,0,2835,3240,1680,1920,672,768,1007,1152,840,960,,,,,,1102,1104,1106,1108,1110,1112,1114,,6,10,10,1,500602,520602,530602,,1100602,206029,207003,206027,206015,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520602@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510651,32000,忘川童子,FF00FF00,2,1,161505,65,50,50,0,5,0,0,0,1,50,10000,0,0,0,3465,3960,1931,2208,672,768,840,960,840,960,,,,,,1102,1104,1106,1108,1110,1112,1114,,6,10,10,1,500651,520651,530651,,1100603,206067,207004,206032,206033,,,,,,,,,,,,,,,,,,,,,1001,1001,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520651@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510652,32000,吸血鬼,FF00FF00,2,1,161505,65,50,50,0,0,5,0,0,1,50,10000,0,0,0,3465,3960,1512,1728,1092,1248,630,720,923,1056,,,,,,1102,1104,1106,1108,1110,1112,1114,,6,10,10,1,500652,520652,530652,,1100604,206029,206005,206064,206012,206004,,,,,,,,,,,,,,,,,,,,1001,1001,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520652@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510653,32000,蜃蛇,FF00FF00,2,1,161505,65,50,50,0,0,5,0,0,1,50,10000,0,0,0,3465,3960,1176,1344,840,960,840,960,1007,1152,,,,,,1102,1104,1106,1108,1110,1112,1114,,6,10,10,1,500653,520653,530653,,1100605,206072,206002,206027,206005,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520653@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510751,32000,夜叉,FF00FF00,2,1,161505,75,50,50,0,0,5,0,0,1,50,10000,0,0,0,3150,3600,1176,1344,1007,1152,840,960,840,960,,,,,,1132,1134,1136,1138,1140,1142,1144,,6,10,10,1,500751,520751,530751,,1100701,206066,206039,206001,206005,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520751@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510752,32000,幽莹娃娃,FF00FF00,2,1,161505,75,50,50,0,5,0,0,0,1,50,10000,0,0,0,2992,3420,1847,2112,756,864,923,1056,923,1056,,,,,,1132,1134,1136,1138,1140,1142,1144,,6,10,10,1,500752,520752,530752,,1100702,206066,207007,206046,206019,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520752@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,680700,10,0,0,0,
510753,32000,鬼将,FF00FF00,2,1,161505,75,50,50,0,0,5,0,0,1,50,10000,0,0,0,3779,4320,1007,1152,1092,1248,756,864,840,960,,,,,,1132,1134,1136,1138,1140,1142,1144,,6,10,10,1,500753,520753,530753,,1100703,206066,206038,207011,206011,206025,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520753@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510754,32000,幽冥书生,FF00FF00,2,1,161505,75,50,50,0,0,5,0,0,1,50,10000,0,0,0,3622,4140,1512,1728,965,1104,840,960,923,1056,,,,,,1132,1134,1136,1138,1140,1142,1144,,6,10,10,1,500754,520754,530754,,1100704,206066,207013,206048,206022,206025,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520754@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510801,32000,蟠桃童子,FF00FF00,2,1,161505,80,50,50,0,5,0,0,0,1,50,10000,0,0,0,3150,3600,1847,2112,840,960,923,1056,923,1056,,,,,,1162,1164,1166,1168,1170,1172,1174,,6,10,10,1,500801,520801,530801,,1100801,207008,206023,206065,206050,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520801@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510802,32000,天兵,FF00FF00,2,1,161505,80,50,50,0,0,5,0,0,1,50,10000,0,0,0,3465,3960,1260,1440,923,1056,1092,1248,672,768,,,,,,1162,1164,1166,1168,1170,1172,1174,,6,10,10,1,500802,520802,530802,,1100802,206058,206060,206001,206067,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520802@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510803,32000,巨灵神将,FF00FF00,2,1,161505,80,50,50,0,0,5,0,0,1,50,10000,0,0,0,2940,3360,1260,1440,1120,1280,770,880,1007,1152,,,,,,1162,1164,1166,1168,1170,1172,1174,,6,10,10,1,500803,520803,530803,,1100803,206041,207012,206067,206023,206025,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520803@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510851,32000,珍露童子,FF00FF00,2,1,161505,85,50,50,0,5,0,0,0,1,50,10000,0,0,0,3779,4320,2015,2304,756,864,840,960,840,960,,,,,,1192,1194,1196,1198,1200,1202,1204,,6,10,10,1,500851,520851,530851,,1100804,206047,207006,206059,206023,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310102,2,520851@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510852,32000,御风童子,FF00FF00,2,1,161505,85,50,50,0,5,0,0,0,1,50,10000,0,0,0,4094,4680,2100,2400,840,960,756,864,1007,1152,,,,,,1192,1194,1196,1198,1200,1202,1204,,6,10,10,1,500852,520852,530852,,1100805,206056,207004,206043,206045,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520852@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510853,32000,芙蓉仙子,FF00FF00,2,1,161505,85,50,50,0,0,5,0,0,1,50,10000,0,0,0,3465,3960,1344,1536,1092,1248,840,960,965,1104,,,,,,1192,1194,1196,1198,1200,1202,1204,,6,10,10,1,500853,520853,530853,,1100806,206060,206059,206050,206058,,,,,,,,,,,,,,,,,,,,,1001,1001,333,333,,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520853@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510854,32000,巡游天神,FF00FF00,2,1,161505,85,50,50,0,0,5,0,0,1,50,10000,0,0,0,3779,4320,1680,1920,1092,1248,840,960,923,1056,,,,,,1192,1194,1196,1198,1200,1202,1204,,6,10,10,1,500854,520854,530854,,1100807,206067,207019,206055,206005,206025,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,无出现场景,,,宠物洗炼,310103,2,520854@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,680700,10,0,0,0,
510855,32000,猴小仙,FF00FF00,2,1,161505,85,50,50,0,0,5,0,0,1,50,10000,0,0,0,3465,3960,1680,1920,1092,1248,756,864,923,1056,,,,,,1192,1194,1196,1198,1200,1202,1204,,6,10,10,1,500855,520855,530855,,1100808,206056,206001,206065,206005,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,520855@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510901,32000,蛟龙,FF00FF00,2,1,161505,90,50,50,0,5,0,0,0,1,50,10000,0,0,0,3465,3960,2015,2304,1050,1200,923,1056,1007,1152,,,,,,1222,1224,1226,1228,1230,1232,1234,,6,10,10,1,500901,520901,530901,,1100901,206023,206070,207006,206063,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,520901@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510902,32000,凤凰仙子,FF00FF00,2,1,161505,90,50,50,0,5,0,0,0,1,50,10000,0,0,0,4094,4680,1847,2112,923,1056,840,960,1092,1248,,,,,,1222,1224,1226,1228,1230,1232,1234,,6,10,10,1,500902,520902,530902,,1100902,207005,206062,207001,206051,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,520902@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510951,32000,噬天虎,FF00FF00,2,1,161505,95,50,50,0,0,5,0,0,1,50,10000,0,0,0,4094,4680,1344,1536,1176,1344,882,1008,1092,1248,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,500951,520951,530951,,1100903,206040,207009,206039,206023,206025,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310103,2,520951@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510952,32000,雾中仙,FF00FF00,2,1,161505,95,50,50,0,5,0,0,0,1,50,10000,0,0,0,3779,4320,2015,2304,1007,1152,1007,1152,1134,1296,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,500952,520952,530952,,1100904,207008,206051,206019,207016,206026,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310103,2,520952@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510953,32000,布雨神君,FF00FF00,2,1,161505,95,50,50,0,5,0,0,0,1,50,10000,0,0,0,3779,4320,2100,2400,840,960,840,960,1007,1152,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,500953,520953,530953,,1100905,207006,206062,206063,206064,206065,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,520953@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
510954,32000,武罗仙子,FF00FF00,2,1,161505,95,50,50,0,0,5,0,0,1,50,10000,0,0,0,3779,4320,1470,1680,1092,1248,840,960,1050,1200,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,500954,520954,530954,,1100906,206041,206069,206055,206054,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,520954@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
511051,32000,净瓶女娲,FF00FF00,2,1,161505,105,50,50,0,5,0,0,0,1,50,10000,0,0,0,4094,4680,2015,2304,923,1056,1134,1296,1007,1152,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501051,521051,531051,,1101001,206069,206057,206019,206070,206064,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310102,2,521051@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
511052,32000,灵符女娲,FF00FF00,2,1,161505,105,50,50,0,5,0,0,0,1,50,10000,0,0,0,3779,4320,2184,2496,923,1056,1092,1248,840,960,,,,,,1252,1254,1256,1258,1260,1262,1264,,6,10,10,1,501052,521052,531052,,1101002,207005,207015,206009,206060,206048,,,,,,,,,,,,,,,,,,,,1001,333,333,333,333,,,,,,,,,,,,,,,,,,,,0,0,宠物洗炼,,,宠物洗炼,310103,2,521052@1000,,1000000,1000000,,99999,4,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
