寻找物品类id,寻找物品组,职业,等级段min,等级段max,回收物品,物品数量,售卖NPC,是否可传说,传说时间限制,传说发放物品,是否需求品质,品质系数,品质常数,是否调用特殊情况奖励,策划备注
132,14,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
133,14,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
134,15,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团2级品质药品
135,15,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
136,15,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
137,15,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
138,15,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
139,15,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
140,15,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
141,15,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
142,15,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
143,15,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
144,15,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
145,15,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
146,15,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
147,15,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
148,15,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
149,15,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
150,16,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团3级品质药品
151,16,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
152,16,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
153,16,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
154,16,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
155,16,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
156,16,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
157,16,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
158,16,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
159,16,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
160,16,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
161,16,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
162,16,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
163,16,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
164,16,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
165,16,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
166,17,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团4级品质药品
167,17,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
168,17,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
169,17,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
170,17,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
171,17,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
172,17,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
173,17,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
174,17,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
175,17,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
176,17,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
177,17,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
178,17,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
179,17,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
180,17,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
181,17,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
182,18,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团品质药品显影之尘
183,18,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
184,18,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
185,18,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
186,18,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
187,18,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
188,18,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
189,18,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
190,18,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
191,18,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
192,18,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
193,18,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
194,18,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
195,18,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
196,18,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
197,18,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
198,19,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团1级品质烹饪
199,19,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
200,19,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
201,19,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
202,19,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
203,19,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
204,19,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
205,19,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
206,19,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
207,19,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
208,19,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
209,19,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
210,19,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
211,19,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
212,19,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
213,19,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
214,20,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团2级品质烹饪
215,20,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
216,20,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
217,20,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
218,20,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
219,20,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
220,20,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
221,20,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
222,20,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
223,20,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
224,20,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
225,20,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
226,20,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
227,20,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
228,20,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
229,20,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
230,21,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团3级品质烹饪
231,21,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
232,21,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
233,21,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
234,21,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
235,21,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
236,21,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
237,21,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
238,21,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
239,21,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
240,21,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
241,21,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
242,21,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
243,21,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
244,21,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
245,21,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
246,22,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团4级品质烹饪
247,22,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
248,22,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
249,22,0,51,55,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-22,,
250,22,0,56,60,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-23,,
251,22,0,61,65,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-24,,
252,22,0,66,70,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-25,,
253,22,0,71,75,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-26,,
254,22,0,76,80,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-27,,
255,22,0,81,85,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-28,,
256,22,0,86,90,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-29,,
257,22,0,91,95,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-30,,
258,22,0,96,100,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-31,,
259,22,0,101,105,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-32,,
260,22,0,106,110,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-33,,
261,22,0,111,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-34,,
262,23,0,15,39,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-15,,暗夜马戏团5级品质烹饪
263,23,0,40,45,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-20,,
264,23,0,46,50,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,1,1000,-21,,
